Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.000e-01,2.64
-9.980e-02,2.56
-9.960e-02,2.64
-9.940e-02,2.56
-9.920e-02,2.56
-9.900e-02,2.64
-9.880e-02,2.64
-9.860e-02,2.64
-9.840e-02,2.64
-9.820e-02,2.72
-9.800e-02,2.8
-9.780e-02,2.72
-9.760e-02,2.72
-9.740e-02,2.8
-9.720e-02,2.8
-9.700e-02,2.8
-9.680e-02,2.8
-9.660e-02,2.72
-9.640e-02,2.72
-9.620e-02,2.72
-9.600e-02,2.8
-9.580e-02,2.8
-9.560e-02,2.8
-9.540e-02,2.88
-9.520e-02,2.8
-9.500e-02,2.8
-9.480e-02,2.8
-9.460e-02,2.8
-9.440e-02,2.8
-9.420e-02,2.72
-9.400e-02,2.64
-9.380e-02,2.64
-9.360e-02,2.64
-9.340e-02,2.64
-9.320e-02,2.64
-9.300e-02,2.64
-9.280e-02,2.64
-9.260e-02,2.56
-9.240e-02,2.64
-9.220e-02,2.64
-9.200e-02,2.64
-9.180e-02,2.56
-9.160e-02,2.64
-9.140e-02,2.56
-9.120e-02,2.56
-9.100e-02,2.56
-9.080e-02,2.64
-9.060e-02,2.64
-9.040e-02,2.64
-9.020e-02,2.64
-9.000e-02,2.64
-8.980e-02,2.72
-8.960e-02,2.72
-8.940e-02,2.72
-8.920e-02,2.72
-8.900e-02,2.72
-8.880e-02,2.72
-8.860e-02,2.8
-8.840e-02,2.8
-8.820e-02,2.8
-8.800e-02,2.8
-8.780e-02,2.72
-8.760e-02,2.8
-8.740e-02,2.72
-8.720e-02,2.8
-8.700e-02,2.72
-8.680e-02,2.8
-8.660e-02,2.72
-8.640e-02,2.72
-8.620e-02,2.8
-8.600e-02,2.8
-8.580e-02,2.72
-8.560e-02,2.72
-8.540e-02,2.72
-8.520e-02,2.64
-8.500e-02,2.56
-8.480e-02,2.64
-8.460e-02,2.48
-8.440e-02,2.56
-8.420e-02,2.64
-8.400e-02,2.64
-8.380e-02,2.64
-8.360e-02,2.64
-8.340e-02,2.64
-8.320e-02,2.56
-8.300e-02,2.56
-8.280e-02,2.64
-8.260e-02,2.64
-8.240e-02,2.72
-8.220e-02,2.64
-8.200e-02,2.72
-8.180e-02,2.72
-8.160e-02,2.64
-8.140e-02,2.72
-8.120e-02,2.72
-8.100e-02,2.72
-8.080e-02,2.72
-8.060e-02,2.72
-8.040e-02,2.72
-8.020e-02,2.8
-8.000e-02,2.8
-7.980e-02,2.8
-7.960e-02,2.8
-7.940e-02,2.8
-7.920e-02,2.8
-7.900e-02,2.8
-7.880e-02,2.72
-7.860e-02,2.8
-7.840e-02,2.8
-7.820e-02,2.8
-7.800e-02,2.8
-7.780e-02,2.72
-7.760e-02,2.8
-7.740e-02,2.72
-7.720e-02,2.72
-7.700e-02,2.64
-7.680e-02,2.64
-7.660e-02,2.64
-7.640e-02,2.64
-7.620e-02,2.64
-7.600e-02,2.64
-7.580e-02,2.64
-7.560e-02,2.64
-7.540e-02,2.64
-7.520e-02,2.64
-7.500e-02,2.64
-7.480e-02,2.64
-7.460e-02,2.64
-7.440e-02,2.56
-7.420e-02,2.72
-7.400e-02,2.64
-7.380e-02,2.64
-7.360e-02,2.64
-7.340e-02,2.64
-7.320e-02,2.72
-7.300e-02,2.8
-7.280e-02,2.8
-7.260e-02,2.8
-7.240e-02,2.8
-7.220e-02,2.72
-7.200e-02,2.8
-7.180e-02,2.8
-7.160e-02,2.72
