Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2
Horizontal Delay,0
Sample Interval,0.02
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.000e+01,4.6
-9.980e+00,4.6
-9.960e+00,4.8
-9.940e+00,4.6
-9.920e+00,4.6
-9.900e+00,4.4
-9.880e+00,4.6
-9.860e+00,4.6
-9.840e+00,4.4
-9.820e+00,4.4
-9.800e+00,4.8
-9.780e+00,4.6
-9.760e+00,4.8
-9.740e+00,4.8
-9.720e+00,4.6
-9.700e+00,4.8
-9.680e+00,4.4
-9.660e+00,4.4
-9.640e+00,4.6
-9.620e+00,4.6
-9.600e+00,4.4
-9.580e+00,4.6
-9.560e+00,4.4
-9.540e+00,4.6
-9.520e+00,4.6
-9.500e+00,4.4
-9.480e+00,4.8
-9.460e+00,4.8
-9.440e+00,4.6
-9.420e+00,4.6
-9.400e+00,4.6
-9.380e+00,4.8
-9.360e+00,5
-9.340e+00,4.8
-9.320e+00,4.8
-9.300e+00,4.6
-9.280e+00,4.8
-9.260e+00,5
-9.240e+00,4.8
-9.220e+00,4.6
-9.200e+00,4.6
-9.180e+00,4.6
-9.160e+00,4.8
-9.140e+00,4.8
-9.120e+00,4.8
-9.100e+00,4.6
-9.080e+00,4.8
-9.060e+00,4.6
-9.040e+00,4.8
-9.020e+00,4.6
-9.000e+00,4.6
-8.980e+00,4.8
-8.960e+00,4.8
-8.940e+00,4.6
-8.920e+00,4.8
-8.900e+00,4.6
-8.880e+00,4.8
-8.860e+00,4.8
-8.840e+00,4.6
-8.820e+00,4.8
-8.800e+00,4.8
-8.780e+00,5
-8.760e+00,4.8
-8.740e+00,4.8
-8.720e+00,4.8
-8.700e+00,4.6
-8.680e+00,4.6
-8.660e+00,4.8
-8.640e+00,4.8
-8.620e+00,4.8
-8.600e+00,4.6
-8.580e+00,5
-8.560e+00,5
-8.540e+00,4.8
-8.520e+00,5
-8.500e+00,4.8
-8.480e+00,4.8
-8.460e+00,4.6
-8.440e+00,4.8
-8.420e+00,4.8
-8.400e+00,4.8
-8.380e+00,4.8
-8.360e+00,4.8
-8.340e+00,4.8
-8.320e+00,4.8
-8.300e+00,4.8
-8.280e+00,4.6
-8.260e+00,4.4
-8.240e+00,4.4
-8.220e+00,4.6
-8.200e+00,4.6
-8.180e+00,4.6
-8.160e+00,4.6
-8.140e+00,4.4
-8.120e+00,4.8
-8.100e+00,4.6
-8.080e+00,4.6
-8.060e+00,4.6
-8.040e+00,4.6
-8.020e+00,4.4
-8.000e+00,4.6
-7.980e+00,4.6
-7.960e+00,4.6
-7.940e+00,4.4
-7.920e+00,4.6
-7.900e+00,4.6
-7.880e+00,4.4
-7.860e+00,4.6
-7.840e+00,4.6
-7.820e+00,4.6
-7.800e+00,4.4
-7.780e+00,4.6
-7.760e+00,4.6
-7.740e+00,4.4
-7.720e+00,4.6
-7.700e+00,4.6
-7.680e+00,4.6
-7.660e+00,4.4
-7.640e+00,4.6
-7.620e+00,4.6
-7.600e+00,4.6
-7.580e+00,4.6
-7.560e+00,4.4
-7.540e+00,4.6
-7.520e+00,4.6
-7.500e+00,4.6
-7.480e+00,4.6
-7.460e+00,4.6
-7.440e+00,4.4
-7.420e+00,4.4
-7.400e+00,4.4
-7.380e+00,4.6
-7.360e+00,4.6
-7.340e+00,4.6
-7.320e+00,4.6
-7.300e+00,4.8
-7.280e+00,4.6
-7.260e+00,4.6
-7.240e+00,4.6
-7.220e+00,4.6
-7.200e+00,4.6
-7.180e+00,4.6
-7.160e+00,4.6
-7.140e+00,4.6
