Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2
Horizontal Delay,0
Sample Interval,0.02
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-2.58
,
,
,
Label,
TIME,CH1
-1.000e+01,3.78
-9.980e+00,3.78
-9.960e+00,3.78
-9.940e+00,3.74
-9.920e+00,3.74
-9.900e+00,3.74
-9.880e+00,3.74
-9.860e+00,3.74
-9.840e+00,3.74
-9.820e+00,3.78
-9.800e+00,3.78
-9.780e+00,3.78
-9.760e+00,3.74
-9.740e+00,3.74
-9.720e+00,3.78
-9.700e+00,3.74
-9.680e+00,3.74
-9.660e+00,3.74
-9.640e+00,3.74
-9.620e+00,3.78
-9.600e+00,3.78
-9.580e+00,3.78
-9.560e+00,3.78
-9.540e+00,3.78
-9.520e+00,3.7
-9.500e+00,3.74
-9.480e+00,3.74
-9.460e+00,3.74
-9.440e+00,3.74
-9.420e+00,3.78
-9.400e+00,3.78
-9.380e+00,3.78
-9.360e+00,3.74
-9.340e+00,3.74
-9.320e+00,3.74
-9.300e+00,3.78
-9.280e+00,3.7
-9.260e+00,3.74
-9.240e+00,3.7
-9.220e+00,3.78
-9.200e+00,3.74
-9.180e+00,3.74
-9.160e+00,3.74
-9.140e+00,3.74
-9.120e+00,3.74
-9.100e+00,3.74
-9.080e+00,3.78
-9.060e+00,3.78
-9.040e+00,3.78
-9.020e+00,3.78
-9.000e+00,3.78
-8.980e+00,3.78
-8.960e+00,3.78
-8.940e+00,3.78
-8.920e+00,3.78
-8.900e+00,3.74
-8.880e+00,3.78
-8.860e+00,3.78
-8.840e+00,3.74
-8.820e+00,3.78
-8.800e+00,3.78
-8.780e+00,3.78
-8.760e+00,3.82
-8.740e+00,3.78
-8.720e+00,3.74
-8.700e+00,3.78
-8.680e+00,3.78
-8.660e+00,3.74
-8.640e+00,3.78
-8.620e+00,3.74
-8.600e+00,3.74
-8.580e+00,3.78
-8.560e+00,3.78
-8.540e+00,3.78
-8.520e+00,3.78
-8.500e+00,3.74
-8.480e+00,3.74
-8.460e+00,3.78
-8.440e+00,3.74
-8.420e+00,3.74
-8.400e+00,3.78
-8.380e+00,3.78
-8.360e+00,3.74
-8.340e+00,3.78
-8.320e+00,3.78
-8.300e+00,3.78
-8.280e+00,3.74
-8.260e+00,3.74
-8.240e+00,3.78
-8.220e+00,3.74
-8.200e+00,3.78
-8.180e+00,3.74
-8.160e+00,3.74
-8.140e+00,3.78
-8.120e+00,3.74
-8.100e+00,3.74
-8.080e+00,3.74
-8.060e+00,3.74
-8.040e+00,3.78
-8.020e+00,3.78
-8.000e+00,3.74
-7.980e+00,3.78
-7.960e+00,3.78
-7.940e+00,3.78
-7.920e+00,3.78
-7.900e+00,3.78
-7.880e+00,3.74
-7.860e+00,3.74
-7.840e+00,3.74
-7.820e+00,3.74
-7.800e+00,3.74
-7.780e+00,3.74
-7.760e+00,3.74
-7.740e+00,3.74
-7.720e+00,3.74
-7.700e+00,3.78
-7.680e+00,3.74
-7.660e+00,3.78
-7.640e+00,3.78
-7.620e+00,3.74
-7.600e+00,3.78
-7.580e+00,3.78
-7.560e+00,3.74
-7.540e+00,3.74
-7.520e+00,3.78
-7.500e+00,3.82
-7.480e+00,3.78
-7.460e+00,3.78
-7.440e+00,3.78
-7.420e+00,3.78
-7.400e+00,3.82
-7.380e+00,3.74
-7.360e+00,3.74
-7.340e+00,3.74
-7.320e+00,3.78
-7.300e+00,3.78
-7.280e+00,3.78
-7.260e+00,3.78
-7.240e+00,3.78
-7.220e+00,3.78
-7.200e+00,3.82
-7.180e+00,3.78
-7.160e+00,3.78
