o,i,M
20.5,41.4,1.7
20.45,41.55,1.44
20.5,44,1.795
20.45,40.6,1.6
20.5,43.1,1.781666667
22.5,37.1,1.45
22.5,36.6,1.4
22.4,37.7,1.488333333
22.5,36.95,1.448333333
22.45,36.4,1.385
24.5,32.75,1.173333333
24.5,32.35,1.125
24.45,34.05,1.316666667
24.5,33.05,1.211666667
24.5,32.05,1.161666667
26.5,29.55,1.005
26.5,29.85,1.075
26.45,29.65,0.986666667
26.5,29.05,0.866666667
26.5,30.55,1.105
28.1,29.1,0.988333333
28.1,28.9,0.995
28.15,28.7,1.021666667
28.1,28.55,0.991666667
28.05,28.5,0.993333333
30.1,26.95,0.903333333
30.1,26.2,0.853333333
30.15,26.3,0.883333333
30.1,26.6,0.905
30.1,26.4,0.905
32.1,25.4,0.818333333
32.1,25.2,0.791666667
32.1,25.5,0.828333333
32.05,25.2,0.75
32.1,25.3,0.77
34.1,23.9,0.7
34.1,24.25,0.808333333
34.05,24.1,0.731666667
34.05,23.8,0.69
34.1,23.7,0.675
36.1,23.15,0.65
36.1,22.9,0.598333333
36.1,23.15,0.66
36.15,23.1,0.66
36.1,22.6,0.608333333
38.1,22.5,0.64
38.1,22.2,0.59
38.1,22.3,0.595
38.05,22.2,0.63
38.1,22.15,0.623333333

