Chart Recorder Data File Tue, Sep 10, 2024 10:24 AM
Time (s)	CH1 (V)  
10:16:14.892	0.001673
10:16:15.692	0.016297
10:16:15.992	0.012077
10:16:16.392	-0.005042
10:16:16.692	-0.001109
10:16:17.092	0.012560
10:16:17.392	-0.000976
10:16:17.692	0.013459
10:16:18.092	0.010782
10:16:18.392	0.015290
10:16:18.792	0.018578
10:16:19.092	0.001335
10:16:19.492	-0.000028
10:16:19.792	0.000169
10:16:20.192	0.001604
10:16:20.492	0.004777
10:16:20.892	-0.002617
10:16:21.192	-0.000374
10:16:21.592	0.000440
10:16:21.892	-0.000721
10:16:22.292	-0.001150
10:16:22.592	-0.000032
10:16:22.892	0.000422
10:16:23.292	0.000203
10:16:23.592	0.000496
10:16:23.992	0.000119
10:16:24.292	-0.000161
10:16:24.692	-0.001195
10:16:24.992	-0.001048
10:16:25.392	0.000034
10:16:25.692	0.001183
10:16:25.992	0.001296
10:16:26.392	-0.000054
10:16:26.692	-0.000260
10:16:27.092	0.001329
10:16:27.392	-0.000397
10:16:27.792	0.001071
10:16:28.092	0.000396
10:16:28.491	-0.000774
10:16:28.792	-0.000604
10:16:29.192	-0.000361
10:16:29.492	-0.000125
10:16:29.892	0.000972
10:16:30.192	0.002686
10:16:30.492	0.001187
10:16:30.892	0.000908
10:16:31.192	-0.000364
10:16:31.592	0.000394
10:16:31.892	0.007936
10:16:32.192	0.003187
10:16:32.592	-0.003594
10:16:32.892	0.000946
10:16:33.292	0.000303
10:16:33.592	-0.000131
10:16:33.992	-0.000907
10:16:34.292	-0.000194
10:16:34.692	-0.000009
10:16:34.992	-0.000375
10:16:35.392	-0.000156
10:16:35.692	-0.000165
10:16:36.092	-0.000438
10:16:36.392	0.000229
10:16:36.792	0.000510
10:16:37.092	0.000264
10:16:37.492	-0.000042
10:16:37.792	-0.000217
10:16:38.192	-0.000170
10:16:38.492	-0.000311
10:16:38.892	0.000011
10:16:39.192	0.000443
10:16:39.592	0.000138
10:16:39.892	0.000010
10:16:40.192	0.000033
10:16:40.592	0.000463
10:16:40.892	0.000663
10:16:41.292	0.001304
10:16:41.592	0.000160
10:16:41.992	0.000332
10:16:42.292	0.000899
10:16:42.692	0.000968
10:16:42.992	0.001952
10:16:43.392	0.002372
10:16:43.692	0.000971
10:16:43.992	0.000788
10:16:44.392	-0.000037
10:16:44.692	0.000140
10:16:45.092	0.000554
10:16:45.392	-0.000140
10:16:45.692	-0.000026
10:16:46.092	0.000247
10:16:46.392	0.000525
10:16:46.792	0.000441
10:16:47.093	0.000113
10:16:47.492	0.001014
10:16:47.792	0.000339
10:16:48.192	0.001711
10:16:48.492	0.000109
10:16:48.892	0.000898
10:16:49.192	0.000699
10:16:49.592	0.000440
10:16:49.892	0.000359
10:16:50.292	0.000393
10:16:50.592	0.000014
10:16:50.892	0.000171
10:16:51.292	0.000710
10:16:51.592	0.001691
10:16:51.892	0.001450
10:16:52.292	0.000328
10:16:52.592	0.000524
10:16:52.992	0.000446
10:16:53.292	0.000705
10:16:53.593	0.000157
10:16:53.992	-0.000114
10:16:54.292	0.000139
10:16:54.692	0.000431
10:16:54.992	0.000625
10:16:55.392	0.000242
10:16:55.692	-0.000098
10:16:55.993	0.000174
10:16:56.392	-0.000022
10:16:56.692	0.000195
10:16:57.093	-0.000255
10:16:57.392	0.000007
10:16:57.792	0.000317
10:16:58.092	0.000134
10:16:58.492	0.000216
10:16:58.793	0.000154
10:16:59.192	-0.000028
10:16:59.493	-0.000024
10:16:59.892	0.000146
10:17:00.192	0.000640
10:17:00.593	0.000069
10:17:00.892	0.000331
10:17:01.293	0.000146
10:17:01.592	0.000317
10:17:01.992	0.000128
10:17:02.292	0.000167
10:17:02.692	0.000017
10:17:02.992	0.000186
10:17:03.392	0.000592
10:17:03.693	0.000224
10:17:03.992	0.000215
10:17:04.393	-0.000039
10:17:04.692	-0.000033
10:17:05.093	-0.000117
10:17:05.392	0.000164
10:17:05.792	0.000052
10:17:06.092	-0.000106
10:17:06.392	-0.000017
10:17:06.793	0.000195
10:17:07.093	0.000050
10:17:07.393	0.000143
10:17:07.793	0.000325
10:17:08.092	0.000185
10:17:08.492	0.000318
10:17:08.792	0.000048
10:17:09.192	0.000040
10:17:09.492	0.000092
10:17:09.892	-0.000014
10:17:10.192	0.000081
10:17:10.592	-0.000008
10:17:10.893	0.000430
10:17:11.292	0.000630
10:17:11.592	0.000317
10:17:11.992	0.000130
10:17:12.292	0.000146
10:17:12.692	0.000078
10:17:12.992	0.000109
10:17:13.393	0.000064
10:17:13.692	0.000184
10:17:14.092	0.000037
10:17:14.392	0.000076
10:17:14.693	0.000178
10:17:15.093	-0.000057
10:17:15.392	-0.000097
10:17:15.793	0.000211
10:17:16.092	0.000121
10:17:16.492	0.000478
10:17:16.793	0.000822
10:17:17.193	0.000215
10:17:17.492	0.000221
10:17:17.892	0.000099
10:17:18.193	0.000421
10:17:18.593	0.000091
10:17:18.893	-0.000007
10:17:19.193	0.000075
10:17:19.593	0.000103
10:17:19.893	0.000085
10:17:20.292	0.000351
10:17:20.693	0.000001
10:17:20.992	-0.000133
10:17:21.392	0.000060
10:17:21.692	0.000225
10:17:22.093	-0.000309
10:17:22.392	0.000189
10:17:22.793	0.000313
10:17:23.092	0.000220
10:17:23.392	0.000181
10:17:23.793	-0.000108
10:17:24.093	0.000002
10:17:24.393	0.000138
10:17:24.793	0.000165
10:17:25.092	0.000345
10:17:25.493	0.000131
10:17:25.792	0.000084
10:17:26.193	-0.000113
10:17:26.492	-0.000005
10:17:26.893	0.000260
10:17:27.192	0.000423
10:17:27.593	-0.000046
10:17:27.893	-0.000048
10:17:28.293	0.000104
10:17:28.593	0.000057
10:17:28.993	0.000544
10:17:29.294	0.000267
10:17:29.692	0.000225
10:17:29.992	0.000566
10:17:30.292	0.001183
10:17:30.692	0.000098
10:17:30.993	0.000269
10:17:31.392	0.000406
10:17:31.693	0.000199
10:17:32.092	0.000326
10:17:32.392	0.000251
10:17:32.792	0.000128
10:17:33.093	0.000379
10:17:33.492	0.000886
10:17:33.892	0.000340
10:17:34.193	0.000203
10:17:34.492	0.000425
10:17:34.892	0.000829
10:17:35.192	0.000638
10:17:35.593	0.000884
10:17:35.892	0.000525
10:17:36.192	-0.000197
10:17:36.593	0.001029
10:17:36.892	0.001233
10:17:37.193	0.001587
10:17:37.592	0.000765
10:17:37.893	0.000810
10:17:38.293	0.001093
10:17:38.593	0.000534
10:17:38.993	0.000854
10:17:39.293	0.000746
10:17:39.693	0.000934
10:17:39.993	0.001622
10:17:40.393	0.001370
10:17:40.693	0.001373
10:17:41.093	0.003024
10:17:41.393	0.005777
10:17:41.793	0.017416
10:17:42.092	0.041457
10:17:42.392	0.052333
10:17:42.792	0.035203
10:17:43.093	0.028108
10:17:43.392	0.023072
10:17:43.792	0.018604
10:17:44.092	0.012333
10:17:44.393	0.012620
10:17:44.792	0.007562
10:17:45.092	0.004635
10:17:45.493	0.004707
10:17:45.793	0.004612
10:17:46.193	0.002344
10:17:46.493	0.001628
10:17:46.892	0.001639
10:17:47.193	0.000741
10:17:47.593	0.000627
10:17:47.892	0.002646
10:17:48.293	-0.000059
10:17:48.593	0.000098
10:17:48.993	-0.000133
10:17:49.293	0.000506
10:17:49.692	-0.000078
10:17:49.993	0.000719
10:17:50.392	0.000750
10:17:50.693	0.000734
10:17:51.093	0.001330
10:17:51.393	0.002034
10:17:51.793	0.003011
10:17:52.093	0.002405
10:17:52.493	0.001175
10:17:52.793	0.002973
10:17:53.193	0.001481
10:17:53.493	0.001514
10:17:53.893	0.000697
10:17:54.193	0.001624
10:17:54.593	0.000997
10:17:54.893	0.000616
10:17:55.292	0.001228
10:17:55.594	0.002127
10:17:55.992	0.000848
10:17:56.294	0.000684
10:17:56.692	0.001318
10:17:56.993	0.000371
10:17:57.293	0.001500
10:17:57.692	0.000569
10:17:57.992	0.000519
10:17:58.392	0.000427
10:17:58.692	0.000503
10:17:59.093	0.000334
10:17:59.393	-0.000047
10:17:59.793	0.000363
10:18:00.092	0.000456
10:18:00.493	0.000258
10:18:00.793	0.000112
10:18:01.193	0.000586
10:18:01.493	0.000190
10:18:01.893	0.000483
10:18:02.193	0.000404
10:18:02.592	0.000250
10:18:02.892	0.000268
10:18:03.292	0.000330
10:18:03.593	0.000391
10:18:03.992	0.000354
10:18:04.292	0.000197
10:18:04.593	0.000518
10:18:04.993	0.001167
10:18:05.292	0.000655
10:18:05.693	0.000300
10:18:05.993	0.000595
10:18:06.393	0.000162
10:18:06.693	0.000084
10:18:07.093	-0.000043
10:18:07.393	0.000702
10:18:07.792	0.000382
10:18:08.092	0.000231
10:18:08.493	0.000574
10:18:08.792	0.000709
10:18:09.193	0.000282
10:18:09.492	0.000156
10:18:09.893	0.000158
10:18:10.193	0.000313
10:18:10.492	0.000366
10:18:10.893	0.000369
10:18:11.193	0.000898
10:18:11.593	0.000529
10:18:11.893	0.000109
10:18:12.292	0.000270
10:18:12.593	0.000241
10:18:12.993	0.000358
10:18:13.294	0.000604
10:18:13.593	0.000453
10:18:13.993	0.000527
10:18:14.292	0.000532
10:18:14.693	0.000210
10:18:14.992	0.000653
10:18:15.392	0.000404
10:18:15.693	0.000848
10:18:16.092	0.001240
10:18:16.393	0.000621
10:18:16.692	-0.000059
10:18:17.092	0.000509
10:18:17.393	0.000868
10:18:17.792	0.001035
10:18:18.093	0.000365
10:18:18.492	0.001887
10:18:18.792	0.000821
10:18:19.092	0.000211
10:18:19.494	-0.001169
10:18:19.793	0.001477
10:18:20.193	0.000898
10:18:20.492	0.000642
10:18:20.893	0.000063
10:18:21.193	0.000464
10:18:21.492	-0.000199
10:18:21.893	0.000585
10:18:22.192	0.000669
10:18:22.593	-0.000224
10:18:22.892	-0.000404
10:18:23.292	-0.000963
10:18:23.592	-0.000280
10:18:23.993	-0.000280
10:18:24.293	-0.000607
10:18:24.592	0.007733
10:18:24.992	0.003929
10:18:25.293	0.001208
10:18:25.692	-0.000941
10:18:25.993	-0.000821
10:18:26.393	0.000003
10:18:26.693	0.000002
10:18:27.093	0.000152
10:18:27.392	0.000302
10:18:27.693	-0.000022
10:18:28.093	0.000071
10:18:28.393	0.000540
10:18:28.793	0.000212
10:18:29.093	0.000578
10:18:29.493	0.000024
10:18:29.794	-0.000775
10:18:30.193	-0.000034
10:18:30.493	0.000533
10:18:30.893	0.000544
10:18:31.193	-0.000078
10:18:31.593	-0.000200
10:18:31.893	-0.000022
10:18:32.293	-0.000012
10:18:32.593	0.000653
10:18:32.893	-0.000388
10:18:33.292	0.000068
10:18:33.592	-0.000063
10:18:33.993	-0.000137
10:18:34.293	-0.000365
10:18:34.593	-0.000542
10:18:34.993	-0.000525
10:18:35.293	0.000084
10:18:35.693	-0.000190
10:18:35.993	-0.000350
10:18:36.392	-0.000047
10:18:36.693	-0.000013
10:18:37.092	0.000774
10:18:37.393	0.000754
10:18:37.793	-0.000005
10:18:38.093	-0.000312
10:18:38.393	-0.000301
10:18:38.792	-0.000319
10:18:39.093	-0.000397
10:18:39.493	-0.000575
10:18:39.793	-0.000557
10:18:40.193	-0.000377
10:18:40.492	-0.000037
10:18:40.893	-0.000032
10:18:41.193	-0.000193
10:18:41.593	-0.000390
10:18:41.892	0.000366
10:18:42.293	0.003604
10:18:42.593	0.003839
10:18:42.993	0.000932
10:18:43.292	-0.001437
10:18:43.693	-0.000046
10:18:43.993	-0.000263
10:18:44.393	-0.000453
10:18:44.693	0.004265
10:18:45.093	-0.000898
10:18:45.392	-0.000945
10:18:45.693	-0.000408
10:18:46.093	0.000077
10:18:46.392	0.000163
10:18:46.792	-0.000333
10:18:47.093	-0.000089
10:18:47.393	-0.000169
10:18:47.793	-0.000338
10:18:48.192	0.000336
10:18:48.493	0.000504
10:18:48.892	-0.000613
10:18:49.193	-0.000460
10:18:49.593	0.000140
10:18:49.893	0.000447
10:18:50.292	-0.000533
10:18:50.593	0.000062
10:18:50.993	0.000133
10:18:51.293	0.000541
10:18:51.693	0.000009
10:18:51.992	-0.000771
10:18:52.394	-0.000680
10:18:52.693	-0.000403
10:18:53.093	0.000001
10:18:53.393	0.003105
10:18:53.692	0.002788
10:18:54.093	0.000184
10:18:54.393	0.001535
10:18:54.793	-0.000503
10:18:55.093	0.001361
