Chart Recorder Data File Tue, Sep 10, 2024 12:21 PM
Time (s)	CH1 (V)  
12:14:23.734	0.000010
12:14:24.534	-0.000109
12:14:24.836	-0.000100
12:14:25.235	-0.000115
12:14:25.535	-0.000130
12:14:25.834	-0.000105
12:14:26.235	-0.000033
12:14:26.535	-0.000024
12:14:26.934	-0.000137
12:14:27.235	-0.000157
12:14:27.535	-0.000155
12:14:27.935	-0.000179
12:14:28.235	-0.000176
12:14:28.634	-0.000120
12:14:28.935	-0.000140
12:14:29.335	-0.000140
12:14:29.635	-0.000207
12:14:30.035	-0.000186
12:14:30.335	-0.000109
12:14:30.635	-0.000068
12:14:31.035	-0.000129
12:14:31.335	-0.000141
12:14:31.635	-0.000117
12:14:32.035	-0.000225
12:14:32.335	-0.000237
12:14:32.735	-0.000094
12:14:33.034	0.000055
12:14:33.435	-0.000136
12:14:33.735	-0.000135
12:14:34.135	-0.000126
12:14:34.435	-0.000194
12:14:34.735	-0.000179
12:14:35.135	-0.000131
12:14:35.435	-0.000130
12:14:35.835	-0.000146
12:14:36.134	-0.000143
12:14:36.534	-0.000019
12:14:36.835	-0.000145
12:14:37.235	-0.000225
12:14:37.535	-0.000133
12:14:37.935	-0.000153
12:14:38.235	-0.000152
12:14:38.535	-0.000145
12:14:38.935	-0.000002
12:14:39.235	-0.000065
12:14:39.634	-0.000136
12:14:39.934	-0.000003
12:14:40.335	-0.000093
12:14:40.635	-0.000080
12:14:40.935	-0.000052
12:14:41.335	-0.000115
12:14:41.634	-0.000060
12:14:42.035	-0.000069
12:14:42.335	-0.000163
12:14:42.735	-0.000089
12:14:43.035	-0.000103
12:14:43.435	-0.000031
12:14:43.735	-0.000143
12:14:44.135	-0.000115
12:14:44.434	-0.000167
12:14:44.735	-0.000078
12:14:45.134	-0.000134
12:14:45.435	-0.000059
12:14:45.735	-0.000068
12:14:46.135	0.000024
12:14:46.435	-0.000054
12:14:46.735	-0.000081
12:14:47.135	-0.000171
12:14:47.435	-0.000109
12:14:47.735	-0.000109
12:14:48.135	-0.000135
12:14:48.434	-0.000134
12:14:48.735	-0.000167
12:14:49.135	-0.000235
12:14:49.435	-0.000157
12:14:49.735	-0.000125
12:14:50.135	-0.000098
12:14:50.435	-0.000202
12:14:50.835	-0.000189
12:14:51.135	-0.000167
12:14:51.534	-0.000099
12:14:51.835	-0.000078
12:14:52.135	-0.000143
12:14:52.535	-0.000120
12:14:52.835	-0.000109
12:14:53.235	-0.000103
12:14:53.535	-0.000092
12:14:53.835	-0.000126
12:14:54.235	-0.000180
12:14:54.535	-0.000149
12:14:54.835	-0.000164
12:14:55.235	-0.000241
12:14:55.535	-0.000136
12:14:55.835	-0.000088
12:14:56.235	0.000008
12:14:56.535	-0.000216
12:14:56.935	-0.000071
12:14:57.235	-0.000078
12:14:57.635	-0.000200
12:14:57.935	-0.000200
12:14:58.335	-0.000144
12:14:58.635	-0.000073
12:14:59.035	-0.000131
12:14:59.335	-0.000159
12:14:59.635	-0.000120
12:15:00.035	-0.000148
12:15:00.335	-0.000088
12:15:00.735	-0.000135
12:15:01.035	-0.000058
12:15:01.435	-0.000046
12:15:01.735	0.000005
12:15:02.135	-0.000088
12:15:02.435	-0.000097
12:15:02.735	-0.000131
12:15:03.135	-0.000145
12:15:03.435	-0.000120
12:15:03.835	-0.000175
12:15:04.135	-0.000166
12:15:04.535	-0.000114
12:15:04.836	-0.000114
12:15:05.135	-0.000111
12:15:05.535	-0.000070
12:15:05.835	-0.000084
12:15:06.235	-0.000166
12:15:06.535	-0.000188
12:15:06.935	-0.000035
12:15:07.235	0.000045
12:15:07.635	-0.000111
12:15:07.935	-0.000149
12:15:08.335	-0.000267
12:15:08.635	-0.000169
12:15:08.935	-0.000162
12:15:09.335	-0.000085
12:15:09.635	-0.000126
12:15:09.935	-0.000180
12:15:10.335	-0.000192
12:15:10.635	-0.000172
12:15:11.035	-0.000112
12:15:11.335	-0.000272
12:15:11.735	-0.000048
12:15:12.035	-0.000016
12:15:12.435	-0.000123
12:15:12.735	-0.000203
12:15:13.135	-0.000181
12:15:13.435	-0.000195
12:15:13.736	-0.000096
12:15:14.135	-0.000149
12:15:14.435	-0.000151
12:15:14.835	-0.000079
12:15:15.135	-0.000112
12:15:15.535	-0.000151
12:15:15.835	-0.000187
12:15:16.235	-0.000133
12:15:16.535	-0.000150
12:15:16.835	-0.000181
12:15:17.235	-0.000170
12:15:17.535	-0.000131
12:15:17.935	-0.000160
12:15:18.235	-0.000129
12:15:18.636	-0.000063
12:15:18.935	0.000046
12:15:19.336	-0.000114
12:15:19.635	-0.000158
12:15:19.935	-0.000170
12:15:20.335	-0.000070
12:15:20.635	-0.000147
12:15:21.035	-0.000135
12:15:21.335	-0.000103
