Chart Recorder Data File Thu, Sep 12, 2024 3:00 PM
Time (s)	CH1 (V)  
14:55:50.198	-0.055637
14:55:51.098	-0.056636
14:55:51.398	-0.055870
14:55:51.797	-0.055068
14:55:52.098	-0.055889
14:55:52.398	-0.054729
14:55:52.798	-0.056174
14:55:53.097	-0.053736
14:55:53.397	-0.056277
14:55:53.798	-0.054941
14:55:54.097	-0.054357
14:55:54.498	-0.054505
14:55:54.897	-0.054844
14:55:55.198	-0.055342
14:55:55.498	-0.053378
14:55:55.899	-0.054977
14:55:56.198	-0.055033
14:55:56.498	-0.053106
14:55:56.898	-0.051205
14:55:57.198	-0.053875
14:55:57.598	-0.053529
14:55:57.898	-0.052209
14:55:58.298	-0.051353
14:55:58.598	-0.053481
14:55:58.998	-0.051721
14:55:59.298	-0.054681
14:55:59.597	-0.053752
14:55:59.998	-0.054441
14:56:00.298	-0.052703
14:56:00.598	-0.053720
14:56:00.998	-0.052216
14:56:01.298	-0.052216
14:56:01.698	-0.052648
14:56:01.997	-0.053011
14:56:02.298	-0.051702
14:56:02.697	-0.051108
14:56:02.998	-0.053469
14:56:03.298	-0.052590
14:56:03.698	-0.054012
14:56:03.998	-0.053304
14:56:04.298	-0.052344
14:56:04.698	-0.051027
14:56:04.998	-0.054600
14:56:05.398	-0.053425
14:56:05.698	-0.051574
14:56:05.998	-0.052857
14:56:06.398	-0.051519
14:56:06.698	-0.053042
14:56:07.098	-0.050629
14:56:07.398	-0.049953
14:56:07.698	-0.050617
14:56:08.098	-0.051637
14:56:08.397	-0.052313
14:56:08.799	-0.051481
14:56:09.098	-0.052148
14:56:09.397	-0.050562
14:56:09.798	-0.050598
14:56:10.098	-0.051719
14:56:10.498	-0.050513
14:56:10.798	-0.051526
14:56:11.097	-0.052380
14:56:11.497	-0.050995
14:56:11.798	-0.053287
14:56:12.198	-0.050785
14:56:12.498	-0.051867
14:56:12.898	-0.051728
14:56:13.197	-0.050045
14:56:13.499	-0.049647
14:56:13.898	-0.049157
14:56:14.198	-0.048827
14:56:14.498	-0.048500
14:56:14.898	-0.047951
14:56:15.198	-0.049181
14:56:15.598	-0.049938
14:56:15.897	-0.048396
14:56:16.298	-0.045264
14:56:16.598	-0.046255
14:56:16.897	-0.048619
14:56:17.297	-0.048398
14:56:17.598	-0.047480
14:56:17.998	-0.048131
14:56:18.298	-0.047034
14:56:18.598	-0.047370
14:56:18.998	-0.045987
14:56:19.298	-0.047635
14:56:19.698	-0.045462
14:56:19.998	-0.045007
14:56:20.298	-0.047868
14:56:20.697	-0.046472
14:56:20.998	-0.042866
14:56:21.398	-0.044124
14:56:21.698	-0.044202
14:56:21.998	-0.043117
14:56:22.398	-0.044702
14:56:22.698	-0.041800
14:56:23.098	-0.042968
14:56:23.398	-0.039263
14:56:23.698	-0.040143
14:56:24.098	-0.039148
14:56:24.398	-0.027701
14:56:24.698	-0.026920
14:56:25.098	-0.011184
14:56:25.397	0.037024
14:56:25.798	0.144910
14:56:26.098	0.204042
14:56:26.498	0.255133
14:56:26.798	0.193783
14:56:27.198	0.108364
14:56:27.498	0.069240
14:56:27.798	0.012343
14:56:28.198	-0.025062
14:56:28.498	-0.043356
14:56:28.798	-0.050269
14:56:29.198	-0.054189
14:56:29.498	-0.056113
14:56:29.799	-0.058258
14:56:30.198	-0.058627
14:56:30.498	-0.060814
14:56:30.798	-0.060343
14:56:31.198	-0.059905
14:56:31.498	-0.061071
14:56:31.798	-0.061788
14:56:32.198	-0.062898
14:56:32.498	-0.060985
14:56:32.898	-0.063153
14:56:33.198	-0.061614
14:56:33.597	-0.063209
14:56:33.898	-0.063597
14:56:34.198	-0.062575
14:56:34.598	-0.062311
14:56:34.898	-0.062203
14:56:35.198	-0.061223
14:56:35.598	-0.063038
14:56:35.898	-0.063717
14:56:36.298	-0.062182
14:56:36.599	-0.064843
14:56:36.998	-0.062486
14:56:37.298	-0.062953
14:56:37.598	-0.062810
14:56:37.998	-0.062155
14:56:38.298	-0.064213
14:56:38.598	-0.063209
14:56:38.998	-0.062821
14:56:39.298	-0.060899
14:56:39.698	-0.062385
14:56:39.998	-0.062677
14:56:40.398	-0.062887
14:56:40.698	-0.063023
14:56:41.098	-0.063318
14:56:41.399	-0.062671
14:56:41.699	-0.063563
14:56:42.098	-0.061258
14:56:42.398	-0.061611
14:56:42.698	-0.063151
14:56:43.098	-0.064222
14:56:43.398	-0.063746
14:56:43.799	-0.062145
14:56:44.098	-0.062409
14:56:44.498	-0.063315
14:56:44.798	-0.063540
14:56:45.198	-0.062595
14:56:45.498	-0.062241
14:56:45.798	-0.062983
14:56:46.198	-0.064360
14:56:46.498	-0.063417
14:56:46.898	-0.063138
14:56:47.198	-0.064201
14:56:47.598	-0.062992
14:56:47.898	-0.062209
14:56:48.198	-0.062064
14:56:48.598	-0.063737
