Chart Recorder Data File Fri, Sep 13, 2024 9:17 AM
Time (s)	CH1 (V)  
09:13:25.288	-0.069892
09:13:26.088	-0.069873
09:13:26.388	-0.069945
09:13:26.788	-0.069917
09:13:27.088	-0.069852
09:13:27.488	-0.069921
09:13:27.888	-0.069878
09:13:28.187	-0.069910
09:13:28.488	-0.069889
09:13:28.888	-0.069876
09:13:29.188	-0.069891
09:13:29.588	-0.069886
09:13:29.888	-0.069815
09:13:30.288	-0.069851
09:13:30.588	-0.069844
09:13:30.988	-0.069865
09:13:31.289	-0.069861
09:13:31.688	-0.069872
09:13:31.989	-0.069868
09:13:32.388	-0.069867
09:13:32.688	-0.069872
09:13:33.088	-0.069859
09:13:33.388	-0.069856
09:13:33.788	-0.069861
09:13:34.088	-0.069862
09:13:34.488	-0.069869
09:13:34.788	-0.069853
09:13:35.188	-0.069835
09:13:35.488	-0.069860
09:13:35.888	-0.069846
09:13:36.188	-0.069837
09:13:36.488	-0.069832
09:13:36.888	-0.069858
09:13:37.188	-0.069839
09:13:37.488	-0.069827
09:13:37.888	-0.069832
09:13:38.188	-0.069807
09:13:38.588	-0.069809
09:13:38.888	-0.069834
09:13:39.288	-0.069844
09:13:39.588	-0.069854
09:13:39.888	-0.069835
09:13:40.288	-0.069826
09:13:40.588	-0.069836
09:13:40.988	-0.069821
09:13:41.288	-0.069849
09:13:41.688	-0.069813
09:13:41.988	-0.069808
09:13:42.388	-0.069850
09:13:42.688	-0.069813
09:13:43.088	-0.069829
09:13:43.388	-0.069839
09:13:43.788	-0.069825
09:13:44.088	-0.069821
09:13:44.488	-0.069818
09:13:44.788	-0.069826
09:13:45.188	-0.069821
09:13:45.488	-0.069815
09:13:45.888	-0.069826
09:13:46.188	-0.069816
09:13:46.488	-0.069817
09:13:46.888	-0.069813
09:13:47.188	-0.069807
09:13:47.588	-0.069791
09:13:47.888	-0.069791
09:13:48.288	-0.069806
09:13:48.588	-0.069775
09:13:48.988	-0.069782
09:13:49.288	-0.069794
09:13:49.688	-0.069803
09:13:49.988	-0.069819
09:13:50.388	-0.069803
09:13:50.688	-0.069742
09:13:51.088	-0.069781
09:13:51.388	-0.069785
09:13:51.688	-0.069789
09:13:52.088	-0.069770
09:13:52.388	-0.069812
09:13:52.788	-0.069801
09:13:53.088	-0.069788
09:13:53.488	-0.069773
09:13:53.788	-0.069770
09:13:54.188	-0.069778
09:13:54.488	-0.069736
09:13:54.888	-0.069764
09:13:55.188	-0.069743
09:13:55.488	-0.069768
09:13:55.888	-0.069769
09:13:56.188	-0.069770
09:13:56.588	-0.069766
09:13:56.888	-0.069760
09:13:57.288	-0.069757
09:13:57.588	-0.069764
09:13:57.888	-0.069753
09:13:58.288	-0.069787
09:13:58.588	-0.069769
09:13:58.988	-0.069762
09:13:59.288	-0.069789
09:13:59.588	-0.069764
09:13:59.988	-0.069749
09:14:00.288	-0.069756
09:14:00.688	-0.069758
09:14:00.988	-0.069771
09:14:01.388	-0.069793
09:14:01.688	-0.069771
09:14:02.088	-0.069790
09:14:02.388	-0.069751
09:14:02.688	-0.069743
09:14:03.088	-0.069807
09:14:03.388	-0.069800
09:14:03.688	-0.069806
09:14:04.088	-0.069816
09:14:04.388	-0.069775
09:14:04.688	-0.069798
09:14:05.089	-0.069820
09:14:05.388	-0.069797
09:14:05.788	-0.069825
09:14:06.088	-0.069820
09:14:06.488	-0.069813
09:14:06.788	-0.069805
09:14:07.188	-0.069784
09:14:07.489	-0.069822
09:14:07.888	-0.069835
09:14:08.188	-0.069818
09:14:08.588	-0.069837
09:14:08.888	-0.069858
09:14:09.288	-0.069846
09:14:09.588	-0.069838
09:14:09.988	-0.069809
09:14:10.288	-0.069844
09:14:10.689	-0.069797
09:14:10.988	-0.069811
09:14:11.388	-0.069848
09:14:11.688	-0.069839
09:14:12.088	-0.069825
09:14:12.388	-0.069838
09:14:12.789	-0.069797
09:14:13.089	-0.069814
09:14:13.488	-0.069822
09:14:13.788	-0.069829
09:14:14.188	-0.069821
09:14:14.488	-0.069837
09:14:14.789	-0.069820
09:14:15.188	-0.069805
09:14:15.489	-0.069815
09:14:15.788	-0.069788
09:14:16.188	-0.069806
09:14:16.488	-0.069816
09:14:16.888	-0.069816
09:14:17.188	-0.069814
09:14:17.588	-0.069786
09:14:17.889	-0.069770
09:14:18.288	-0.069770
09:14:18.589	-0.069772
09:14:18.888	-0.069781
09:14:19.288	-0.069799
09:14:19.588	-0.069787
09:14:19.988	-0.069787
09:14:20.288	-0.069783
09:14:20.688	-0.069787
09:14:20.988	-0.069777
09:14:21.389	-0.069780
09:14:21.689	-0.069788
09:14:21.988	-0.069788
09:14:22.388	-0.069771
09:14:22.688	-0.069777
09:14:23.089	-0.069750
09:14:23.388	-0.069758
09:14:23.788	-0.069760
09:14:24.088	-0.069752
09:14:24.488	-0.069768
09:14:24.789	-0.069747
09:14:25.189	-0.069744
09:14:25.488	-0.069748
09:14:25.788	-0.069756
09:14:26.188	-0.069730
09:14:26.488	-0.069750
09:14:26.889	-0.069746
09:14:27.188	-0.069751
09:14:27.588	-0.069738
09:14:27.888	-0.069740
09:14:28.288	-0.069728
09:14:28.588	-0.069741
09:14:28.988	-0.069688
09:14:29.288	-0.069720
09:14:29.688	-0.069694
09:14:29.988	-0.069688
09:14:30.388	-0.069682
09:14:30.688	-0.069684
09:14:31.088	-0.069667
09:14:31.388	-0.069625
09:14:31.788	-0.069677
09:14:32.189	-0.069673
09:14:32.488	-0.069699
09:14:32.788	-0.069676
09:14:33.189	-0.069657
09:14:33.489	-0.069692
