Chart Recorder Data File Fri, Sep 13, 2024 11:22 AM
Time (s)	CH1 (V)  
11:18:05.029	-0.068319
11:18:05.928	-0.068557
11:18:06.228	-0.068499
11:18:06.528	-0.068578
11:18:06.928	-0.068468
11:18:07.228	-0.068382
11:18:07.628	-0.068569
11:18:07.928	-0.068541
11:18:08.328	-0.068534
11:18:08.629	-0.068291
11:18:09.028	-0.068514
11:18:09.329	-0.068322
11:18:09.628	-0.068244
11:18:10.028	-0.068451
11:18:10.328	-0.068128
11:18:10.729	-0.068142
11:18:11.029	-0.068301
11:18:11.429	-0.068657
11:18:11.728	-0.068385
11:18:12.128	-0.068312
11:18:12.429	-0.068252
11:18:12.829	-0.068324
11:18:13.129	-0.068276
11:18:13.428	-0.068363
11:18:13.828	-0.068288
11:18:14.128	-0.068438
11:18:14.529	-0.068265
11:18:14.828	-0.068276
11:18:15.229	-0.068366
11:18:15.529	-0.068300
11:18:15.929	-0.068327
11:18:16.229	-0.068585
11:18:16.628	-0.068352
11:18:16.929	-0.068139
11:18:17.328	-0.068332
11:18:17.629	-0.068337
11:18:18.029	-0.068338
11:18:18.328	-0.068212
11:18:18.729	-0.068233
11:18:19.028	-0.068415
11:18:19.429	-0.068224
11:18:19.728	-0.068398
11:18:20.029	-0.068266
11:18:20.428	-0.068404
11:18:20.728	-0.068226
11:18:21.129	-0.068369
11:18:21.428	-0.068403
11:18:21.829	-0.068404
11:18:22.129	-0.068187
11:18:22.429	-0.068100
11:18:22.828	-0.068262
11:18:23.129	-0.068321
11:18:23.528	-0.068174
11:18:23.829	-0.068310
11:18:24.228	-0.068228
11:18:24.528	-0.068199
11:18:24.928	-0.068339
11:18:25.228	-0.068037
11:18:25.628	-0.068031
11:18:25.929	-0.067896
11:18:26.329	-0.068259
11:18:26.628	-0.068398
11:18:27.028	-0.068073
11:18:27.328	-0.068324
11:18:27.628	-0.068356
11:18:28.029	-0.068105
11:18:28.328	-0.068161
11:18:28.728	-0.068243
11:18:29.028	-0.068198
11:18:29.429	-0.068242
11:18:29.729	-0.068196
11:18:30.129	-0.067930
11:18:30.429	-0.068147
11:18:30.828	-0.067921
11:18:31.129	-0.068037
11:18:31.429	-0.068157
11:18:31.828	-0.068019
11:18:32.129	-0.067989
11:18:32.429	-0.068156
11:18:32.828	-0.068234
11:18:33.128	-0.067936
11:18:33.429	-0.068179
11:18:33.829	-0.068208
11:18:34.128	-0.068152
11:18:34.528	-0.067868
11:18:34.829	-0.067863
11:18:35.228	-0.068159
11:18:35.528	-0.067894
11:18:35.929	-0.067993
11:18:36.228	-0.068134
11:18:36.629	-0.067954
11:18:36.929	-0.067997
11:18:37.328	-0.067892
11:18:37.629	-0.067863
11:18:38.028	-0.067920
11:18:38.329	-0.067855
11:18:38.628	-0.067940
11:18:39.028	-0.067860
11:18:39.328	-0.067897
11:18:39.729	-0.067753
11:18:40.029	-0.068055
11:18:40.428	-0.067899
11:18:40.729	-0.067985
11:18:41.129	-0.067866
11:18:41.429	-0.067987
11:18:41.729	-0.067834
11:18:42.128	-0.067879
11:18:42.429	-0.067716
11:18:42.828	-0.067905
11:18:43.128	-0.067783
11:18:43.529	-0.067817
11:18:43.829	-0.067957
11:18:44.228	-0.068078
11:18:44.529	-0.068389
11:18:44.929	-0.067991
11:18:45.229	-0.068128
11:18:45.528	-0.068220
11:18:45.929	-0.068258
11:18:46.229	-0.068287
11:18:46.629	-0.068226
11:18:47.029	-0.068534
11:18:47.329	-0.068571
11:18:47.729	-0.068548
11:18:48.029	-0.068755
11:18:48.429	-0.068807
11:18:48.728	-0.068861
11:18:49.129	-0.068806
11:18:49.429	-0.068933
11:18:49.828	-0.068784
11:18:50.129	-0.068765
11:18:50.528	-0.069047
11:18:50.829	-0.068926
11:18:51.228	-0.068851
11:18:51.529	-0.068995
11:18:51.929	-0.068999
11:18:52.229	-0.068689
11:18:52.629	-0.068955
11:18:52.929	-0.068800
11:18:53.329	-0.068986
11:18:53.628	-0.068876
11:18:53.929	-0.068814
11:18:54.329	-0.068950
11:18:54.629	-0.068715
11:18:55.028	-0.069038
11:18:55.328	-0.068908
11:18:55.728	-0.068967
11:18:56.029	-0.068721
11:18:56.429	-0.068959
11:18:56.729	-0.068838
11:18:57.129	-0.068675
11:18:57.429	-0.068907
11:18:57.829	-0.068702
11:18:58.129	-0.068747
11:18:58.529	-0.068842
11:18:58.829	-0.068818
11:18:59.229	-0.068791
11:18:59.529	-0.068920
11:18:59.929	-0.068743
11:19:00.229	-0.068774
11:19:00.629	-0.068784
11:19:00.928	-0.068908
11:19:01.329	-0.068871
11:19:01.629	-0.068735
11:19:02.029	-0.068887
11:19:02.329	-0.068729
11:19:02.728	-0.068816
11:19:03.029	-0.068864
11:19:03.429	-0.068766
11:19:03.728	-0.068808
11:19:04.129	-0.068809
11:19:04.429	-0.068818
11:19:04.828	-0.068703
11:19:05.129	-0.068742
11:19:05.529	-0.068717
11:19:05.828	-0.068667
11:19:06.228	-0.068757
11:19:06.529	-0.068864
11:19:06.829	-0.068635
11:19:07.229	-0.068740
11:19:07.529	-0.068754
11:19:07.929	-0.068923
11:19:08.229	-0.068777
11:19:08.628	-0.068610
11:19:08.929	-0.068553
11:19:09.329	-0.068567
11:19:09.628	-0.068689
11:19:10.029	-0.068776
11:19:10.328	-0.068704
11:19:10.729	-0.068714
11:19:11.029	-0.068803
11:19:11.429	-0.068617
11:19:11.729	-0.068667
11:19:12.129	-0.068704
11:19:12.429	-0.068698
11:19:12.729	-0.068836
11:19:13.129	-0.068804
11:19:13.429	-0.068715
11:19:13.729	-0.068699
11:19:14.129	-0.068365
11:19:14.429	-0.068533
11:19:14.829	-0.068635
11:19:15.129	-0.068426
