Chart Recorder Data File Tue, Sep 17, 2024 10:46 AM
Time (s)	CH1 (V)  
10:40:43.255	0.004627
10:40:44.055	0.006256
10:40:44.355	0.016162
10:40:44.755	0.008737
10:40:45.055	-0.005247
10:40:45.355	-0.009873
10:40:45.755	-0.000927
10:40:46.055	0.008282
10:40:46.455	-0.001050
10:40:46.755	0.005628
10:40:47.055	-0.000979
10:40:47.455	0.004599
10:40:47.755	0.011229
10:40:48.155	0.000661
10:40:48.455	-0.002956
10:40:48.855	0.008588
10:40:49.155	0.008664
10:40:49.455	0.005369
10:40:49.855	0.007206
10:40:50.155	-0.006896
10:40:50.455	-0.002857
10:40:50.855	0.006004
10:40:51.155	0.006326
10:40:51.455	0.004597
10:40:51.855	-0.015908
10:40:52.155	0.003457
10:40:52.455	0.002379
10:40:52.855	-0.006991
10:40:53.155	-0.006662
10:40:53.455	0.003121
10:40:53.855	-0.001862
10:40:54.155	0.009076
10:40:54.455	0.005031
10:40:54.855	0.011221
10:40:55.155	0.013154
10:40:55.555	0.006555
10:40:55.855	0.004274
10:40:56.155	-0.011783
10:40:56.555	-0.006379
10:40:56.855	0.012975
10:40:57.255	0.006765
10:40:57.556	0.000677
10:40:57.855	0.002226
10:40:58.256	0.001749
10:40:58.554	0.013324
10:40:58.955	-0.001780
10:40:59.255	0.009433
10:40:59.555	0.005289
10:40:59.955	-0.004927
10:41:00.255	0.012143
10:41:00.555	0.008769
10:41:00.955	-0.007172
10:41:01.255	-0.000205
10:41:01.555	-0.005629
10:41:01.955	0.004744
10:41:02.255	0.007856
10:41:02.655	-0.002339
10:41:02.955	-0.001559
10:41:03.255	0.002417
10:41:03.655	0.000400
10:41:03.954	-0.006050
10:41:04.255	0.014258
10:41:04.655	-0.001208
10:41:04.955	0.003598
10:41:05.255	0.001557
10:41:05.655	-0.005502
10:41:05.955	0.004652
10:41:06.355	0.003828
10:41:06.655	0.001870
10:41:07.055	0.012193
10:41:07.355	0.009686
10:41:07.655	0.000750
10:41:08.055	-0.009879
10:41:08.355	0.017995
10:41:08.755	0.015404
10:41:09.155	0.000706
10:41:09.455	0.003334
10:41:09.755	0.006436
10:41:10.155	0.000443
10:41:10.455	0.002219
10:41:10.755	0.000830
10:41:11.155	0.001725
10:41:11.455	0.004646
10:41:11.755	0.007498
10:41:12.155	0.007234
10:41:12.455	0.002473
10:41:12.855	0.009490
10:41:13.155	0.011828
10:41:13.555	0.008512
10:41:13.856	0.014739
10:41:14.155	0.008774
10:41:14.555	0.002951
10:41:14.855	0.004329
10:41:15.255	0.009972
10:41:15.555	0.017558
10:41:15.855	0.004112
10:41:16.255	0.002988
10:41:16.555	0.001074
10:41:16.855	0.002580
10:41:17.255	0.011273
10:41:17.555	0.011570
10:41:17.855	0.009666
10:41:18.255	-0.001826
10:41:18.555	-0.006467
10:41:18.855	0.009776
10:41:19.255	0.013249
10:41:19.555	0.017155
10:41:19.955	0.027939
10:41:20.255	0.007748
10:41:20.655	0.010418
10:41:20.955	0.025737
10:41:21.255	0.029194
10:41:21.655	0.024443
10:41:21.955	0.022244
10:41:22.355	0.029150
10:41:22.655	0.056464
10:41:23.055	0.064009
10:41:23.355	0.046050
10:41:23.655	0.045848
10:41:24.055	0.046367
10:41:24.355	0.058213
10:41:24.655	0.066712
10:41:25.055	0.084019
10:41:25.355	0.071901
10:41:25.655	0.076562
10:41:26.055	0.065307
10:41:26.355	0.056256
10:41:26.755	0.053444
10:41:27.155	0.042888
10:41:27.455	0.051917
10:41:27.755	0.053151
10:41:28.155	0.041947
10:41:28.455	0.043639
10:41:28.755	0.044089
10:41:29.155	0.026492
10:41:29.456	0.035129
10:41:29.755	0.038201
10:41:30.155	0.032695
10:41:30.455	0.041294
10:41:30.755	0.044396
10:41:31.155	0.030182
10:41:31.455	0.021609
10:41:31.755	0.026711
10:41:32.155	0.026126
10:41:32.455	0.025787
10:41:32.755	0.028058
10:41:33.155	0.029981
10:41:33.455	0.039565
10:41:33.855	0.036362
10:41:34.155	0.034954
10:41:34.555	0.038220
10:41:34.855	0.036159
10:41:35.155	0.039149
10:41:35.555	0.038567
10:41:35.855	0.031682
10:41:36.255	0.024064
10:41:36.555	0.043203
10:41:36.955	0.036919
10:41:37.255	0.033361
10:41:37.655	0.037817
10:41:37.955	0.029315
10:41:38.255	0.025934
10:41:38.656	0.033273
10:41:38.956	0.032330
10:41:39.256	0.038624
10:41:39.655	0.033487
10:41:39.955	0.035036
10:41:40.355	0.024927
10:41:40.655	0.028794
10:41:41.055	0.037333
10:41:41.355	0.030982
10:41:41.755	0.022345
10:41:42.055	0.016310
10:41:42.355	0.009371
10:41:42.755	0.007020
10:41:43.055	0.014148
10:41:43.455	0.008800
10:41:43.755	0.014314
10:41:44.155	0.009515
10:41:44.455	0.000340
10:41:44.755	-0.002910
10:41:45.155	0.000615
10:41:45.455	0.005209
10:41:45.756	-0.005538
10:41:46.155	0.007131
10:41:46.455	0.003172
10:41:46.755	0.003688
10:41:47.155	0.011778
10:41:47.455	0.008081
10:41:47.855	0.011591
10:41:48.155	0.001082
10:41:48.455	-0.002544
10:41:48.855	0.000370
10:41:49.155	-0.000492
10:41:49.455	0.004659
10:41:49.856	-0.002316
10:41:50.155	-0.000415
10:41:50.555	0.006470
10:41:50.855	0.009950
10:41:51.255	0.000293
10:41:51.555	0.003072
10:41:51.855	0.000814
10:41:52.255	-0.008000
10:41:52.555	0.003624
10:41:52.855	0.003282
10:41:53.256	0.002157
10:41:53.555	0.010664
10:41:53.855	0.009150
10:41:54.255	0.007177
10:41:54.556	0.002848
10:41:54.955	0.004364
10:41:55.255	0.004617
10:41:55.655	0.005636
10:41:55.955	0.003406
10:41:56.355	0.008961
10:41:56.655	0.002436
10:41:56.955	0.006674
10:41:57.355	-0.000725
10:41:57.655	-0.004014
10:41:58.055	-0.002873
10:41:58.455	0.002800
10:41:58.755	0.008498
10:41:59.055	0.016824
10:41:59.455	0.007484
10:41:59.756	0.006599
10:42:00.055	-0.003183
10:42:00.455	-0.005118
10:42:00.755	-0.002864
10:42:01.055	0.006516
10:42:01.455	0.002548
10:42:01.755	0.001271
10:42:02.155	-0.003417
10:42:02.455	-0.006184
10:42:02.855	0.009197
10:42:03.155	0.009372
10:42:03.555	0.000896
10:42:03.855	-0.004481
10:42:04.156	-0.000134
10:42:04.555	0.003145
10:42:04.855	-0.003915
10:42:05.255	-0.003978
10:42:05.555	-0.002408
10:42:05.855	0.004239
10:42:06.255	0.005932
10:42:06.555	0.000179
10:42:06.855	-0.005190
10:42:07.255	-0.008331
10:42:07.555	0.000876
10:42:07.855	0.001112
10:42:08.255	0.001407
10:42:08.555	0.009041
10:42:08.955	0.000237
10:42:09.255	-0.004373
10:42:09.655	0.005577
10:42:09.955	0.000785
10:42:10.255	-0.002538
10:42:10.655	-0.001020
10:42:10.955	0.000340
10:42:11.255	0.004547
10:42:11.655	0.006129
10:42:11.955	0.002302
10:42:12.355	0.008711
10:42:12.655	0.009589
10:42:12.955	0.014793
10:42:13.355	0.003714
10:42:13.655	-0.008355
10:42:13.955	-0.000297
10:42:14.355	0.011559
10:42:14.655	0.003647
10:42:14.955	-0.000494
10:42:15.355	-0.011835
10:42:15.655	0.013099
10:42:16.055	-0.003598
10:42:16.355	-0.008597
10:42:16.756	0.001611
10:42:17.055	0.006271
10:42:17.355	0.002010
10:42:17.755	0.001543
10:42:18.055	0.009160
10:42:18.355	0.013071
10:42:18.755	-0.008605
10:42:19.055	0.011660
10:42:19.455	0.007173
10:42:19.755	0.009203
10:42:20.055	0.012074
10:42:20.455	0.002528
10:42:20.756	-0.005332
10:42:21.055	-0.002526
10:42:21.455	0.006521
10:42:21.755	-0.006991
10:42:22.056	-0.003569
10:42:22.455	0.007928
10:42:22.755	0.003889
10:42:23.155	0.004231
10:42:23.455	0.009189
10:42:23.755	0.007096
10:42:24.155	-0.009384
10:42:24.455	0.003669
10:42:24.855	0.001840
10:42:25.155	-0.001828
10:42:25.455	-0.005169
10:42:25.855	0.001469
10:42:26.155	0.021750
10:42:26.555	0.027383
10:42:26.855	0.023109
10:42:27.155	0.045282
10:42:27.555	0.081482
10:42:27.855	0.091033
10:42:28.155	0.106877
10:42:28.555	0.134853
10:42:28.855	0.168584
10:42:29.155	0.194546
10:42:29.555	0.244212
10:42:29.856	0.258164
10:42:30.155	0.253202
10:42:30.555	0.221180
10:42:30.856	0.195842
10:42:31.155	0.181633
10:42:31.555	0.171805
10:42:31.855	0.122075
10:42:32.155	0.094183
10:42:32.556	0.027756
10:42:32.856	0.020279
10:42:33.255	0.025582
10:42:33.555	0.005991
10:42:33.855	-0.007111
10:42:34.255	-0.007786
10:42:34.555	0.003223
10:42:34.855	0.005703
10:42:35.255	0.012581
10:42:35.555	0.000833
10:42:35.856	0.004868
10:42:36.255	-0.005518
10:42:36.555	0.003660
10:42:36.955	0.003136
10:42:37.256	-0.005502
10:42:37.655	-0.004354
10:42:37.955	0.007461
10:42:38.255	0.004377
10:42:38.655	0.009363
10:42:38.956	0.003159
10:42:39.255	0.005688
10:42:39.655	0.004877
10:42:39.955	0.011877
10:42:40.355	0.009043
10:42:40.655	0.011063
10:42:40.955	0.005030
10:42:41.355	-0.003336
10:42:41.656	-0.001123
10:42:41.955	0.000060
10:42:42.355	0.004845
10:42:42.655	0.003175
10:42:42.955	0.005822
10:42:43.356	-0.000593
10:42:43.655	0.002588
10:42:44.055	0.003057
10:42:44.355	0.006228
10:42:44.655	0.006692
10:42:45.055	-0.006736
10:42:45.355	-0.012044
10:42:45.656	0.003912
10:42:46.055	0.005836
10:42:46.355	0.005960
10:42:46.756	0.007754
10:42:47.055	0.000999
10:42:47.455	-0.003013
10:42:47.755	0.001299
10:42:48.055	0.003321
10:42:48.455	0.002033
10:42:48.755	-0.003843
10:42:49.056	-0.009690
10:42:49.455	0.002638
10:42:49.755	0.005050
10:42:50.056	-0.000214
10:42:50.455	0.005052
10:42:50.855	-0.000920
10:42:51.155	-0.003652
10:42:51.455	0.003466
10:42:51.855	-0.002011
10:42:52.156	-0.003905
10:42:52.455	0.000554
10:42:52.855	0.011471
10:42:53.155	0.006705
10:42:53.455	0.007115
10:42:53.855	-0.008093
10:42:54.155	0.002790
