Chart Recorder Data File Fri, Sep 20, 2024 11:28 AM
Time (s)	CH1 (V)  
11:15:48.292	-0.058685
11:15:49.092	-0.059321
11:15:49.392	-0.058212
11:15:49.791	-0.059499
11:15:50.092	-0.059816
11:15:50.492	-0.057637
11:15:50.792	-0.058878
11:15:51.192	-0.058060
11:15:51.492	-0.057594
11:15:51.892	-0.057606
11:15:52.191	-0.059118
11:15:52.591	-0.061264
11:15:52.892	-0.059259
11:15:53.292	-0.058868
11:15:53.592	-0.059093
11:15:53.992	-0.057738
11:15:54.292	-0.058585
11:15:54.692	-0.059651
11:15:54.992	-0.058724
11:15:55.391	-0.058974
11:15:55.692	-0.058041
11:15:56.092	-0.060003
11:15:56.392	-0.059223
11:15:56.792	-0.056465
11:15:57.092	-0.058494
11:15:57.492	-0.061390
11:15:57.792	-0.059995
11:15:58.192	-0.057896
11:15:58.492	-0.056005
11:15:58.892	-0.058831
11:15:59.192	-0.058348
11:15:59.592	-0.058485
11:15:59.891	-0.057804
11:16:00.291	-0.057729
11:16:00.592	-0.057188
11:16:00.991	-0.057472
11:16:01.292	-0.058493
11:16:01.692	-0.058790
11:16:01.992	-0.058529
11:16:02.392	-0.057526
11:16:02.692	-0.059290
11:16:03.092	-0.058224
11:16:03.392	-0.058601
11:16:03.792	-0.058643
11:16:04.092	-0.057677
11:16:04.492	-0.057662
11:16:04.792	-0.058869
11:16:05.192	-0.059253
11:16:05.491	-0.057917
11:16:05.892	-0.057054
11:16:06.192	-0.059155
11:16:06.592	-0.058670
11:16:06.892	-0.059531
11:16:07.192	-0.058378
11:16:07.592	-0.058811
11:16:07.992	-0.057500
11:16:08.292	-0.057306
11:16:08.692	-0.059918
11:16:08.992	-0.057575
11:16:09.392	-0.058338
11:16:09.692	-0.058781
11:16:10.092	-0.059311
11:16:10.392	-0.058486
11:16:10.792	-0.057862
11:16:11.092	-0.057555
11:16:11.492	-0.060521
11:16:11.792	-0.058671
11:16:12.192	-0.058619
11:16:12.491	-0.059281
11:16:12.892	-0.057188
11:16:13.192	-0.058036
11:16:13.592	-0.059397
11:16:13.892	-0.059541
11:16:14.292	-0.058805
11:16:14.592	-0.058329
11:16:14.992	-0.058978
11:16:15.292	-0.060815
11:16:15.692	-0.056855
11:16:15.992	-0.057982
11:16:16.292	-0.058284
11:16:16.692	-0.058072
11:16:16.992	-0.059204
11:16:17.392	-0.056799
11:16:17.692	-0.054129
11:16:17.992	-0.047955
11:16:18.392	-0.017787
11:16:18.692	0.043205
11:16:19.092	0.100211
11:16:19.392	0.127491
11:16:19.792	0.153356
11:16:20.092	0.147841
11:16:20.492	0.099686
11:16:20.792	0.068698
11:16:21.192	0.013851
11:16:21.492	-0.028751
11:16:21.892	-0.050173
11:16:22.192	-0.054556
11:16:22.592	-0.057610
11:16:22.892	-0.060097
11:16:23.192	-0.060792
11:16:23.592	-0.059001
11:16:23.892	-0.059257
11:16:24.192	-0.058871
11:16:24.592	-0.057314
11:16:24.892	-0.059828
11:16:25.192	-0.058437
11:16:25.592	-0.059139
11:16:25.892	-0.059960
11:16:26.292	-0.058840
11:16:26.592	-0.058841
11:16:26.992	-0.060001
11:16:27.292	-0.060462
11:16:27.692	-0.059703
