Chart Recorder Data File Fri, Sep 20, 2024 12:13 PM
Time (s)	CH1 (V)  
12:09:00.509	0.266443
12:09:01.309	0.275994
12:09:01.609	0.278755
12:09:02.009	0.276649
12:09:02.309	0.266864
12:09:02.610	0.295932
12:09:03.009	0.295513
12:09:03.309	0.312319
12:09:03.710	0.307078
12:09:04.009	0.323400
12:09:04.409	0.312470
12:09:04.710	0.336427
12:09:05.110	0.304189
12:09:05.410	0.299704
12:09:05.809	0.301054
12:09:06.109	0.258608
12:09:06.409	0.273030
12:09:06.809	0.295294
12:09:07.109	0.288640
12:09:07.510	0.293100
12:09:07.809	0.286386
12:09:08.209	0.287307
12:09:08.510	0.272329
12:09:08.910	0.241951
12:09:09.209	0.255245
12:09:09.609	0.261269
12:09:09.909	0.254460
12:09:10.309	0.246596
12:09:10.609	0.249945
12:09:11.010	0.207250
12:09:11.309	0.187210
12:09:11.609	0.164504
12:09:12.009	0.150223
12:09:12.309	0.123532
12:09:12.709	0.114925
12:09:13.009	0.106632
12:09:13.310	0.112273
12:09:13.709	0.126684
12:09:14.109	0.107223
12:09:14.410	0.125006
12:09:14.809	0.132007
12:09:15.109	0.152343
12:09:15.509	0.168212
12:09:15.810	0.165989
12:09:16.209	0.196994
12:09:16.510	0.220364
12:09:16.810	0.232960
12:09:17.210	0.237285
12:09:17.510	0.183589
12:09:17.909	0.143148
12:09:18.309	0.128955
12:09:18.609	0.120763
12:09:19.009	0.115868
12:09:19.310	0.107107
12:09:19.610	0.107263
12:09:20.009	0.085811
12:09:20.309	0.107087
12:09:20.610	0.096577
12:09:21.009	0.121422
12:09:21.310	0.125248
12:09:21.710	0.111434
12:09:22.009	0.117570
12:09:22.409	0.135788
12:09:22.709	0.141987
12:09:23.009	0.120735
12:09:23.410	0.110261
12:09:23.710	0.096783
12:09:24.109	0.088870
12:09:24.410	0.074787
12:09:24.810	0.085505
12:09:25.110	0.086326
12:09:25.510	0.069872
12:09:25.809	0.080061
12:09:26.210	0.074700
12:09:26.510	0.081842
12:09:26.909	0.083758
12:09:27.210	0.090181
12:09:27.510	0.103652
12:09:27.909	0.096334
12:09:28.210	0.122063
12:09:28.610	0.097671
12:09:28.909	0.110106
12:09:29.309	0.116701
12:09:29.610	0.104057
12:09:30.010	0.113672
12:09:30.310	0.105217
12:09:30.609	0.109542
12:09:31.010	0.121428
12:09:31.310	0.113339
12:09:31.710	0.104195
12:09:32.010	0.106637
12:09:32.410	0.090411
12:09:32.709	0.083567
12:09:33.110	0.089616
12:09:33.410	0.086009
12:09:33.810	0.092789
12:09:34.109	0.098730
12:09:34.510	0.092156
12:09:34.809	0.090947
12:09:35.210	0.072441
12:09:35.510	0.081628
12:09:35.910	0.067877
12:09:36.210	0.067135
12:09:36.609	0.075685
12:09:36.910	0.060412
12:09:37.310	0.060241
12:09:37.610	0.064136
12:09:37.909	0.091807
12:09:38.310	0.109748
12:09:38.609	0.125952
12:09:39.010	0.273699
12:09:39.310	0.444546
12:09:39.610	0.968500
12:09:40.010	1.314578
12:09:40.309	1.439076
12:09:40.710	1.480706
12:09:41.009	1.080039
12:09:41.410	0.658985
12:09:41.710	0.506656
12:09:42.010	0.285710
12:09:42.409	0.175452
12:09:42.710	0.148679
12:09:43.110	0.104926
12:09:43.410	0.075183
12:09:43.810	0.083291
12:09:44.110	0.071470
12:09:44.410	0.087630
12:09:44.810	0.082408
12:09:45.110	0.062655
12:09:45.510	0.070340
12:09:45.809	0.074858
12:09:46.210	0.062704
12:09:46.510	0.073983
12:09:46.810	0.078618
12:09:47.210	0.066644
12:09:47.510	0.047230
12:09:47.810	0.045923
12:09:48.210	0.072180
12:09:48.509	0.068529
12:09:48.910	0.066583
12:09:49.209	0.069115
12:09:49.610	0.063948
12:09:49.910	0.080522
12:09:50.309	0.075766
12:09:50.610	0.078158
12:09:51.010	0.117600
12:09:51.310	0.150991
12:09:51.710	0.150775
12:09:52.010	0.171588
12:09:52.410	0.197261
12:09:52.709	0.174433
12:09:53.010	0.144925
12:09:53.409	0.134604
12:09:53.709	0.101719
12:09:54.010	0.085438
12:09:54.409	0.064324
12:09:54.710	0.058522
12:09:55.010	0.076897
12:09:55.409	0.073277
12:09:55.710	0.060728
12:09:56.010	0.063238
12:09:56.410	0.063379
12:09:56.709	0.061271
12:09:57.110	0.059560
12:09:57.410	0.063005
12:09:57.809	0.056492
12:09:58.110	0.056545
12:09:58.510	0.038782
12:09:58.809	0.049577
12:09:59.109	0.051323
12:09:59.510	0.037184
12:09:59.809	0.043188
12:10:00.210	0.055131
12:10:00.510	0.043548
