Chart Recorder Data File Fri, Sep 20, 2024 9:58 AM
Time (s)	CH1 (V)  
09:52:54.865	0.649978
09:52:55.765	0.629923
09:52:56.064	0.645081
09:52:56.464	0.659495
09:52:56.765	0.648194
09:52:57.165	0.635446
09:52:57.465	0.624839
09:52:57.864	0.602014
09:52:58.165	0.597498
09:52:58.564	0.603030
09:52:58.865	0.605982
09:52:59.265	0.591920
09:52:59.565	0.592101
09:52:59.865	0.620193
09:53:00.264	0.627242
09:53:00.565	0.635160
09:53:00.964	0.632740
09:53:01.264	0.597008
09:53:01.665	0.630050
09:53:01.964	0.629467
09:53:02.365	0.624055
09:53:02.665	0.630886
09:53:03.065	0.608268
09:53:03.365	0.609555
09:53:03.765	0.611132
09:53:04.065	0.620331
09:53:04.465	0.595211
09:53:04.765	0.557871
09:53:05.165	0.616947
09:53:05.465	0.637128
09:53:05.865	0.650843
09:53:06.165	0.658887
09:53:06.566	0.651961
09:53:06.865	0.650977
09:53:07.266	0.630417
09:53:07.565	0.629666
09:53:07.965	0.632457
09:53:08.265	0.621527
09:53:08.665	0.616990
09:53:08.965	0.630669
09:53:09.365	0.618536
09:53:09.665	0.606275
09:53:10.065	0.612566
09:53:10.464	0.616794
09:53:10.765	0.633727
09:53:11.165	0.624654
09:53:11.465	0.608956
09:53:11.865	0.632884
09:53:12.165	0.645946
09:53:12.565	0.641150
09:53:12.864	0.625471
09:53:13.165	0.616906
09:53:13.565	0.618736
09:53:13.864	0.610218
09:53:14.165	0.618055
09:53:14.565	0.616219
09:53:14.865	0.613667
09:53:15.265	0.629933
09:53:15.565	0.622394
09:53:15.965	0.628719
09:53:16.265	0.638323
09:53:16.665	0.647360
09:53:16.965	0.640143
09:53:17.365	0.648925
09:53:17.664	0.635774
09:53:17.965	0.658405
09:53:18.365	0.660361
09:53:18.664	0.650428
09:53:19.064	0.586081
09:53:19.365	0.618208
09:53:19.765	0.611595
09:53:20.065	0.620088
09:53:20.464	0.619847
09:53:20.765	0.598816
09:53:21.065	0.605410
09:53:21.465	0.618752
09:53:21.765	0.613839
09:53:22.165	0.571507
09:53:22.465	0.590467
09:53:22.864	0.626452
09:53:23.166	0.618554
09:53:23.565	0.632806
09:53:23.865	0.618451
09:53:24.265	0.609507
09:53:24.565	0.629838
09:53:24.965	0.660839
09:53:25.265	0.649255
09:53:25.664	0.667022
09:53:25.964	0.666621
09:53:26.365	0.654469
09:53:26.664	0.634315
09:53:26.965	0.628792
09:53:27.365	0.603397
09:53:27.665	0.607554
09:53:28.065	0.628537
09:53:28.365	0.640159
09:53:28.664	0.612675
09:53:29.065	0.612903
09:53:29.465	0.556012
09:53:29.764	0.632796
09:53:30.166	0.656191
09:53:30.465	0.658870
09:53:30.864	0.676735
09:53:31.165	0.670459
09:53:31.565	0.669824
09:53:31.865	0.680638
09:53:32.265	0.694068
09:53:32.565	0.687307
09:53:32.965	0.691530
09:53:33.264	0.690003
09:53:33.665	0.614356
09:53:33.965	0.596034
09:53:34.365	0.573664
09:53:34.665	0.572720
09:53:35.066	0.606631
09:53:35.365	0.653532
09:53:35.765	0.658612
09:53:36.065	0.651970
09:53:36.465	0.664797
09:53:36.765	0.691407
09:53:37.164	0.686386
09:53:37.465	0.683806
09:53:37.865	0.677286
09:53:38.165	0.662073
09:53:38.565	0.655053
09:53:38.865	0.650462
09:53:39.265	0.654471
09:53:39.565	0.645137
09:53:39.965	0.649805
09:53:40.265	0.642693
09:53:40.665	0.649937
09:53:40.965	0.645253
09:53:41.364	0.630380
09:53:41.665	0.652090
09:53:41.965	0.656627
09:53:42.365	0.636773
09:53:42.765	0.628644
09:53:43.065	0.615796
09:53:43.365	0.630832
09:53:43.764	0.613430
09:53:44.064	0.613792
09:53:44.465	0.562419
09:53:44.765	0.564743
09:53:45.165	0.580526
09:53:45.465	0.614846
09:53:45.865	0.649353
09:53:46.165	0.616041
09:53:46.565	0.624430
09:53:46.865	0.654602
09:53:47.165	0.670022
09:53:47.565	0.673747
09:53:47.865	0.679696
09:53:48.265	0.624679
09:53:48.564	0.668238
09:53:48.965	0.664136
09:53:49.264	0.691808
09:53:49.664	0.669255
09:53:49.965	0.662710
09:53:50.364	0.627262
09:53:50.665	0.594003
09:53:51.065	0.654089
09:53:51.365	0.682194
09:53:51.764	0.702087
09:53:52.065	0.703085
09:53:52.465	0.702344
09:53:52.764	0.695518
09:53:53.165	0.679715
09:53:53.465	0.667735
09:53:53.865	0.661509
09:53:54.165	0.656003
09:53:54.565	0.675216
09:53:54.865	0.674662
09:53:55.265	0.672804
09:53:55.665	0.658800
09:53:55.965	0.636935
09:53:56.364	0.632522
09:53:56.665	0.589593
09:53:57.064	0.650312
09:53:57.365	0.675965
09:53:57.765	0.665816
