Chart Recorder Data File Fri, Sep 20, 2024 3:25 PM
Time (s)	CH1 (V)  
15:16:18.374	0.582189
15:16:19.174	0.568001
15:16:19.476	0.548851
15:16:19.874	0.503011
15:16:20.174	0.507494
15:16:20.575	0.483169
15:16:20.874	0.476483
15:16:21.175	0.475733
15:16:21.575	0.477798
15:16:21.874	0.496267
15:16:22.174	0.493693
15:16:22.575	0.496835
15:16:22.874	0.497418
15:16:23.175	0.461476
15:16:23.574	0.442508
15:16:23.874	0.434654
15:16:24.174	0.436911
15:16:24.574	0.436314
15:16:24.874	0.440212
15:16:25.174	0.447013
15:16:25.574	0.446989
15:16:25.874	0.436163
15:16:26.175	0.440231
15:16:26.576	0.409558
15:16:26.874	0.383175
15:16:27.274	0.445099
15:16:27.575	0.434361
15:16:27.974	0.383769
15:16:28.274	0.386597
15:16:28.575	0.380349
15:16:28.974	0.363239
15:16:29.275	0.381135
15:16:29.575	0.408427
15:16:29.975	0.422456
15:16:30.274	0.438490
15:16:30.675	0.400225
15:16:30.974	0.395272
15:16:31.374	0.401466
15:16:31.675	0.429783
15:16:31.975	0.412797
15:16:32.375	0.423862
15:16:32.675	0.437498
15:16:33.075	0.449791
15:16:33.374	0.426431
15:16:33.775	0.435604
15:16:34.074	0.427004
15:16:34.375	0.407301
15:16:34.775	0.415674
15:16:35.075	0.412183
15:16:35.375	0.406715
15:16:35.774	0.411982
15:16:36.074	0.431267
15:16:36.375	0.459982
15:16:36.775	0.435895
15:16:37.074	0.432490
15:16:37.375	0.466253
15:16:37.775	0.511165
15:16:38.075	0.493397
15:16:38.375	0.468659
15:16:38.774	0.453783
15:16:39.075	0.493578
15:16:39.475	0.476345
15:16:39.774	0.510574
15:16:40.075	0.438116
15:16:40.474	0.425573
15:16:40.774	0.422009
15:16:41.174	0.530306
15:16:41.475	0.509936
15:16:41.875	0.429817
15:16:42.175	0.452178
15:16:42.575	0.537951
15:16:42.875	0.540792
15:16:43.175	0.518293
15:16:43.574	0.510634
15:16:43.875	0.533439
15:16:44.174	0.453730
15:16:44.574	0.417390
15:16:44.875	0.444035
15:16:45.175	0.473233
15:16:45.575	0.438327
15:16:45.875	0.473660
15:16:46.174	0.529060
15:16:46.574	0.434020
15:16:46.875	0.354397
15:16:47.175	0.428852
15:16:47.575	0.487223
15:16:47.874	0.445139
15:16:48.175	0.449987
15:16:48.575	0.447114
15:16:48.875	0.514551
15:16:49.175	0.469016
15:16:49.576	0.379293
15:16:49.875	0.394935
15:16:50.275	0.439808
15:16:50.575	0.414726
15:16:50.975	0.425240
15:16:51.274	0.464949
15:16:51.676	0.358223
15:16:51.976	0.413113
15:16:52.374	0.437008
15:16:52.675	0.448064
15:16:52.974	0.505569
15:16:53.374	0.419326
15:16:53.675	0.384243
15:16:54.076	0.362527
15:16:54.375	0.333588
15:16:54.775	0.376137
15:16:55.074	0.453882
15:16:55.375	0.390860
15:16:55.774	0.475605
15:16:56.075	0.391503
15:16:56.375	0.351160
15:16:56.774	0.375600
15:16:57.074	0.395668
15:16:57.374	0.380690
15:16:57.774	0.388589
15:16:58.074	0.372008
15:16:58.474	0.362969
15:16:58.775	0.338238
15:16:59.175	0.345034
15:16:59.475	0.351645
15:16:59.875	0.365061
15:17:00.174	0.357353
15:17:00.474	0.361162
15:17:00.874	0.342952
15:17:01.175	0.336698
15:17:01.575	0.420103
15:17:01.874	0.469160
15:17:02.274	0.343206
15:17:02.575	0.327338
15:17:02.874	0.360708
15:17:03.275	0.310181
15:17:03.575	0.307117
15:17:03.975	0.311312
15:17:04.275	0.332153
15:17:04.574	0.394908
15:17:04.975	0.379005
15:17:05.275	0.382785
15:17:05.675	0.398935
15:17:05.975	0.391755
15:17:06.375	0.387669
15:17:06.674	0.362737
15:17:06.974	0.353681
15:17:07.374	0.339678
15:17:07.675	0.357584
15:17:08.075	0.405242
15:17:08.375	0.376468
15:17:08.775	0.396635
15:17:09.074	0.412295
15:17:09.374	0.416252
15:17:09.775	0.410770
15:17:10.075	0.408870
15:17:10.375	0.388105
15:17:10.775	0.387101
15:17:11.075	0.380340
15:17:11.374	0.388632
15:17:11.776	0.388218
15:17:12.074	0.405838
15:17:12.474	0.410365
15:17:12.775	0.412263
15:17:13.174	0.397670
15:17:13.475	0.379391
15:17:13.775	0.363050
15:17:14.175	0.351126
15:17:14.474	0.349186
15:17:14.875	0.356535
15:17:15.175	0.366512
15:17:15.575	0.408833
15:17:15.875	0.383616
15:17:16.275	0.409023
15:17:16.575	0.410738
15:17:16.876	0.396280
15:17:17.275	0.381744
15:17:17.575	0.364363
15:17:17.875	0.379869
15:17:18.275	0.383904
15:17:18.575	0.406775
15:17:18.875	0.386141
15:17:19.275	0.389532
15:17:19.575	0.388774
15:17:19.975	0.414888
15:17:20.274	0.434236
15:17:20.575	0.432188
15:17:20.975	0.452484
15:17:21.275	0.454133
15:17:21.576	0.437450
15:17:21.975	0.392109
15:17:22.274	0.393251
15:17:22.675	0.428775
15:17:22.975	0.440555
15:17:23.275	0.447007
15:17:23.675	0.423574
15:17:23.975	0.408253
15:17:24.274	0.399193
15:17:24.675	0.418974
15:17:24.975	0.437747
15:17:25.275	0.468096
15:17:25.675	0.447379
15:17:25.975	0.430499
15:17:26.375	0.458103
15:17:26.674	0.469685
15:17:26.975	0.480264
15:17:27.375	0.504305
15:17:27.675	0.463990
15:17:28.075	0.421082
15:17:28.374	0.405646
15:17:28.675	0.419058
15:17:29.075	0.441512
15:17:29.375	0.424592
15:17:29.775	0.378381
15:17:30.075	0.390544
15:17:30.475	0.395938
15:17:30.774	0.399739
15:17:31.175	0.440083
15:17:31.474	0.472635
15:17:31.776	0.456157
15:17:32.175	0.461822
15:17:32.475	0.408902
15:17:32.775	0.425728
15:17:33.175	0.449121
15:17:33.474	0.453580
15:17:33.874	0.466512
15:17:34.175	0.465310
15:17:34.574	0.479256
15:17:34.876	0.494472
15:17:35.275	0.503044
15:17:35.574	0.487494
15:17:35.874	0.459491
15:17:36.275	0.441237
15:17:36.575	0.461357
15:17:36.974	0.439669
15:17:37.275	0.448804
15:17:37.575	0.471683
15:17:37.975	0.462730
15:17:38.275	0.452225
15:17:38.575	0.456675
15:17:38.975	0.463157
15:17:39.275	0.469702
15:17:39.675	0.512535
15:17:39.975	0.504425
15:17:40.275	0.498973
15:17:40.675	0.518501
15:17:40.975	0.511522
15:17:41.375	0.490823
15:17:41.675	0.472266
15:17:41.975	0.497911
15:17:42.375	0.489992
15:17:42.675	0.507343
15:17:43.075	0.526333
15:17:43.375	0.501336
15:17:43.775	0.453523
15:17:44.074	0.422671
15:17:44.475	0.397485
15:17:44.775	0.411945
15:17:45.175	0.445594
15:17:45.475	0.402093
15:17:45.775	0.406555
15:17:46.175	0.435100
15:17:46.475	0.456757
15:17:46.775	0.479516
15:17:47.175	0.392242
15:17:47.475	0.394725
15:17:47.775	0.431383
15:17:48.174	0.488646
15:17:48.475	0.475744
15:17:48.775	0.484352
15:17:49.175	0.453253
15:17:49.475	0.513981
15:17:49.775	0.529830
15:17:50.174	0.505265
15:17:50.475	0.462135
15:17:50.875	0.435485
15:17:51.174	0.477252
15:17:51.475	0.468643
15:17:51.875	0.463731
15:17:52.174	0.455380
15:17:52.475	0.421028
15:17:52.875	0.428657
15:17:53.175	0.436324
15:17:53.474	0.414863
15:17:53.874	0.411308
15:17:54.175	0.418691
15:17:54.475	0.445835
15:17:54.875	0.464950
15:17:55.175	0.451173
15:17:55.575	0.425355
15:17:55.875	0.404630
15:17:56.175	0.406184
15:17:56.575	0.429608
15:17:56.874	0.444156
15:17:57.275	0.452634
15:17:57.575	0.477122
15:17:57.975	0.484588
15:17:58.274	0.465096
15:17:58.575	0.486632
15:17:58.975	0.498283
15:17:59.275	0.478850
15:17:59.575	0.467834
15:17:59.975	0.454038
15:18:00.275	0.451843
15:18:00.574	0.455581
15:18:00.975	0.497050
15:18:01.275	0.493291
15:18:01.575	0.477130
15:18:01.975	0.463960
15:18:02.375	0.448832
15:18:02.675	0.430591
15:18:03.075	0.432492
15:18:03.374	0.436620
15:18:03.675	0.423177
15:18:04.075	0.413125
15:18:04.374	0.403028
15:18:04.774	0.382120
15:18:05.075	0.393352
15:18:05.475	0.362694
15:18:05.775	0.362119
15:18:06.174	0.362691
15:18:06.475	0.384509
15:18:06.775	0.390949
15:18:07.175	0.406209
15:18:07.475	0.403368
15:18:07.775	0.384225
15:18:08.174	0.417842
15:18:08.475	0.415075
15:18:08.774	0.405068
15:18:09.175	0.399892
15:18:09.475	0.384145
15:18:09.775	0.369565
15:18:10.175	0.393116
15:18:10.475	0.396326
15:18:10.775	0.399721
15:18:11.175	0.409801
15:18:11.475	0.412304
15:18:11.875	0.386727
15:18:12.175	0.371669
15:18:12.575	0.389714
15:18:12.875	0.390754
15:18:13.275	0.412924
15:18:13.575	0.400475
15:18:13.875	0.381014
15:18:14.275	0.379746
15:18:14.575	0.386610
15:18:14.875	0.433814
15:18:15.275	0.441626
15:18:15.575	0.457402
15:18:15.975	0.442530
15:18:16.275	0.428524
15:18:16.674	0.437303
15:18:16.975	0.440523
15:18:17.275	0.430564
15:18:17.675	0.417767
15:18:17.975	0.425746
15:18:18.375	0.408058
15:18:18.675	0.400404
15:18:19.075	0.396586
15:18:19.374	0.397775
15:18:19.775	0.411568
