Chart Recorder Data File Mon, Sep 23, 2024 10:10 AM
Time (s)	CH1 (V)  
09:51:18.396	0.052697
09:51:19.296	0.042329
09:51:19.596	0.049795
09:51:19.995	0.048214
09:51:20.295	0.053405
09:51:20.596	0.062179
09:51:20.995	0.054594
09:51:21.296	0.047687
09:51:21.596	0.055478
09:51:21.996	0.061749
09:51:22.295	0.055128
09:51:22.695	0.043176
09:51:22.995	0.056302
09:51:23.396	0.036339
09:51:23.696	0.041959
09:51:24.095	0.065780
09:51:24.396	0.062650
09:51:24.695	0.058282
09:51:25.095	0.059313
09:51:25.396	0.056246
09:51:25.695	0.058973
09:51:26.096	0.059323
09:51:26.396	0.065143
09:51:26.796	0.059953
09:51:27.096	0.042632
09:51:27.396	0.045922
09:51:27.795	0.057858
09:51:28.095	0.045086
09:51:28.496	0.054258
09:51:28.796	0.060463
09:51:29.196	0.057146
09:51:29.496	0.063276
09:51:29.795	0.067998
09:51:30.196	0.063456
09:51:30.495	0.071639
09:51:30.895	0.059326
09:51:31.196	0.060563
09:51:31.496	0.043468
09:51:31.896	0.055937
09:51:32.195	0.056570
09:51:32.596	0.054045
09:51:32.895	0.066989
09:51:33.196	0.060485
09:51:33.596	0.063386
09:51:33.895	0.053232
09:51:34.296	0.046073
09:51:34.595	0.053222
09:51:34.996	0.060312
09:51:35.296	0.050150
09:51:35.597	0.046888
09:51:35.995	0.057838
09:51:36.296	0.061886
09:51:36.696	0.064483
09:51:36.995	0.069100
09:51:37.396	0.061042
09:51:37.696	0.051335
09:51:38.096	0.064324
09:51:38.396	0.054112
09:51:38.695	0.056563
09:51:39.095	0.072172
09:51:39.397	0.063721
09:51:39.695	0.066403
09:51:40.096	0.072003
09:51:40.396	0.052711
09:51:40.695	0.044358
09:51:41.097	0.079596
09:51:41.395	0.086406
09:51:41.696	0.086666
09:51:42.096	0.086646
09:51:42.395	0.101281
09:51:42.795	0.119871
09:51:43.095	0.122870
09:51:43.495	0.141079
09:51:43.796	0.145007
09:51:44.196	0.150260
09:51:44.495	0.141360
09:51:44.895	0.168057
09:51:45.196	0.194911
09:51:45.596	0.197720
09:51:45.895	0.204479
09:51:46.197	0.209710
09:51:46.595	0.213585
09:51:46.896	0.239384
09:51:47.295	0.236976
09:51:47.597	0.263585
09:51:47.996	0.275548
09:51:48.295	0.298172
09:51:48.595	0.333969
09:51:48.995	0.340026
09:51:49.295	0.428255
09:51:49.695	0.521425
09:51:49.996	0.635048
09:51:50.396	0.740984
09:51:50.697	0.813391
09:51:51.096	0.971221
09:51:51.396	1.139702
09:51:51.795	1.228843
09:51:52.096	1.320355
09:51:52.396	1.560691
09:51:52.795	1.761446
09:51:53.095	1.878269
09:51:53.495	2.180586
09:51:53.796	2.488131
09:51:55.096	2.522854
09:51:55.395	2.521206
09:51:55.695	2.622419
09:51:56.095	2.664280
09:51:56.396	2.560970
09:51:56.696	2.511150
09:51:57.095	2.534169
09:51:57.395	2.551908
09:51:57.696	2.495466
09:51:58.096	2.403330
09:51:58.396	2.432713
09:51:58.696	2.433684
09:51:59.096	2.383722
09:51:59.396	2.361450
09:51:59.796	2.351963
09:52:00.095	2.331372
09:52:00.497	2.354519
09:52:00.796	2.390135
09:52:01.196	2.330786
09:52:01.496	2.322804
09:52:01.895	2.187517
09:52:02.195	2.219658
09:52:02.496	2.154618
09:52:02.896	2.136371
09:52:03.196	2.073658
09:52:03.596	2.051753
09:52:03.895	1.797474
09:52:05.196	1.748167
09:52:05.496	1.673780
09:52:05.896	1.558161
09:52:06.196	1.498364
09:52:06.595	1.372496
09:52:06.895	1.300813
09:52:07.196	1.218052
09:52:07.595	1.069473
09:52:07.896	0.913129
09:52:08.296	0.763271
09:52:08.596	0.665618
09:52:08.896	0.564284
09:52:09.296	0.535601
09:52:09.596	0.517210
09:52:09.996	0.469540
09:52:10.296	0.409128
09:52:10.596	0.359138
09:52:10.996	0.292137
09:52:11.296	0.249523
09:52:11.596	0.231148
09:52:11.996	0.221471
09:52:12.295	0.226968
09:52:12.696	0.202834
09:52:12.996	0.195162
09:52:13.397	0.183850
09:52:13.695	0.169957
09:52:13.997	0.173945
09:52:14.396	0.139378
09:52:14.695	0.137923
09:52:15.096	0.100464
09:52:15.396	0.092854
09:52:15.696	0.090432
09:52:16.096	0.074741
09:52:16.396	0.083748
09:52:16.796	0.076339
09:52:17.096	0.066422
09:52:17.496	0.063993
09:52:17.796	0.071480
09:52:18.096	0.068507
09:52:18.496	0.057716
09:52:18.796	0.051215
09:52:19.096	0.061496
09:52:19.496	0.045674
09:52:19.795	0.060415
09:52:20.095	0.059506
09:52:20.496	0.059062
09:52:20.795	0.049642
09:52:21.196	0.046209
09:52:21.496	0.040633
09:52:21.896	0.049305
09:52:22.195	0.061078
09:52:22.596	0.053755
09:52:22.896	0.060455
09:52:23.295	0.042630
09:52:23.596	0.048766
09:52:23.896	0.047748
09:52:24.296	0.052960
09:52:24.596	0.062161
09:52:24.895	0.040254
09:52:25.296	0.039403
09:52:25.596	0.049023
09:52:25.896	0.066822
09:52:26.296	0.047346
09:52:26.595	0.041562
09:52:26.896	0.053197
09:52:27.296	0.051420
09:52:27.595	0.055518
09:52:27.895	0.049046
09:52:28.296	0.056665
09:52:28.596	0.056418
09:52:28.996	0.054727
09:52:29.296	0.052773
09:52:29.696	0.051326
09:52:29.996	0.060109
09:52:30.396	0.048592
09:52:30.696	0.047950
09:52:30.996	0.050086
09:52:31.396	0.050814
09:52:31.696	0.047790
09:52:31.995	0.040731
09:52:32.396	0.036893
09:52:32.695	0.034705
09:52:32.996	0.046320
09:52:33.395	0.053489
09:52:33.696	0.055300
09:52:34.096	0.050818
09:52:34.496	0.051368
09:52:34.796	0.044543
09:52:35.096	0.043804
09:52:35.496	0.063287
09:52:35.796	0.057770
09:52:36.196	0.044948
09:52:36.497	0.046108
09:52:36.796	0.044759
09:52:37.196	0.049029
09:52:37.496	0.045501
09:52:37.796	0.044837
09:52:38.195	0.044368
09:52:38.495	0.050559
09:52:38.796	0.068200
09:52:39.196	0.053091
09:52:39.496	0.058039
09:52:39.795	0.049513
09:52:40.196	0.054093
09:52:40.496	0.060924
09:52:40.896	0.053496
09:52:41.197	0.057412
09:52:41.596	0.031649
09:52:41.896	0.051126
09:52:42.296	0.023601
09:52:42.595	0.027568
09:52:42.996	0.012386
09:52:43.296	0.074169
09:52:43.695	0.039690
09:52:43.996	0.034750
09:52:44.396	0.039556
09:52:44.696	0.035013
09:52:44.996	0.056242
09:52:45.396	0.053768
09:52:45.696	0.043467
09:52:45.995	0.040605
09:52:46.396	0.042600
09:52:46.696	0.039465
09:52:46.996	0.037613
09:52:47.396	0.039054
09:52:47.696	0.047120
09:52:48.095	0.044394
09:52:48.395	0.044743
09:52:48.795	0.040365
09:52:49.096	0.045246
09:52:49.396	0.042076
09:52:49.795	0.052933
09:52:50.096	0.040973
09:52:50.496	0.036106
09:52:50.795	0.064445
09:52:51.096	0.048341
09:52:51.496	0.043016
09:52:51.796	0.039410
09:52:52.195	0.020374
09:52:52.495	0.035595
09:52:52.796	0.047774
09:52:53.196	0.053300
09:52:53.496	0.044207
09:52:53.896	0.050769
09:52:54.195	0.046709
09:52:54.496	0.054530
09:52:54.896	0.011294
09:52:55.196	0.040150
09:52:55.595	0.049476
09:52:55.895	0.019453
09:52:56.196	0.043362
09:52:56.595	0.033832
09:52:56.895	0.042139
09:52:57.295	0.023965
09:52:57.595	0.026480
09:52:57.896	0.049580
09:52:58.295	0.048886
09:52:58.596	0.042617
09:52:58.895	0.042586
09:52:59.296	0.024215
09:52:59.596	-0.016160
09:52:59.996	0.031952
09:53:00.295	0.032274
09:53:00.696	0.037285
09:53:00.996	0.096005
09:53:01.396	0.071884
09:53:01.696	0.060747
09:53:02.096	0.043356
09:53:02.396	0.054436
09:53:02.795	0.054001
09:53:03.096	0.051265
09:53:03.496	0.052104
09:53:03.796	0.029679
09:53:04.196	0.071938
09:53:04.495	0.056419
09:53:04.896	0.044351
09:53:05.196	0.049254
09:53:05.596	0.050496
09:53:05.896	0.048303
09:53:06.196	0.044239
09:53:06.595	0.038743
09:53:06.896	0.040220
09:53:07.196	0.046952
09:53:07.596	0.051994
09:53:07.895	0.047898
09:53:08.196	0.045857
09:53:08.595	0.031571
09:53:08.896	0.053314
09:53:09.296	0.032186
09:53:09.696	0.045106
09:53:09.996	0.052241
09:53:10.297	0.043698
09:53:10.696	0.046144
09:53:10.996	0.050898
09:53:11.396	0.051508
09:53:11.696	0.049248
09:53:12.095	0.060879
09:53:12.396	0.052049
09:53:12.696	0.034619
09:53:13.096	0.008235
09:53:13.496	0.049911
09:53:13.796	0.062332
09:53:14.096	0.057798
09:53:14.495	0.055690
09:53:14.796	0.068327
09:53:15.096	0.071585
09:53:15.496	0.085693
09:53:15.797	0.066037
09:53:16.096	0.075292
09:53:16.496	0.078392
09:53:16.795	0.113601
09:53:17.196	0.091064
09:53:17.496	0.101393
09:53:17.895	0.130637
09:53:18.196	0.114449
09:53:18.596	0.125931
09:53:18.897	0.128699
09:53:19.196	0.147076
09:53:19.596	0.157875
09:53:19.896	0.157718
09:53:20.195	0.179059
09:53:20.596	0.178084
09:53:20.895	0.178456
09:53:21.196	0.197168
09:53:21.596	0.216352
09:53:21.897	0.222803
09:53:22.196	0.225027
09:53:22.596	0.241191
09:53:22.895	0.246245
09:53:23.195	0.238075
09:53:23.595	0.263982
09:53:23.896	0.297950
09:53:24.196	0.341273
09:53:24.596	0.311245
09:53:24.896	0.306052
09:53:25.296	0.330654
09:53:25.596	0.355796
09:53:25.996	0.365710
09:53:26.296	0.371256
09:53:26.696	0.359716
09:53:26.996	0.386791
09:53:27.396	0.401252
09:53:27.696	0.393200
09:53:28.096	0.424038
09:53:28.396	0.420244
09:53:28.796	0.438177
09:53:29.096	0.458488
09:53:29.395	0.443866
09:53:29.796	0.460323
09:53:30.096	0.452136
09:53:30.496	0.483287
09:53:30.796	0.488115
09:53:31.196	0.511744
09:53:31.497	0.534472
09:53:31.896	0.516204
09:53:32.196	0.529112
09:53:32.596	0.550165
09:53:32.896	0.523668
09:53:33.196	0.542508
09:53:33.596	0.549267
09:53:33.896	0.553049
09:53:34.196	0.570023
09:53:34.596	0.523599
09:53:34.896	0.535947
09:53:35.196	0.564833
09:53:35.597	0.562072
09:53:35.896	0.590170
09:53:36.197	0.567157
09:53:36.595	0.563156
09:53:36.896	0.571272
09:53:37.296	0.591792
09:53:37.596	0.593946
09:53:37.995	0.637305
09:53:38.297	0.613732
09:53:38.596	0.598697
09:53:38.996	0.612675
09:53:39.296	0.593614
09:53:39.696	0.596304
09:53:39.996	0.589001
09:53:40.396	0.575741
09:53:40.696	0.618097
09:53:41.096	0.639325
09:53:41.396	0.637559
09:53:41.796	0.632718
09:53:42.096	0.641750
09:53:42.396	0.628735
09:53:42.796	0.622434
09:53:43.096	0.627281
09:53:43.396	0.647009
09:53:43.796	0.652137
09:53:44.096	0.632126
09:53:44.396	0.613575
09:53:44.796	0.667239
09:53:45.096	0.672811
09:53:45.496	0.643189
09:53:45.796	0.605499
09:53:46.196	0.641230
09:53:46.496	0.640673
09:53:46.896	0.616053
09:53:47.197	0.642159
09:53:47.496	0.653912
09:53:47.896	0.643099
09:53:48.196	0.673182
09:53:48.496	0.664323
09:53:48.896	0.693704
09:53:49.196	0.669982
09:53:49.496	0.667644
09:53:49.896	0.708144
09:53:50.197	0.678484
09:53:50.496	0.663577
09:53:50.896	0.666524
09:53:51.196	0.652029
09:53:51.496	0.651603
09:53:51.897	0.627870
09:53:52.196	0.645422
09:53:52.496	0.625782
09:53:52.896	0.626878
09:53:53.196	0.637742
09:53:53.596	0.643619
09:53:53.896	0.644378
09:53:54.296	0.667359
09:53:54.596	0.644566
09:53:54.996	0.640414
09:53:55.296	0.637130
09:53:55.696	0.621246
09:53:55.997	0.626170
09:53:56.296	0.657756
09:53:56.696	0.622534
09:53:56.996	0.626291
09:53:57.296	0.642446
09:53:57.696	0.652253
09:53:57.996	0.641217
09:53:58.396	0.625488
09:53:58.696	0.537438
09:53:59.096	0.461949
09:53:59.396	0.380995
09:53:59.696	0.371029
09:54:00.096	0.378440
09:54:00.396	0.400230
09:54:00.796	0.433573
09:54:01.096	0.418722
09:54:01.396	0.373161
09:54:01.796	0.389028
09:54:02.096	0.410616
09:54:02.396	0.374149
09:54:02.797	0.378739
09:54:03.096	0.374110
09:54:03.396	0.372448
09:54:03.796	0.402348
09:54:04.096	0.388721
09:54:04.396	0.376808
09:54:04.796	0.404846
09:54:05.096	0.405532
09:54:05.397	0.418720
09:54:05.796	0.385092
09:54:06.096	0.396562
09:54:06.496	0.393515
09:54:06.796	0.397349
09:54:07.197	0.422284
09:54:07.497	0.388371
09:54:07.896	0.382139
09:54:08.196	0.366149
09:54:08.496	0.355470
09:54:08.896	0.347205
09:54:09.197	0.346658
09:54:09.496	0.383787
09:54:09.896	0.383534
09:54:10.196	0.413285
09:54:10.496	0.401983
09:54:10.896	0.390255
09:54:11.197	0.370754
09:54:11.496	0.361063
09:54:11.896	0.371593
09:54:12.196	0.381486
09:54:12.497	0.390634
09:54:12.896	0.375109
09:54:13.196	0.360297
09:54:13.596	0.354136
09:54:13.896	0.356921
09:54:14.296	0.366505
09:54:14.596	0.395510
09:54:14.997	0.388558
09:54:15.297	0.369311
09:54:15.596	0.376475
09:54:15.996	0.380732
09:54:16.297	0.390955
09:54:16.596	0.372684
09:54:16.997	0.380929
09:54:17.296	0.389629
09:54:17.596	0.367596
09:54:17.996	0.358975
09:54:18.297	0.356606
09:54:18.597	0.374537
09:54:18.997	0.309579
09:54:19.296	0.313321
09:54:19.696	0.336508
09:54:19.996	0.344815
09:54:20.396	0.352265
09:54:20.696	0.356803
09:54:21.096	0.367986
09:54:21.397	0.385764
09:54:21.797	0.368938
09:54:22.097	0.357230
09:54:22.496	0.359782
09:54:22.796	0.333820
09:54:23.196	0.332957
09:54:23.496	0.319002
09:54:23.897	0.322086
09:54:24.196	0.327818
09:54:24.497	0.318881
09:54:24.896	0.338713
09:54:25.197	0.313186
09:54:25.497	0.300237
09:54:25.897	0.296169
09:54:26.197	0.297314
09:54:26.596	0.289591
09:54:26.897	0.277116
09:54:27.296	0.260798
09:54:27.597	0.264380
09:54:27.997	0.253321
09:54:28.297	0.259893
09:54:28.696	0.249446
09:54:28.997	0.279768
09:54:29.396	0.263547
09:54:29.697	0.267162
09:54:30.097	0.252050
09:54:30.397	0.241101
09:54:30.797	0.246090
09:54:31.097	0.238069
09:54:31.397	0.219801
09:54:31.797	0.236341
09:54:32.097	0.256000
09:54:32.497	0.234756
09:54:32.797	0.217911
09:54:33.196	0.237332
09:54:33.496	0.242304
09:54:33.897	0.269175
09:54:34.197	0.251206
09:54:34.596	0.221696
09:54:34.897	0.226860
09:54:35.297	0.248195
09:54:35.597	0.229257
09:54:35.996	0.241001
09:54:36.297	0.242497
09:54:36.696	0.263955
09:54:36.997	0.254412
09:54:37.396	0.223459
09:54:37.697	0.235675
09:54:38.096	0.255433
09:54:38.396	0.255691
09:54:38.696	0.272836
09:54:39.097	0.283179
09:54:39.397	0.302822
09:54:39.696	0.334664
09:54:40.096	0.370319
09:54:40.397	0.378561
09:54:40.796	0.382381
09:54:41.096	0.401449
09:54:41.496	0.441006
09:54:41.797	0.441876
09:54:42.097	0.429132
09:54:42.498	0.464532
09:54:42.797	0.470128
09:54:43.197	0.494827
09:54:43.497	0.459927
09:54:43.797	0.490129
09:54:44.197	0.522430
09:54:44.497	0.536332
09:54:44.797	0.609385
09:54:45.197	0.623539
09:54:45.496	0.609597
