Chart Recorder Data File Mon, Sep 23, 2024 11:30 AM
Time (s)	CH1 (V)  
11:12:29.721	1.873805
11:12:30.622	1.848807
11:12:30.922	1.792640
11:12:31.221	1.812999
11:12:31.622	1.764129
11:12:31.922	1.783986
11:12:32.321	1.783900
11:12:32.622	1.819678
11:12:33.022	1.799868
11:12:33.322	1.818649
11:12:33.622	1.800120
11:12:34.022	1.767017
11:12:34.322	1.806159
11:12:34.722	1.823587
11:12:35.022	1.867570
11:12:35.322	1.858590
11:12:35.721	1.851559
11:12:36.022	1.855361
11:12:36.422	1.879869
11:12:36.722	1.891865
11:12:37.122	1.822280
11:12:37.422	1.753512
11:12:37.822	1.764448
11:12:38.122	1.803154
11:12:38.422	1.792315
11:12:38.822	1.778653
11:12:39.122	1.816119
11:12:39.421	1.842137
11:12:39.822	1.858348
11:12:40.121	1.837007
11:12:40.421	1.797990
11:12:40.822	1.806096
11:12:41.122	1.804903
11:12:41.422	1.851105
11:12:41.822	1.810988
11:12:42.122	1.817338
11:12:42.522	1.801182
11:12:42.822	1.811759
11:12:43.122	1.792748
11:12:43.522	1.760610
11:12:43.822	1.763554
11:12:44.222	1.772598
11:12:44.521	1.816383
11:12:44.922	1.810856
11:12:45.222	1.753995
11:12:45.622	1.791610
11:12:45.922	1.803016
11:12:46.322	1.820782
11:12:46.621	1.834897
11:12:47.022	1.815143
11:12:47.322	1.807699
11:12:47.722	1.897514
11:12:48.022	1.875478
11:12:48.322	1.826969
11:12:48.721	1.839964
11:12:49.022	1.826765
11:12:49.321	1.775299
11:12:49.722	1.754880
11:12:50.022	1.778023
11:12:50.322	1.800473
11:12:50.722	1.814219
11:12:51.023	1.797855
11:12:51.422	1.791437
11:12:51.722	1.812131
11:12:52.121	1.832206
11:12:52.422	1.860430
11:12:52.822	1.829738
11:12:53.122	1.808309
11:12:53.522	1.749003
11:12:53.821	1.834092
11:12:54.222	1.858389
11:12:54.522	1.806563
11:12:54.922	1.794140
11:12:55.222	1.796775
11:12:55.622	1.771959
11:12:55.921	1.786270
11:12:56.221	1.742929
11:12:56.622	1.778172
11:12:56.922	1.780271
11:12:57.222	1.769636
11:12:57.622	1.768790
11:12:57.922	1.761523
11:12:58.222	1.793680
11:12:58.621	1.805406
11:12:58.922	1.775732
11:12:59.222	1.784713
11:12:59.622	1.809934
11:12:59.922	1.789294
11:13:00.322	1.758716
11:13:00.622	1.694510
11:13:01.022	1.701234
11:13:01.322	1.696861
11:13:01.722	1.709025
11:13:02.022	1.715567
11:13:02.322	1.692944
11:13:02.722	1.662068
11:13:03.021	1.691872
11:13:03.322	1.644818
11:13:03.722	1.608800
11:13:04.022	1.623160
11:13:04.421	1.610629
11:13:04.721	1.576011
11:13:05.122	1.638826
11:13:05.422	1.644678
11:13:05.822	1.656137
11:13:06.122	1.692832
11:13:06.422	1.706165
11:13:06.822	1.651144
11:13:07.122	1.636518
11:13:07.522	1.702320
11:13:07.822	1.743596
11:13:08.222	1.789678
11:13:08.522	1.861242
11:13:08.822	1.933059
11:13:09.222	1.980171
11:13:09.522	2.154901
11:13:09.822	2.198312
11:13:10.222	2.450130
11:13:11.522	2.535036
11:13:11.821	2.586564
11:13:12.222	2.655233
11:13:12.522	2.785762
11:13:12.921	2.802197
11:13:13.221	2.889763
11:13:13.622	2.891348
11:13:13.922	2.900182
11:13:14.223	3.001152
11:13:14.622	3.011798
11:13:14.922	3.028644
11:13:15.322	3.073648
11:13:15.622	3.102070
11:13:16.022	3.047067
11:13:16.321	3.046495
11:13:16.722	3.086495
11:13:17.022	3.061686
11:13:17.322	3.127122
11:13:17.721	3.081644
11:13:18.022	3.218396
11:13:18.321	3.180747
11:13:18.722	3.180567
11:13:19.022	3.130089
11:13:19.322	3.136068
11:13:19.722	3.139839
11:13:20.021	3.122433
