Chart Recorder Data File Tue, Sep 24, 2024 2:32 PM
Time (s)	CH1 (V)  
14:26:07.252	0.825949
14:26:08.153	0.818167
14:26:08.453	0.815962
14:26:08.752	0.795205
14:26:09.153	0.787560
14:26:09.453	0.785125
14:26:09.752	0.771776
14:26:10.153	0.802511
14:26:10.453	0.767962
14:26:10.753	0.757858
14:26:11.152	0.743999
14:26:11.452	0.778408
14:26:11.752	0.777109
14:26:12.153	0.780506
14:26:12.452	0.774088
14:26:12.753	0.789729
14:26:13.152	0.790121
14:26:13.453	0.753322
14:26:13.853	0.752232
14:26:14.152	0.764742
14:26:14.552	0.786160
14:26:14.852	0.791622
14:26:15.253	0.802374
14:26:15.552	0.809028
14:26:15.853	0.810130
14:26:16.252	0.802684
14:26:16.552	0.807547
14:26:16.952	0.780106
14:26:17.252	0.789573
14:26:17.652	0.800430
14:26:17.952	0.796077
14:26:18.353	0.786092
14:26:18.653	0.784069
14:26:18.952	0.785696
14:26:19.352	0.794570
14:26:19.653	0.795313
14:26:20.052	0.805909
14:26:20.353	0.799004
14:26:20.753	0.802560
14:26:21.052	0.803732
14:26:21.453	0.801591
14:26:21.753	0.808308
14:26:22.153	0.807932
14:26:22.452	0.807082
14:26:22.852	0.792998
14:26:23.152	0.789591
14:26:23.553	0.819569
14:26:23.852	0.814593
14:26:24.152	0.800990
14:26:24.552	0.814466
14:26:24.853	0.818723
14:26:25.252	0.818929
14:26:25.553	0.815384
14:26:25.852	0.817277
14:26:26.252	0.811175
14:26:26.553	0.809818
14:26:26.853	0.799919
14:26:27.253	0.790917
14:26:27.552	0.795063
14:26:27.952	0.796689
14:26:28.253	0.794550
14:26:28.653	0.764901
14:26:28.953	0.733542
14:26:29.352	0.773018
14:26:29.653	0.788231
14:26:29.953	0.797168
14:26:30.352	0.802094
14:26:30.652	0.792656
14:26:30.953	0.800191
14:26:31.353	0.783663
14:26:31.653	0.792073
14:26:31.953	0.806878
14:26:32.353	0.823616
14:26:32.653	0.838947
14:26:32.952	0.792877
14:26:33.354	0.795078
14:26:33.653	0.780065
14:26:34.053	0.789598
14:26:34.352	0.804212
14:26:34.752	0.799500
14:26:35.052	0.804395
14:26:35.453	0.812030
14:26:35.752	0.803197
14:26:36.152	0.779602
14:26:36.452	0.792032
14:26:36.753	0.793000
14:26:37.153	0.810856
14:26:37.452	0.819140
14:26:37.853	0.819619
14:26:38.153	0.839306
14:26:38.552	0.850084
14:26:38.853	0.866548
14:26:39.253	0.871202
14:26:39.553	0.873130
14:26:39.852	0.900017
14:26:40.253	0.892629
14:26:40.553	0.874516
14:26:40.853	0.860234
14:26:41.252	0.894435
14:26:41.552	0.917789
14:26:41.853	0.924744
14:26:42.253	0.931643
14:26:42.553	0.925629
14:26:42.952	0.973915
14:26:43.253	0.991039
14:26:43.553	0.991798
14:26:43.953	1.019077
14:26:44.252	1.006513
14:26:44.552	1.014759
14:26:44.953	1.054685
14:26:45.253	1.062530
14:26:45.652	1.107986
14:26:45.953	1.122254
14:26:46.353	1.116409
14:26:46.652	1.143713
14:26:46.953	1.145013
14:26:47.353	1.160932
14:26:47.652	1.158027
14:26:47.952	1.156337
14:26:48.352	1.196445
14:26:48.653	1.208928
14:26:48.953	1.234763
14:26:49.353	1.271156
14:26:49.653	1.285537
14:26:50.053	1.286338
14:26:50.353	1.292882
14:26:50.753	1.300860
14:26:51.052	1.304041
14:26:51.453	1.339941
14:26:51.753	1.387665
14:26:52.053	1.414525
14:26:52.452	1.419095
14:26:52.753	1.451706
14:26:53.053	1.505107
14:26:53.453	1.541300
14:26:53.753	1.600089
14:26:54.053	1.691517
14:26:54.453	1.797886
14:26:54.753	1.830444
14:26:55.053	1.845499
14:26:55.453	1.880503
14:26:55.753	1.907857
14:26:56.153	1.932111
14:26:56.453	1.954480
14:26:56.853	1.968893
14:26:57.153	1.991623
14:26:57.453	2.034249
14:26:57.852	2.011284
14:26:58.152	2.011039
14:26:58.553	2.025428
14:26:58.853	2.038642
14:26:59.253	2.021644
14:26:59.553	2.010959
14:26:59.953	1.999677
14:27:00.253	1.918891
14:27:00.653	1.868266
14:27:00.952	1.839311
14:27:01.253	1.798706
14:27:01.653	1.748800
14:27:01.952	1.728599
14:27:02.353	1.710649
14:27:02.652	1.699358
14:27:03.052	1.615943
14:27:03.352	1.581828
14:27:03.752	1.550315
14:27:04.053	1.527273
14:27:04.353	1.491618
14:27:04.753	1.473710
14:27:05.053	1.439022
14:27:05.354	1.416541
14:27:05.752	1.362588
14:27:06.052	1.380765
14:27:06.353	1.347859
14:27:06.753	1.406484
14:27:07.053	1.395209
14:27:07.354	1.379285
14:27:07.753	1.348310
14:27:08.053	1.359039
14:27:08.452	1.366948
14:27:08.753	1.379942
14:27:09.053	1.427292
14:27:09.452	1.412795
14:27:09.752	1.411058
14:27:10.052	1.425137
14:27:10.452	1.447021
14:27:10.752	1.461539
14:27:11.052	1.451569
14:27:11.453	1.459486
14:27:11.753	1.482016
14:27:12.053	1.517753
14:27:12.453	1.488924
14:27:12.753	1.483412
14:27:13.153	1.482191
14:27:13.553	1.502131
14:27:13.852	1.488341
14:27:14.252	1.496315
14:27:14.554	1.496965
14:27:14.953	1.498724
14:27:15.253	1.501005
14:27:15.653	1.464514
14:27:15.952	1.444093
14:27:16.352	1.464845
14:27:16.652	1.445853
14:27:17.053	1.439520
14:27:17.353	1.420213
14:27:17.753	1.415528
