Chart Recorder Data File Tue, Sep 24, 2024 11:20 AM
Time (s)	CH1 (V)  
11:17:52.198	2.674291
11:17:53.898	2.666903
11:17:54.298	2.638566
11:17:54.598	2.624217
11:17:54.998	2.637214
11:17:55.298	2.622898
11:17:55.699	2.671249
11:17:55.998	2.670375
11:17:56.398	2.629620
11:17:56.698	2.614041
11:17:57.098	2.610502
11:17:57.399	2.603462
11:17:57.799	2.652965
11:17:58.098	2.714481
11:17:58.498	2.686256
11:17:58.798	2.702504
11:17:59.198	2.712575
11:17:59.498	2.605917
11:17:59.898	2.654209
11:18:00.199	2.737743
11:18:00.598	2.753094
11:18:00.898	2.653110
11:18:01.298	2.709739
11:18:01.599	2.751637
11:18:01.998	2.617005
11:18:02.298	2.589897
11:18:02.699	2.579725
11:18:02.998	2.584303
11:18:03.398	2.567640
11:18:03.699	2.536374
11:18:04.098	2.519124
11:18:04.398	2.492436
11:18:04.798	2.461121
11:18:05.199	2.504136
11:18:05.498	2.497656
11:18:05.898	2.521329
11:18:06.199	2.485608
11:18:06.598	2.507249
11:18:06.898	2.501352
11:18:07.198	2.455306
11:18:07.598	2.431943
11:18:07.898	2.400886
11:18:08.298	2.384791
11:18:08.598	2.370748
11:18:08.999	2.330644
11:18:09.298	2.326260
11:18:09.699	2.273451
11:18:09.998	2.245686
11:18:10.398	2.227039
11:18:10.698	2.192424
11:18:10.998	2.192947
11:18:11.398	2.181475
11:18:11.698	2.207891
11:18:12.098	2.318981
11:18:12.399	2.357015
11:18:12.798	2.503486
11:18:13.098	2.620525
11:18:13.498	2.787414
11:18:13.799	2.763472
11:18:14.098	2.753595
11:18:14.498	2.864326
11:18:14.798	2.859775
11:18:15.198	2.827600
11:18:15.499	2.888728
11:18:15.898	2.856019
11:18:16.199	2.820216
11:18:16.598	2.820089
11:18:16.899	2.745994
11:18:17.198	2.733278
11:18:17.598	2.761237
11:18:17.898	2.723648
11:18:18.198	2.707202
11:18:18.598	2.636193
11:18:18.898	2.591209
11:18:19.299	2.502645
11:18:19.598	2.330958
11:18:19.999	2.045456
11:18:20.298	1.504444
11:18:21.598	1.354478
11:18:21.899	1.283111
11:18:22.199	1.205323
11:18:22.599	1.137011
11:18:22.898	1.130707
11:18:23.298	1.065396
11:18:23.598	1.005435
11:18:23.999	1.024497
11:18:24.298	1.004484
11:18:24.698	0.986518
11:18:24.999	0.966337
11:18:25.299	0.981238
11:18:25.698	0.939180
11:18:25.999	0.946646
11:18:26.298	0.966826
11:18:26.698	0.998259
11:18:26.999	1.023980
11:18:27.398	1.115989
11:18:27.699	1.292281
11:18:28.098	1.518302
11:18:28.398	1.620181
11:18:28.799	1.781413
11:18:29.099	1.920564
