Chart Recorder Data File Tue, Sep 24, 2024 9:53 AM
Time (s)	CH1 (V)  
09:45:11.768	-0.059597
09:45:12.568	-0.059412
09:45:12.868	-0.060053
09:45:13.268	-0.058733
09:45:13.568	-0.061127
09:45:13.968	-0.059105
09:45:14.268	-0.058573
09:45:14.668	-0.061948
09:45:14.968	-0.058758
09:45:15.369	-0.059497
09:45:15.668	-0.060295
09:45:16.069	-0.059544
09:45:16.368	-0.060780
09:45:16.768	-0.061485
09:45:17.068	-0.059184
09:45:17.368	-0.058198
09:45:17.768	-0.060211
09:45:18.069	-0.059054
09:45:18.369	-0.058796
09:45:18.768	-0.060026
09:45:19.069	-0.058237
09:45:19.468	-0.059091
09:45:19.768	-0.058236
09:45:20.169	-0.059251
09:45:20.468	-0.059647
09:45:20.868	-0.057756
09:45:21.168	-0.057182
09:45:21.468	-0.059367
09:45:21.868	-0.059659
09:45:22.168	-0.060982
09:45:22.468	-0.058443
09:45:22.869	-0.056417
09:45:23.168	-0.057292
09:45:23.568	-0.056974
09:45:23.868	-0.058375
09:45:24.168	-0.056639
09:45:24.569	-0.057162
09:45:24.868	-0.057519
09:45:25.268	-0.057615
09:45:25.569	-0.058038
09:45:25.968	-0.058133
09:45:26.268	-0.057119
09:45:26.668	-0.058168
09:45:26.968	-0.057203
09:45:27.268	-0.058463
09:45:27.668	-0.058439
09:45:27.969	-0.056644
09:45:28.268	-0.056310
09:45:28.668	-0.057425
09:45:28.968	-0.056500
09:45:29.369	-0.054317
09:45:29.668	-0.055889
09:45:29.968	-0.056569
09:45:30.368	-0.056435
09:45:30.768	-0.055371
09:45:31.069	-0.057068
09:45:31.369	-0.055976
09:45:31.768	-0.054960
09:45:32.068	-0.055901
09:45:32.469	-0.053668
09:45:32.769	-0.053999
09:45:33.168	-0.054837
09:45:33.468	-0.054894
09:45:33.869	-0.055025
09:45:34.168	-0.054164
09:45:34.568	-0.053300
09:45:34.868	-0.052466
09:45:35.268	-0.054448
09:45:35.568	-0.054530
09:45:35.969	-0.054289
09:45:36.268	-0.054304
09:45:36.668	-0.053470
09:45:36.969	-0.052935
09:45:37.368	-0.052644
09:45:37.768	-0.053055
09:45:38.068	-0.052355
09:45:38.368	-0.053006
09:45:38.769	-0.052927
09:45:39.068	-0.053413
09:45:39.368	-0.054567
09:45:39.768	-0.051490
09:45:40.068	-0.053564
09:45:40.369	-0.051088
09:45:40.768	-0.051543
09:45:41.068	-0.050838
09:45:41.368	-0.053210
09:45:41.768	-0.052897
09:45:42.068	-0.052484
09:45:42.368	-0.049325
09:45:42.768	-0.052230
09:45:43.068	-0.052449
09:45:43.368	-0.049437
09:45:43.768	-0.048090
09:45:44.068	-0.049822
09:45:44.369	-0.048046
09:45:44.768	-0.050056
09:45:45.068	-0.051152
09:45:45.469	-0.050494
09:45:45.768	-0.049587
09:45:46.168	-0.050436
09:45:46.469	-0.051574
09:45:46.869	-0.049981
09:45:47.168	-0.049079
09:45:47.468	-0.052578
09:45:47.868	-0.051267
09:45:48.168	-0.048845
09:45:48.568	-0.049738
09:45:48.868	-0.048828
09:45:49.268	-0.047569
09:45:49.568	-0.048013
09:45:49.969	-0.050823
09:45:50.268	-0.050457
09:45:50.669	-0.048528
09:45:50.968	-0.048374
09:45:51.368	-0.052894
09:45:51.668	-0.051024
09:45:52.068	-0.052376
09:45:52.368	-0.049962
09:45:52.668	-0.049671
09:45:53.068	-0.050312
09:45:53.369	-0.050088
09:45:53.769	-0.049479
09:45:54.068	-0.051333
09:45:54.468	-0.050073
09:45:54.768	-0.049826
09:45:55.169	-0.049767
09:45:55.469	-0.050210
09:45:55.869	-0.051725
09:45:56.169	-0.051000
09:45:56.468	-0.048283
09:45:56.869	-0.050571
09:45:57.168	-0.054279
09:45:57.568	-0.049106
09:45:57.868	-0.050116
09:45:58.268	-0.049499
09:45:58.568	-0.050525
09:45:58.969	-0.047915
09:45:59.268	-0.047132
09:45:59.568	-0.049617
09:45:59.968	-0.048028
09:46:00.269	-0.045786
09:46:00.669	-0.047935
09:46:00.968	-0.045306
09:46:01.368	-0.045560
09:46:01.668	-0.044883
09:46:02.069	-0.043232
09:46:02.369	-0.042197
09:46:02.768	-0.032954
09:46:03.068	0.018029
09:46:03.468	0.103263
09:46:03.768	0.471301
09:46:04.168	0.901039
09:46:04.469	1.226495
09:46:04.868	1.467633
09:46:05.168	1.558266
09:46:05.469	1.695821
09:46:05.869	1.723494
09:46:06.169	1.697113
09:46:06.568	1.545458
09:46:06.869	1.245944
09:46:07.169	1.097336
09:46:07.568	0.827071
09:46:07.868	0.547826
09:46:08.268	0.331684
09:46:08.568	0.240486
09:46:08.869	0.094511
09:46:09.268	0.014090
09:46:09.568	-0.008870
09:46:09.969	-0.036329
09:46:10.268	-0.048908
09:46:10.568	-0.050688
09:46:10.968	-0.050918
09:46:11.269	-0.049618
09:46:11.668	-0.052608
09:46:11.969	-0.050703
09:46:12.369	-0.053871
09:46:12.668	-0.052397
09:46:13.069	-0.052681
09:46:13.368	-0.054275
09:46:13.769	-0.053479
09:46:14.068	-0.054204
09:46:14.469	-0.053698
09:46:14.769	-0.054697
09:46:15.168	-0.054340
09:46:15.468	-0.055545
09:46:15.869	-0.056482
09:46:16.169	-0.054824
09:46:16.569	-0.055945
09:46:16.869	-0.054947
09:46:17.269	-0.056615
09:46:17.568	-0.056950
09:46:17.968	-0.056028
09:46:18.269	-0.056680
09:46:18.669	-0.056888
09:46:18.968	-0.055192
09:46:19.369	-0.055582
09:46:19.668	-0.056907
09:46:20.069	-0.057141
09:46:20.369	-0.057830
09:46:20.769	-0.056666
09:46:21.069	-0.059364
09:46:21.470	-0.057066
09:46:21.768	-0.056019
09:46:22.169	-0.057531
09:46:22.469	-0.057982
09:46:22.869	-0.059683
09:46:23.168	-0.059060
09:46:23.568	-0.057267
09:46:23.868	-0.060176
09:46:24.269	-0.058881
09:46:24.569	-0.059209
09:46:24.969	-0.059341
09:46:25.269	-0.058716
09:46:25.668	-0.056457
09:46:25.969	-0.057855
09:46:26.369	-0.058378
09:46:26.668	-0.058518
09:46:26.968	-0.058597
09:46:27.369	-0.058482
09:46:27.669	-0.058537
09:46:28.069	-0.058934
