Chart Recorder Data File Tue, Sep 10, 2024 10:54 AM
Time (s)	CH1 (V)  
10:46:47.802	0.001238
10:46:48.702	0.002914
10:46:49.002	0.003444
10:46:49.302	0.001628
10:46:49.703	0.012416
10:46:50.002	0.015336
10:46:50.302	-0.002956
10:46:50.702	0.001553
10:46:51.002	0.007535
10:46:51.302	0.012747
10:46:51.702	0.010944
10:46:52.002	-0.000586
10:46:52.402	-0.003337
10:46:52.702	0.002012
10:46:53.102	0.005520
10:46:53.402	-0.004499
10:46:53.802	0.021239
10:46:54.102	0.009085
10:46:54.402	0.004534
10:46:54.802	0.011613
10:46:55.102	0.011022
10:46:55.402	0.019962
10:46:55.802	0.003754
10:46:56.102	-0.003046
10:46:56.402	0.002178
10:46:56.802	-0.002166
10:46:57.102	-0.005275
10:46:57.502	-0.000204
10:46:57.902	0.002873
10:46:58.202	0.015747
10:46:58.503	0.016785
10:46:58.902	0.010137
10:46:59.202	0.010187
10:46:59.603	0.004711
10:46:59.902	0.009180
10:47:00.302	0.009902
10:47:00.602	0.017114
10:47:01.002	0.002045
10:47:01.302	-0.003046
10:47:01.602	-0.002531
10:47:02.002	-0.003478
10:47:02.302	0.006412
10:47:02.702	0.011712
10:47:03.002	0.010973
10:47:03.302	0.005985
10:47:03.702	0.011312
10:47:04.002	0.010781
10:47:04.302	0.008689
10:47:04.702	-0.003895
10:47:05.002	0.009643
10:47:05.302	-0.001423
10:47:05.702	0.003598
10:47:06.002	0.009901
10:47:06.402	0.006932
10:47:06.702	0.006638
10:47:07.102	0.014495
10:47:07.402	-0.002833
10:47:07.802	-0.007004
10:47:08.103	-0.001102
10:47:08.502	-0.001558
10:47:08.902	-0.002274
10:47:09.202	-0.000280
10:47:09.503	0.002550
10:47:09.902	0.015509
10:47:10.202	0.011615
10:47:10.502	0.014731
10:47:10.902	-0.001191
10:47:11.202	0.009359
10:47:11.602	0.002904
10:47:11.902	0.003034
10:47:12.302	0.014504
10:47:12.602	0.012669
10:47:12.902	0.005088
10:47:13.302	0.005834
10:47:13.602	0.017143
10:47:14.002	0.008378
10:47:14.302	0.004075
10:47:14.702	0.010879
10:47:15.002	0.011649
10:47:15.403	0.009888
10:47:15.702	0.010089
10:47:16.102	0.014178
10:47:16.402	0.009306
10:47:16.702	0.000850
10:47:17.103	0.010622
10:47:17.402	0.023199
10:47:17.702	0.010343
10:47:18.102	0.004320
10:47:18.403	0.005679
10:47:18.803	0.017719
10:47:19.102	0.009707
10:47:19.502	0.004558
10:47:19.802	0.005750
10:47:20.202	0.003066
10:47:20.502	0.013428
10:47:20.902	0.008255
10:47:21.202	0.006887
10:47:21.602	0.016325
10:47:21.903	0.019402
10:47:22.303	0.018267
10:47:22.602	0.017688
10:47:23.002	0.005357
10:47:23.302	0.009867
10:47:23.603	0.006792
10:47:24.002	0.010013
10:47:24.302	0.009224
10:47:24.603	0.006593
10:47:25.002	0.010412
10:47:25.303	0.010860
10:47:25.603	0.008918
10:47:26.002	0.013400
10:47:26.303	0.008387
10:47:26.602	0.010399
10:47:27.002	0.012035
10:47:27.303	0.008122
10:47:27.702	0.009092
10:47:28.003	0.011733
10:47:28.402	0.019591
10:47:28.702	0.007041
10:47:29.102	0.008826
10:47:29.403	0.014106
10:47:29.803	0.014708
10:47:30.102	0.003764
10:47:30.503	-0.002051
10:47:30.803	-0.001589
10:47:31.203	0.010382
10:47:31.502	0.022611
10:47:31.803	0.014475
10:47:32.202	0.016943
10:47:32.502	0.014131
10:47:32.802	0.018466
10:47:33.202	0.021101
10:47:33.502	0.021462
10:47:33.902	0.008599
10:47:34.203	0.009479
10:47:34.503	0.018503
10:47:34.902	0.006937
10:47:35.202	-0.002898
10:47:35.502	0.002360
10:47:35.902	0.009989
10:47:36.202	0.006757
10:47:36.502	0.005649
10:47:36.902	0.015043
10:47:37.202	0.009779
10:47:37.602	0.009618
10:47:37.902	0.016107
10:47:38.303	0.011534
10:47:38.602	0.012305
10:47:39.002	0.008500
10:47:39.303	0.006834
10:47:39.603	0.009906
10:47:40.003	0.007445
10:47:40.303	0.007163
10:47:40.702	0.008303
10:47:41.002	0.014053
10:47:41.402	0.022711
10:47:41.702	0.020113
10:47:42.103	0.007899
10:47:42.402	0.012477
10:47:42.802	0.003637
10:47:43.102	0.006894
10:47:43.403	0.006198
10:47:43.802	0.000319
