Chart Recorder Data File Tue, Sep 10, 2024 12:39 PM
Time (s)	CH1 (V)  
12:32:43.041	-0.000134
12:32:43.941	-0.000075
12:32:44.241	-0.000045
12:32:44.541	-0.000004
12:32:44.941	-0.000024
12:32:45.241	-0.000090
12:32:45.542	-0.000054
12:32:45.941	-0.000000
12:32:46.241	-0.000081
12:32:46.641	0.000010
12:32:46.941	0.000049
12:32:47.242	0.000007
12:32:47.641	0.000020
12:32:47.941	-0.000033
12:32:48.341	-0.000031
12:32:48.641	-0.000045
12:32:49.041	0.000008
12:32:49.341	0.000012
12:32:49.741	-0.000094
12:32:50.041	0.000004
12:32:50.441	-0.000016
12:32:50.741	0.000061
12:32:51.141	0.000008
12:32:51.442	-0.000104
12:32:51.741	-0.000078
12:32:52.142	0.000007
12:32:52.442	-0.000028
12:32:52.841	0.000021
12:32:53.142	0.000014
12:32:53.542	-0.000037
12:32:53.842	-0.000037
12:32:54.242	-0.000043
12:32:54.541	-0.000055
12:32:54.841	-0.000029
12:32:55.242	-0.000035
12:32:55.542	-0.000044
12:32:55.841	-0.000051
12:32:56.241	-0.000072
12:32:56.541	-0.000047
12:32:56.941	-0.000041
12:32:57.242	-0.000022
12:32:57.642	-0.000078
12:32:57.941	-0.000029
12:32:58.342	-0.000070
12:32:58.641	-0.000035
12:32:59.041	-0.000011
12:32:59.341	0.000009
12:32:59.742	-0.000099
12:33:00.041	-0.000036
12:33:00.442	-0.000046
12:33:00.742	-0.000071
12:33:01.142	-0.000046
12:33:01.441	-0.000002
12:33:01.742	-0.000004
12:33:02.141	0.000038
12:33:02.441	-0.000073
12:33:02.741	-0.000040
12:33:03.141	-0.000058
12:33:03.441	-0.000094
12:33:03.842	-0.000046
12:33:04.141	0.000071
12:33:04.542	0.000022
12:33:04.841	-0.000108
12:33:05.242	-0.000053
12:33:05.542	-0.000025
12:33:05.842	-0.000079
12:33:06.241	-0.000014
12:33:06.541	-0.000037
12:33:06.841	-0.000079
12:33:07.242	-0.000086
12:33:07.542	-0.000093
12:33:07.942	-0.000082
12:33:08.241	-0.000044
12:33:08.541	0.000034
12:33:08.942	0.000000
12:33:09.242	0.000025
12:33:09.541	-0.000031
12:33:09.941	-0.000077
12:33:10.241	-0.000077
12:33:10.542	-0.000041
12:33:10.941	-0.000002
12:33:11.241	-0.000043
12:33:11.641	-0.000117
12:33:11.942	0.000012
12:33:12.342	-0.000012
12:33:12.641	-0.000026
12:33:13.042	0.000010
12:33:13.342	-0.000089
12:33:13.642	-0.000072
12:33:14.042	-0.000070
12:33:14.342	-0.000057
12:33:14.742	-0.000100
12:33:15.042	-0.000108
12:33:15.441	-0.000106
12:33:15.742	-0.000075
12:33:16.042	-0.000094
12:33:16.441	-0.000089
12:33:16.741	-0.000100
12:33:17.142	-0.000104
12:33:17.442	-0.000145
12:33:17.841	-0.000117
12:33:18.142	-0.000103
12:33:18.541	-0.000068
12:33:18.841	-0.000047
12:33:19.242	-0.000005
12:33:19.541	0.000004
12:33:19.842	-0.000067
12:33:20.241	-0.000096
12:33:20.542	-0.000093
12:33:20.842	-0.000117
12:33:21.242	-0.000096
12:33:21.542	-0.000091
12:33:21.942	-0.000070
12:33:22.241	-0.000099
12:33:22.641	-0.000075
12:33:22.941	-0.000121
12:33:23.342	-0.000081
12:33:23.642	-0.000068
12:33:24.042	-0.000129
12:33:24.341	-0.000113
12:33:24.642	-0.000113
12:33:25.041	-0.000171
12:33:25.342	-0.000108
12:33:25.742	-0.000066
12:33:26.041	-0.000040
12:33:26.441	-0.000049
12:33:26.742	-0.000037
12:33:27.042	-0.000000
12:33:27.442	-0.000006
12:33:27.743	-0.000005
12:33:28.042	0.000009
12:33:28.442	-0.000001
12:33:28.742	-0.000094
12:33:29.142	-0.000060
12:33:29.441	-0.000054
12:33:29.742	-0.000055
12:33:30.142	-0.000097
12:33:30.443	-0.000069
12:33:30.742	-0.000049
12:33:31.142	-0.000048
12:33:31.442	-0.000054
12:33:31.842	-0.000031
12:33:32.142	-0.000029
12:33:32.542	-0.000008
12:33:32.842	-0.000038
12:33:33.241	-0.000033
12:33:33.542	-0.000007
12:33:33.842	-0.000074
12:33:34.242	-0.000048
12:33:34.542	-0.000013
12:33:34.941	-0.000095
12:33:35.242	-0.000046
12:33:35.643	0.000043
12:33:35.942	-0.000015
12:33:36.341	-0.000036
12:33:36.642	-0.000018
12:33:37.042	-0.000059
12:33:37.342	-0.000046
12:33:37.742	-0.000078
12:33:38.042	-0.000075
12:33:38.441	-0.000032
12:33:38.742	-0.000059
12:33:39.142	-0.000062
12:33:39.442	0.000012
12:33:39.842	-0.000101
12:33:40.143	-0.000016
12:33:40.542	-0.000041
12:33:40.842	0.000002
12:33:41.241	0.000003
12:33:41.542	0.000007
12:33:41.842	0.000022
12:33:42.241	0.000005
12:33:42.541	-0.000058
12:33:42.942	0.000003
12:33:43.241	-0.000018
12:33:43.642	-0.000069
12:33:43.941	-0.000064
12:33:44.342	-0.000063
12:33:44.641	-0.000044
12:33:45.042	-0.000018
12:33:45.341	0.000039
12:33:45.742	-0.000037
12:33:46.041	-0.000043
12:33:46.442	-0.000018
12:33:46.741	0.000025
12:33:47.142	0.000008
12:33:47.442	-0.000037
12:33:47.841	0.000009
12:33:48.141	0.000046
12:33:48.542	0.000060
12:33:48.842	-0.000001
12:33:49.242	0.000004
12:33:49.542	-0.000013
12:33:49.942	0.000157
12:33:50.341	0.000131
12:33:50.642	0.000077
12:33:50.942	0.000093
12:33:51.342	0.000088
12:33:51.642	0.000112
12:33:52.042	0.000210
12:33:52.341	0.000134
12:33:52.741	0.000086
12:33:53.042	-0.000036
12:33:53.442	0.000061
12:33:53.742	0.000144
12:33:54.142	0.000121
12:33:54.442	0.000064
12:33:54.842	0.000105
12:33:55.142	0.000146
12:33:55.542	0.000050
12:33:55.841	0.000117
12:33:56.242	0.000206
12:33:56.542	0.000174
12:33:56.942	0.000427
12:33:57.242	0.000293
12:33:57.642	0.000471
12:33:57.941	0.000794
12:33:58.342	0.000770
12:33:58.642	0.001055
12:33:58.942	0.000926
12:33:59.342	0.001335
12:33:59.642	0.001993
12:34:00.041	0.006539
12:34:00.342	0.014957
12:34:00.742	0.056803
12:34:01.042	0.097828
12:34:01.442	0.111568
12:34:01.741	0.124014
12:34:02.042	0.101875
12:34:02.441	0.070483
12:34:02.742	0.058715
12:34:03.041	0.021865
12:34:03.441	0.014672
12:34:03.741	0.008576
12:34:04.142	0.003282
12:34:04.442	0.001588
12:34:04.842	0.002799
12:34:05.142	0.002199
12:34:05.542	0.001402
12:34:05.842	0.001064
12:34:06.141	0.000867
12:34:06.542	0.000420
12:34:06.842	0.000308
12:34:07.142	0.000338
12:34:07.542	0.000186
12:34:07.842	0.000099
12:34:08.242	0.000080
12:34:08.541	0.000188
12:34:08.942	0.000169
12:34:09.242	0.000131
12:34:09.642	0.000358
12:34:09.941	0.000665
12:34:10.342	0.000669
12:34:10.642	0.000734
12:34:11.042	0.001504
12:34:11.342	0.000885
12:34:11.741	0.001094
12:34:12.042	0.001146
12:34:12.342	0.000564
12:34:12.742	0.000721
12:34:13.042	0.000858
12:34:13.342	0.000382
12:34:13.742	0.000233
12:34:14.042	0.000142
12:34:14.442	0.000068
12:34:14.742	0.000061
12:34:15.141	0.000031
12:34:15.441	-0.000002
12:34:15.841	-0.000024
12:34:16.142	-0.000066
12:34:16.542	-0.000052
12:34:16.842	-0.000065
12:34:17.142	-0.000088
12:34:17.541	-0.000123
12:34:17.842	-0.000099
12:34:18.142	-0.000120
12:34:18.542	-0.000100
12:34:18.841	-0.000116
12:34:19.143	-0.000076
12:34:19.542	-0.000102
12:34:19.842	-0.000069
12:34:20.242	-0.000145
12:34:20.542	-0.000153
12:34:20.941	-0.000136
12:34:21.242	-0.000106
12:34:21.642	-0.000148
12:34:21.942	-0.000134
12:34:22.342	-0.000133
12:34:22.641	-0.000184
12:34:23.041	-0.000144
12:34:23.341	-0.000113
12:34:23.742	-0.000147
12:34:24.042	-0.000113
12:34:24.342	-0.000074
12:34:24.741	-0.000120
12:34:25.041	-0.000155
12:34:25.442	-0.000161
12:34:25.742	-0.000098
12:34:26.142	-0.000081
12:34:26.442	-0.000088
12:34:26.842	-0.000137
12:34:27.142	-0.000124
12:34:27.442	-0.000099
12:34:27.842	-0.000151
12:34:28.142	-0.000128
12:34:28.443	-0.000131
12:34:28.842	-0.000133
12:34:29.142	-0.000059
12:34:29.542	-0.000049
12:34:29.843	-0.000122
12:34:30.241	-0.000078
12:34:30.542	-0.000138
12:34:30.942	-0.000151
12:34:31.242	-0.000168
12:34:31.642	-0.000115
12:34:31.942	-0.000121
12:34:32.342	-0.000158
12:34:32.642	-0.000216
12:34:33.042	-0.000137
12:34:33.341	-0.000161
12:34:33.642	-0.000146
12:34:34.042	-0.000177
12:34:34.342	-0.000154
12:34:34.742	-0.000159
12:34:35.142	-0.000114
12:34:35.441	-0.000118
12:34:35.842	-0.000166
12:34:36.142	-0.000167
12:34:36.542	-0.000192
12:34:36.842	-0.000197
12:34:37.242	-0.000141
12:34:37.542	-0.000116
12:34:37.942	-0.000152
12:34:38.242	-0.000112
12:34:38.642	-0.000140
12:34:38.942	-0.000134
12:34:39.341	-0.000125
12:34:39.642	-0.000155
12:34:40.041	-0.000168
12:34:40.342	-0.000139
12:34:40.742	-0.000149
12:34:41.042	-0.000167
12:34:41.342	-0.000152
12:34:41.742	-0.000158
12:34:42.042	-0.000146
12:34:42.342	-0.000144
12:34:42.742	-0.000152
12:34:43.042	-0.000192
12:34:43.442	-0.000213
12:34:43.742	-0.000121
12:34:44.142	-0.000194
12:34:44.442	-0.000173
12:34:44.842	-0.000045
12:34:45.142	-0.000176
12:34:45.542	-0.000130
12:34:45.842	-0.000105
12:34:46.242	-0.000145
12:34:46.541	-0.000092
12:34:46.942	-0.000158
12:34:47.242	-0.000177
12:34:47.643	-0.000193
12:34:47.942	-0.000218
12:34:48.242	-0.000165
12:34:48.642	-0.000121
12:34:48.942	-0.000134
12:34:49.342	-0.000143
12:34:49.642	-0.000208
12:34:50.042	-0.000168
12:34:50.342	-0.000174
12:34:50.742	-0.000138
12:34:51.042	-0.000149
12:34:51.441	-0.000167
12:34:51.742	-0.000128
12:34:52.142	-0.000136
12:34:52.442	-0.000139
12:34:52.842	-0.000148
12:34:53.142	-0.000154
12:34:53.542	-0.000178
12:34:53.842	-0.000145
12:34:54.242	-0.000171
12:34:54.542	-0.000164
