Chart Recorder Data File Thu, Sep 12, 2024 3:52 PM
Time (s)	CH1 (V)  
15:46:57.015	-0.055843
15:46:57.915	-0.053789
15:46:58.215	-0.054810
15:46:58.614	-0.055383
15:46:58.914	-0.054750
15:46:59.214	-0.053060
15:46:59.614	-0.054338
15:46:59.914	-0.052805
15:47:00.214	-0.049563
15:47:00.614	-0.054399
15:47:00.914	-0.053409
15:47:01.214	-0.051909
15:47:01.615	-0.052566
15:47:01.914	-0.054047
15:47:02.215	-0.052053
15:47:02.614	-0.052016
15:47:02.914	-0.052581
15:47:03.215	-0.051907
15:47:03.614	-0.052528
15:47:04.015	-0.052048
15:47:04.314	-0.052332
15:47:04.714	-0.052312
15:47:05.015	-0.052122
15:47:05.414	-0.050217
15:47:05.714	-0.052857
15:47:06.014	-0.052908
15:47:06.414	-0.051085
15:47:06.715	-0.051972
15:47:07.114	-0.050508
15:47:07.414	-0.050110
15:47:07.815	-0.051967
15:47:08.115	-0.052372
15:47:08.414	-0.052437
15:47:08.814	-0.052225
15:47:09.115	-0.050675
15:47:09.514	-0.053426
15:47:09.814	-0.052830
15:47:10.214	-0.048743
15:47:10.514	-0.050508
15:47:10.914	-0.051076
15:47:11.214	-0.051253
15:47:11.615	-0.051126
15:47:11.915	-0.049873
15:47:12.315	-0.051157
15:47:12.614	-0.050747
15:47:13.014	-0.049854
15:47:13.315	-0.052818
15:47:13.714	-0.051505
15:47:14.015	-0.049900
15:47:14.414	-0.048230
15:47:14.715	-0.049079
15:47:15.114	-0.049639
15:47:15.414	-0.047751
15:47:15.815	-0.051077
15:47:16.114	-0.049541
15:47:16.414	-0.047562
15:47:16.815	-0.050141
15:47:17.115	-0.049525
15:47:17.515	-0.046351
15:47:17.814	-0.048953
15:47:18.215	-0.049757
15:47:18.514	-0.049696
15:47:18.814	-0.050074
15:47:19.214	-0.050694
15:47:19.515	-0.050407
15:47:19.915	-0.048846
15:47:20.215	-0.049686
15:47:20.614	-0.049246
15:47:20.915	-0.048178
15:47:21.314	-0.047770
15:47:21.614	-0.048195
15:47:22.015	-0.051179
15:47:22.315	-0.046068
15:47:22.614	-0.045186
15:47:23.014	-0.047059
15:47:23.315	-0.048115
15:47:23.615	-0.045268
15:47:24.015	-0.045476
15:47:24.315	-0.045492
15:47:24.714	-0.045437
15:47:25.014	-0.043767
15:47:25.414	-0.045217
15:47:25.715	-0.048221
15:47:26.114	-0.045704
15:47:26.414	-0.047815
15:47:26.814	-0.046453
15:47:27.115	-0.043727
15:47:27.414	-0.044705
15:47:27.814	-0.046024
15:47:28.115	-0.043654
15:47:28.515	-0.041383
15:47:28.815	-0.041300
15:47:29.215	-0.042137
15:47:29.514	-0.041890
15:47:29.915	-0.041107
15:47:30.215	-0.041201
15:47:30.615	-0.038751
15:47:30.915	-0.036845
15:47:31.314	-0.036878
15:47:31.615	-0.036399
15:47:32.014	-0.032256
15:47:32.315	-0.030012
15:47:32.715	-0.019893
15:47:33.015	0.003360
15:47:33.315	0.027310
15:47:33.714	0.129288
15:47:34.015	0.283049
15:47:34.315	0.341726
15:47:34.715	0.353760
15:47:35.015	0.249134
15:47:35.314	0.146663
15:47:35.714	0.108385
15:47:36.014	0.046257
15:47:36.315	-0.003171
15:47:36.714	-0.021104
15:47:37.015	-0.025735
15:47:37.315	-0.031165
15:47:37.715	-0.029419
15:47:38.014	-0.023668
15:47:38.415	-0.008396
15:47:38.714	0.019086
15:47:39.115	0.023159
15:47:39.415	0.027448
15:47:39.814	0.020301
15:47:40.115	0.011654
15:47:40.515	0.003392
15:47:40.815	-0.000895
15:47:41.215	-0.014498
15:47:41.515	-0.019327
15:47:41.914	-0.022518
15:47:42.215	-0.023259
15:47:42.515	-0.031252
15:47:42.914	-0.028205
15:47:43.214	-0.032929
15:47:43.614	-0.031620
15:47:43.914	-0.035445
15:47:44.314	-0.034514
15:47:44.615	-0.039448
15:47:45.014	-0.037341
15:47:45.314	-0.036972
15:47:45.614	-0.036957
15:47:46.015	-0.037580
15:47:46.315	-0.038344
15:47:46.715	-0.035491
15:47:47.015	-0.040477
15:47:47.415	-0.043649
15:47:47.715	-0.045852
15:47:48.115	-0.049903
15:47:48.415	-0.052483
15:47:48.814	-0.056925
15:47:49.115	-0.056673
15:47:49.414	-0.057714
15:47:49.815	-0.059872
15:47:50.115	-0.059742
15:47:50.515	-0.060530
15:47:50.815	-0.060141
15:47:51.215	-0.062075
15:47:51.515	-0.059941
15:47:51.915	-0.061030
15:47:52.214	-0.061057
15:47:52.515	-0.061445
15:47:52.915	-0.060714
15:47:53.215	-0.061630
15:47:53.515	-0.060052
15:47:53.915	-0.061167
15:47:54.215	-0.061854
15:47:54.515	-0.061241
15:47:54.915	-0.061619
15:47:55.215	-0.060389
15:47:55.615	-0.061222
15:47:55.915	-0.060974
15:47:56.315	-0.061463
15:47:56.615	-0.061461
15:47:57.015	-0.062389
15:47:57.315	-0.062982
15:47:57.715	-0.060437
15:47:58.015	-0.061399
15:47:58.415	-0.059791
15:47:58.715	-0.059749
15:47:59.115	-0.061121
15:47:59.414	-0.059536
15:47:59.714	-0.060501
15:48:00.115	-0.061702
15:48:00.415	-0.060812
15:48:00.815	-0.060029
15:48:01.115	-0.062031
15:48:01.514	-0.061936
15:48:01.815	-0.060919
15:48:02.215	-0.061731
15:48:02.515	-0.062071
15:48:02.815	-0.062900
15:48:03.214	-0.061328
15:48:03.515	-0.061023
15:48:03.815	-0.061236
15:48:04.214	-0.061133
15:48:04.515	-0.061104
15:48:04.815	-0.059177
15:48:05.215	-0.060978
15:48:05.515	-0.059899
15:48:05.815	-0.059869
15:48:06.215	-0.060851
15:48:06.514	-0.061987
15:48:06.916	-0.063633
15:48:07.215	-0.062469
15:48:07.515	-0.062935
15:48:07.915	-0.060392
15:48:08.215	-0.060217
15:48:08.615	-0.061476
15:48:08.914	-0.061245
15:48:09.315	-0.062325
15:48:09.615	-0.060712
15:48:10.015	-0.061453
15:48:10.315	-0.061614
15:48:10.615	-0.063671
15:48:11.014	-0.060638
15:48:11.315	-0.059904
15:48:11.615	-0.061774
15:48:12.015	-0.062530
15:48:12.315	-0.061054
15:48:12.714	-0.061499
15:48:13.015	-0.060384
15:48:13.414	-0.059148
15:48:13.715	-0.060464
15:48:14.115	-0.061343
15:48:14.415	-0.061132
15:48:14.815	-0.061830
15:48:15.215	-0.060401
15:48:15.514	-0.059737
15:48:15.815	-0.060288
15:48:16.214	-0.060667
15:48:16.515	-0.059855
15:48:16.815	-0.060648
15:48:17.215	-0.061759
15:48:17.515	-0.061118
15:48:17.915	-0.062307
15:48:18.214	-0.061162
15:48:18.614	-0.061716
15:48:18.915	-0.061940
15:48:19.315	-0.059116
15:48:19.615	-0.060532
15:48:20.015	-0.061145
15:48:20.315	-0.061320
15:48:20.614	-0.060871
15:48:21.015	-0.061194
15:48:21.315	-0.060963
15:48:21.615	-0.061090
15:48:22.015	-0.061179
15:48:22.315	-0.061340
15:48:22.715	-0.060932
15:48:23.015	-0.061661
15:48:23.414	-0.059148
15:48:23.715	-0.060448
15:48:24.015	-0.061216
15:48:24.414	-0.061726
15:48:24.714	-0.060581
15:48:25.015	-0.059300
