Chart Recorder Data File Fri, Sep 13, 2024 10:42 AM
Time (s)	CH1 (V)  
10:38:19.815	-0.068326
10:38:20.716	-0.068291
10:38:21.015	-0.068325
10:38:21.316	-0.068244
10:38:21.715	-0.068346
10:38:22.015	-0.068227
10:38:22.316	-0.067987
10:38:22.715	-0.068241
10:38:23.016	-0.068397
10:38:23.415	-0.068316
10:38:23.716	-0.068228
10:38:24.115	-0.068111
10:38:24.416	-0.068312
10:38:24.816	-0.068240
10:38:25.116	-0.068211
10:38:25.516	-0.068388
10:38:25.816	-0.067928
10:38:26.216	-0.068012
10:38:26.515	-0.068021
10:38:26.916	-0.068332
10:38:27.216	-0.068036
10:38:27.615	-0.068425
10:38:27.915	-0.068146
10:38:28.316	-0.068074
10:38:28.615	-0.068110
10:38:29.015	-0.067966
10:38:29.316	-0.068100
10:38:29.716	-0.068059
10:38:30.016	-0.068098
10:38:30.415	-0.068191
10:38:30.716	-0.068188
10:38:31.115	-0.067998
10:38:31.416	-0.067939
10:38:31.816	-0.067992
10:38:32.116	-0.067815
10:38:32.516	-0.068005
10:38:32.815	-0.067900
10:38:33.216	-0.068101
10:38:33.515	-0.067912
10:38:33.915	-0.067837
10:38:34.215	-0.067842
10:38:34.616	-0.067462
10:38:34.916	-0.067774
10:38:35.316	-0.067724
10:38:35.616	-0.067626
10:38:36.016	-0.067711
10:38:36.316	-0.067239
10:38:36.715	-0.067255
10:38:37.016	-0.067462
10:38:37.416	-0.067191
10:38:37.716	-0.066882
10:38:38.115	-0.066911
10:38:38.415	-0.066080
10:38:38.816	-0.065110
10:38:39.115	-0.064402
10:38:39.516	-0.061897
10:38:39.815	-0.057668
10:38:40.216	-0.049322
10:38:40.517	-0.043501
10:38:40.915	-0.028052
10:38:41.216	-0.012112
10:38:41.615	-0.006137
10:38:41.916	-0.004586
10:38:42.315	0.018333
10:38:42.616	0.071126
10:38:43.016	0.201986
10:38:43.316	0.454704
10:38:43.716	0.602511
10:38:44.015	1.005089
10:38:44.316	1.478142
10:38:44.716	1.349118
10:38:45.016	0.994938
10:38:45.416	0.320581
10:38:45.716	0.115685
10:38:46.116	0.120691
10:38:46.415	0.163683
10:38:46.815	0.247149
10:38:47.116	0.219223
10:38:47.516	0.095470
10:38:47.815	0.057763
10:38:48.215	0.058614
10:38:48.516	0.101286
10:38:48.916	0.177006
10:38:49.216	0.186798
10:38:49.616	0.148700
10:38:49.915	0.031213
10:38:50.316	-0.036247
10:38:50.616	-0.061724
10:38:51.015	-0.065067
10:38:51.315	-0.066601
10:38:51.716	-0.067072
10:38:52.015	-0.067068
10:38:52.415	-0.067606
10:38:52.716	-0.067139
10:38:53.116	-0.067601
10:38:53.416	-0.067646
10:38:53.816	-0.067836
10:38:54.115	-0.067639
10:38:54.516	-0.067695
10:38:54.816	-0.067680
10:38:55.216	-0.068235
10:38:55.516	-0.068056
10:38:55.915	-0.067841
10:38:56.216	-0.068126
10:38:56.615	-0.068078
10:38:56.915	-0.067857
10:38:57.315	-0.068027
10:38:57.616	-0.067931
10:38:58.016	-0.068223
10:38:58.316	-0.068040
10:38:58.616	-0.067848
10:38:59.016	-0.068107
10:38:59.316	-0.067936
10:38:59.616	-0.068152
10:39:00.016	-0.067993
10:39:00.316	-0.068202
10:39:00.716	-0.068468
10:39:01.016	-0.068276
10:39:01.415	-0.068092
10:39:01.715	-0.067789
10:39:02.115	-0.068018
10:39:02.416	-0.068337
10:39:02.816	-0.068216
10:39:03.116	-0.068367
10:39:03.415	-0.068242
10:39:03.816	-0.068131
10:39:04.116	-0.068399
10:39:04.416	-0.068148
10:39:04.815	-0.068172
10:39:05.116	-0.068375
10:39:05.415	-0.068441
10:39:05.815	-0.068313
10:39:06.115	-0.068304
10:39:06.516	-0.068261
10:39:06.816	-0.068335
10:39:07.216	-0.068387
10:39:07.515	-0.068158
10:39:07.916	-0.068204
10:39:08.216	-0.068284
10:39:08.616	-0.068415
10:39:08.916	-0.068140
10:39:09.315	-0.068161
10:39:09.616	-0.068198
10:39:10.016	-0.068330
10:39:10.316	-0.068260
10:39:10.616	-0.068205
10:39:11.016	-0.068158
10:39:11.315	-0.068067
10:39:11.716	-0.068016
10:39:12.116	-0.068342
10:39:12.416	-0.067995
10:39:12.815	-0.068109
10:39:13.116	-0.068123
10:39:13.516	-0.067923
10:39:13.816	-0.067913
10:39:14.216	-0.068350
10:39:14.515	-0.068099
10:39:14.916	-0.068300
10:39:15.216	-0.068262
10:39:15.616	-0.067997
10:39:15.916	-0.068303
10:39:16.316	-0.068123
10:39:16.615	-0.068397
10:39:17.015	-0.068544
10:39:17.316	-0.068196
10:39:17.616	-0.068468
10:39:18.016	-0.068256
10:39:18.315	-0.068157
10:39:18.716	-0.068110
10:39:19.016	-0.068139
10:39:19.416	-0.068105
10:39:19.716	-0.068275
10:39:20.116	-0.068310
10:39:20.416	-0.068403
10:39:20.816	-0.068330
10:39:21.116	-0.068290
10:39:21.416	-0.068364
10:39:21.815	-0.068265
10:39:22.117	-0.068394
10:39:22.416	-0.068253
10:39:22.816	-0.068343
10:39:23.116	-0.068205
10:39:23.416	-0.068346
10:39:23.816	-0.068136
10:39:24.116	-0.068205
10:39:24.516	-0.068176
10:39:24.816	-0.068386
10:39:25.215	-0.068300
10:39:25.516	-0.068037
10:39:25.816	-0.068136
10:39:26.216	-0.068086
10:39:26.517	-0.067954
10:39:26.816	-0.067939
10:39:27.216	-0.068037
10:39:27.516	-0.068073
10:39:27.916	-0.068043
10:39:28.216	-0.068010
10:39:28.616	-0.068025
10:39:28.916	-0.067707
10:39:29.316	-0.067814
10:39:29.616	-0.067607
10:39:30.016	-0.067860
10:39:30.315	-0.067691
10:39:30.617	-0.067576
10:39:31.016	-0.067588
10:39:31.316	-0.067469
10:39:31.716	-0.067500
10:39:32.016	-0.067598
10:39:32.416	-0.067617
10:39:32.716	-0.067750
10:39:33.116	-0.067800
10:39:33.416	-0.067616
10:39:33.816	-0.067735
10:39:34.116	-0.067730
10:39:34.517	-0.067788
10:39:34.816	-0.067689
10:39:35.215	-0.067884
10:39:35.517	-0.067900
10:39:35.917	-0.067723
10:39:36.216	-0.068178
10:39:36.616	-0.068195
10:39:36.916	-0.068010
10:39:37.316	-0.068374
10:39:37.616	-0.068424
10:39:38.016	-0.068121
10:39:38.316	-0.068342
10:39:38.716	-0.068219
10:39:39.016	-0.068264
10:39:39.415	-0.068294
10:39:39.716	-0.068482
10:39:40.116	-0.068347
10:39:40.416	-0.068569
10:39:40.816	-0.068356
10:39:41.116	-0.068344
10:39:41.516	-0.068252
10:39:41.816	-0.068340
10:39:42.216	-0.068505
10:39:42.517	-0.068530
10:39:42.916	-0.068531
10:39:43.216	-0.068615
10:39:43.616	-0.068304
10:39:43.916	-0.068284
10:39:44.315	-0.068405
10:39:44.616	-0.068471
10:39:44.916	-0.068589
10:39:45.315	-0.068550
10:39:45.616	-0.068360
10:39:46.016	-0.068586
10:39:46.316	-0.068750
10:39:46.716	-0.068599
10:39:47.016	-0.068554
10:39:47.416	-0.068506
10:39:47.716	-0.068696
10:39:48.116	-0.068302
10:39:48.415	-0.068448
10:39:48.716	-0.068599
10:39:49.116	-0.068550
10:39:49.416	-0.068587
10:39:49.716	-0.068628
10:39:50.116	-0.068788
10:39:50.417	-0.068793
10:39:50.716	-0.068483
10:39:51.116	-0.068681
10:39:51.416	-0.068404
10:39:51.816	-0.068513
10:39:52.116	-0.068593
10:39:52.516	-0.068755
10:39:52.816	-0.068639
10:39:53.216	-0.068564
10:39:53.516	-0.068794
10:39:53.916	-0.068542
10:39:54.216	-0.068338
10:39:54.616	-0.068555
10:39:54.916	-0.068600
10:39:55.316	-0.068415
10:39:55.616	-0.068576
10:39:56.016	-0.068657
10:39:56.316	-0.068414
10:39:56.716	-0.068579
10:39:57.016	-0.068382
10:39:57.416	-0.068680
10:39:57.716	-0.068665
10:39:58.116	-0.068466
10:39:58.416	-0.068552
10:39:58.816	-0.068517
10:39:59.116	-0.068638
10:39:59.515	-0.068475
10:39:59.816	-0.068432
10:40:00.216	-0.068572
10:40:00.516	-0.068277
10:40:00.817	-0.068512
10:40:01.216	-0.068402
10:40:01.516	-0.068680
10:40:01.916	-0.068281
10:40:02.216	-0.068531
10:40:02.616	-0.068469
10:40:02.916	-0.068357
10:40:03.316	-0.068433
10:40:03.616	-0.068400
10:40:03.916	-0.068448
10:40:04.317	-0.068444
10:40:04.616	-0.068323
10:40:05.016	-0.068412
10:40:05.316	-0.068220
10:40:05.716	-0.068373
10:40:06.016	-0.068454
10:40:06.416	-0.068246
10:40:06.716	-0.068158
10:40:07.116	-0.067836
10:40:07.416	-0.067534
10:40:07.716	-0.067500
10:40:08.116	-0.067207
10:40:08.416	-0.066757
10:40:08.716	-0.066386
10:40:09.116	-0.066493
10:40:09.416	-0.066368
10:40:09.717	-0.065772
10:40:10.116	-0.065533
10:40:10.416	-0.065495
10:40:10.816	-0.065177
10:40:11.116	-0.064989
10:40:11.516	-0.065102
10:40:11.817	-0.064747
10:40:12.217	-0.064930
10:40:12.516	-0.064894
10:40:12.916	-0.065366
10:40:13.216	-0.065614
10:40:13.616	-0.065656
10:40:13.916	-0.066436
10:40:14.316	-0.066280
10:40:14.617	-0.066618
10:40:14.916	-0.066955
10:40:15.317	-0.067175
10:40:15.616	-0.067208
10:40:16.016	-0.067478
10:40:16.316	-0.067596
10:40:16.616	-0.067479
10:40:17.016	-0.067844
10:40:17.316	-0.067960
10:40:17.716	-0.068144
10:40:18.016	-0.068089
10:40:18.417	-0.068113
10:40:18.716	-0.068289
10:40:19.116	-0.068112
10:40:19.416	-0.068337
10:40:19.816	-0.068652
10:40:20.116	-0.068391
10:40:20.516	-0.068625
10:40:20.816	-0.068432
10:40:21.216	-0.068485
10:40:21.517	-0.068385
10:40:21.816	-0.068539
10:40:22.217	-0.068597
10:40:22.516	-0.068634
10:40:22.916	-0.068535
10:40:23.216	-0.068694
10:40:23.616	-0.068685
10:40:23.917	-0.068643
10:40:24.316	-0.068610
10:40:24.616	-0.068490
10:40:25.016	-0.068642
10:40:25.316	-0.068577
10:40:25.716	-0.068624
10:40:26.017	-0.068701
10:40:26.416	-0.068652
10:40:26.716	-0.068636
10:40:27.116	-0.068538
10:40:27.416	-0.068477
10:40:27.816	-0.068498
10:40:28.116	-0.068622
10:40:28.516	-0.068459
10:40:28.816	-0.068642
10:40:29.216	-0.068533
10:40:29.516	-0.068444
10:40:29.916	-0.068740
10:40:30.216	-0.068508
10:40:30.616	-0.068826
10:40:30.916	-0.068381
10:40:31.216	-0.068513
10:40:31.616	-0.068426
10:40:31.916	-0.068450
10:40:32.316	-0.068539
10:40:32.616	-0.068551
10:40:32.916	-0.068429
10:40:33.316	-0.068552
10:40:33.616	-0.068451
10:40:34.016	-0.068663
10:40:34.316	-0.068529
10:40:34.716	-0.068423
10:40:35.016	-0.068524
10:40:35.416	-0.068540
10:40:35.716	-0.068476
10:40:36.017	-0.068587
10:40:36.417	-0.068452
10:40:36.716	-0.068593
10:40:37.116	-0.068621
10:40:37.416	-0.068649
10:40:37.817	-0.068580
10:40:38.116	-0.068599
10:40:38.516	-0.068634
10:40:38.816	-0.068729
10:40:39.217	-0.068690
10:40:39.516	-0.068563
10:40:39.917	-0.068552
10:40:40.217	-0.068586
10:40:40.616	-0.068517
10:40:40.916	-0.068521
10:40:41.316	-0.068664
10:40:41.617	-0.068619
10:40:42.016	-0.068638
10:40:42.316	-0.068639
10:40:42.717	-0.068553
10:40:43.016	-0.068613
10:40:43.416	-0.068659
10:40:43.716	-0.068561
10:40:44.016	-0.068478
10:40:44.417	-0.068680
10:40:44.716	-0.068411
10:40:45.117	-0.068454
10:40:45.416	-0.068249
10:40:45.816	-0.068235
10:40:46.116	-0.067900
