Chart Recorder Data File Fri, Sep 20, 2024 11:13 AM
Time (s)	CH1 (V)  
10:54:00.685	0.014872
10:54:01.584	0.026601
10:54:01.885	0.017418
10:54:02.185	0.024216
10:54:02.585	0.025526
10:54:02.884	0.016052
10:54:03.285	0.017812
10:54:03.585	0.021403
10:54:03.985	0.017702
10:54:04.284	0.056530
10:54:04.684	0.036552
10:54:04.985	0.030981
10:54:05.285	0.038967
10:54:05.685	0.029713
10:54:05.985	0.012937
10:54:06.385	0.020181
10:54:06.685	0.028709
10:54:07.085	0.014763
10:54:07.385	0.012046
10:54:07.785	0.019535
10:54:08.085	0.015489
10:54:08.385	0.012429
10:54:08.785	0.045329
10:54:09.085	0.020831
10:54:09.385	0.026893
10:54:09.785	0.018760
10:54:10.085	0.030994
10:54:10.485	0.029122
10:54:10.785	0.030467
10:54:11.184	0.013756
10:54:11.484	0.031512
10:54:11.885	0.024184
10:54:12.185	0.021001
10:54:12.585	0.040690
10:54:12.884	0.032147
10:54:13.285	0.030762
10:54:13.585	0.040150
10:54:13.985	0.020563
10:54:14.284	0.019928
10:54:14.685	0.023621
10:54:14.985	0.024831
10:54:15.285	0.024299
10:54:15.685	0.027090
10:54:15.985	0.036826
10:54:16.285	0.027717
10:54:16.685	0.028890
10:54:16.984	0.031009
10:54:17.384	0.026389
10:54:17.685	0.031667
10:54:18.085	0.034243
10:54:18.385	0.027424
10:54:18.785	0.031948
10:54:19.085	0.024148
10:54:19.485	0.020958
10:54:19.785	0.026205
10:54:20.185	0.030623
10:54:20.485	0.030372
10:54:20.885	0.031057
10:54:21.185	0.026556
10:54:21.585	0.021136
10:54:21.885	0.031458
10:54:22.285	0.024963
10:54:22.585	0.021913
10:54:22.985	0.031093
10:54:23.285	0.017193
10:54:23.685	0.028966
10:54:23.985	0.025424
10:54:24.285	0.041729
10:54:24.685	0.031966
10:54:24.985	0.034874
10:54:25.385	0.029465
10:54:25.684	0.023089
10:54:26.084	0.015713
10:54:26.385	0.034047
10:54:26.785	0.031354
10:54:27.085	0.025479
10:54:27.485	0.030065
10:54:27.785	0.026475
10:54:28.185	0.025800
10:54:28.485	0.026712
10:54:28.885	0.018889
10:54:29.185	0.031712
10:54:29.484	0.041943
10:54:29.885	0.037422
10:54:30.185	0.030082
10:54:30.585	0.028831
10:54:30.885	0.030999
10:54:31.285	0.023420
10:54:31.585	0.017362
10:54:31.985	0.026048
10:54:32.285	0.033960
10:54:32.685	0.028339
10:54:32.984	0.032371
10:54:33.285	0.035088
10:54:33.684	0.031961
10:54:33.985	0.018178
10:54:34.285	0.019883
10:54:34.685	0.019325
10:54:34.985	0.014250
10:54:35.385	0.028800
10:54:35.685	0.034535
10:54:36.085	0.038916
10:54:36.385	0.032418
10:54:36.785	0.027718
10:54:37.085	0.026267
10:54:37.485	0.035921
10:54:37.785	0.035466
10:54:38.185	0.028743
10:54:38.486	0.028998
10:54:38.885	0.026559
10:54:39.185	0.028988
10:54:39.585	0.027079
10:54:39.885	0.016810
10:54:40.185	0.026837
10:54:40.585	0.035147
10:54:40.885	0.036188
10:54:41.285	0.030984
10:54:41.585	0.042506
10:54:41.985	0.041245
10:54:42.285	0.032987
10:54:42.685	0.038984
10:54:42.985	0.025618
10:54:43.385	0.028740
10:54:43.685	0.021343
10:54:44.085	0.019769
10:54:44.385	0.035003
10:54:44.785	0.022432
10:54:45.085	0.025928
10:54:45.386	0.021425
10:54:45.785	0.038708
10:54:46.085	0.035467
10:54:46.386	0.030999
10:54:46.785	0.024447
10:54:47.085	0.023353
10:54:47.485	0.039171
10:54:47.785	0.035011
10:54:48.185	0.026258
10:54:48.485	0.017152
10:54:48.885	0.033161
10:54:49.185	0.031524
10:54:49.585	0.023833
10:54:49.885	0.015690
10:54:50.285	0.024602
10:54:50.585	0.042173
10:54:50.985	0.027695
10:54:51.285	0.045339
10:54:51.685	0.021746
10:54:51.985	0.020220
10:54:52.385	0.026193
10:54:52.685	0.027425
10:54:52.985	0.024423
10:54:53.385	0.032618
10:54:53.685	0.014859
10:54:54.085	0.034659
10:54:54.385	0.040026
10:54:54.685	0.029741
10:54:55.085	0.021757
10:54:55.385	0.027854
10:54:55.685	0.027829
10:54:56.085	0.030376
10:54:56.385	0.029988
10:54:56.785	0.021865
10:54:57.085	0.023789
10:54:57.485	0.023519
10:54:57.785	0.021865
10:54:58.185	0.024130
10:54:58.485	0.023542
10:54:58.885	0.018108
10:54:59.185	0.020163
10:54:59.586	0.035783
10:54:59.885	0.035230
10:55:00.285	0.031610
10:55:00.585	0.032093
10:55:00.985	0.017211
10:55:01.285	0.025708
10:55:01.585	0.030605
10:55:01.986	0.030562
10:55:02.285	0.032563
10:55:02.685	0.020337
10:55:02.985	0.022597
10:55:03.385	0.018676
10:55:03.686	0.024029
10:55:04.085	0.020829
10:55:04.385	0.028262
10:55:04.785	0.034086
10:55:05.085	0.032313
10:55:05.486	0.030542
10:55:05.785	0.026454
10:55:06.185	0.025485
10:55:06.485	0.028991
10:55:06.885	0.024337
10:55:07.185	0.024887
10:55:07.486	0.019621
10:55:07.885	0.031019
10:55:08.185	0.027763
10:55:08.485	0.026501
10:55:08.885	0.038884
10:55:09.185	0.044303
10:55:09.585	0.017909
10:55:09.885	0.027178
10:55:10.285	0.047059
10:55:10.586	0.043603
10:55:10.985	0.027752
10:55:11.285	0.028700
10:55:11.685	0.031487
10:55:11.985	0.032688
10:55:12.385	0.025368
10:55:12.685	0.029172
10:55:13.086	0.018913
10:55:13.385	0.026769
10:55:13.685	0.027211
10:55:14.085	0.012746
10:55:14.385	0.024527
10:55:14.786	0.033093
10:55:15.085	0.034501
10:55:15.486	0.031079
10:55:15.785	0.015088
10:55:16.185	0.028311
10:55:16.485	0.033419
10:55:16.886	0.025079
10:55:17.185	0.024227
10:55:17.485	0.030606
10:55:17.886	0.027038
10:55:18.186	0.028712
10:55:18.585	0.027614
10:55:18.885	0.028212
10:55:19.185	0.030474
10:55:19.585	0.034158
10:55:19.885	0.030721
10:55:20.285	0.030154
10:55:20.585	0.025961
10:55:20.885	0.036163
10:55:21.285	0.033134
10:55:21.586	0.034254
10:55:21.985	0.038959
10:55:22.285	0.058139
10:55:22.685	0.086483
10:55:22.985	0.107426
10:55:23.386	0.201225
10:55:23.685	0.296029
10:55:24.085	0.470013
10:55:24.385	0.564414
10:55:24.785	0.783253
10:55:25.085	0.990530
10:55:25.486	1.170719
10:55:25.786	1.281263
10:55:26.185	1.461441
10:55:26.485	1.471850
10:55:26.886	1.442486
10:55:27.185	1.387521
10:55:27.585	1.193255
10:55:27.885	0.981636
10:55:28.286	0.771025
10:55:28.585	0.558625
10:55:28.985	0.363978
10:55:29.285	0.272444
10:55:29.686	0.167493
10:55:29.986	0.090538
10:55:30.386	0.043970
10:55:30.685	0.029458
10:55:31.086	0.024986
10:55:31.386	0.036813
10:55:31.686	0.034160
10:55:32.085	0.036938
10:55:32.386	0.022704
10:55:32.785	0.030584
10:55:33.086	0.029348
10:55:33.486	0.022375
10:55:33.786	0.028295
10:55:34.185	0.032449
10:55:34.485	0.021410
10:55:34.885	0.012474
10:55:35.185	0.013963
10:55:35.586	0.029136
10:55:35.886	0.036015
10:55:36.285	0.041167
10:55:36.585	0.034138
10:55:36.987	0.032114
10:55:37.285	0.032619
10:55:37.686	0.038838
10:55:37.985	0.035976
10:55:38.385	0.024591
10:55:38.685	0.024082
10:55:39.086	0.033605
10:55:39.385	0.031537
10:55:39.785	0.022810
10:55:40.086	0.025121
10:55:40.486	0.013519
10:55:40.786	0.008555
10:55:41.185	0.013156
10:55:41.485	0.020056
10:55:41.885	0.025679
10:55:42.186	0.023693
10:55:42.586	0.023038
