Chart Recorder Data File Fri, Sep 20, 2024 1:55 PM
Time (s)	CH1 (V)  
13:46:26.345	0.042136
13:46:27.145	0.034902
13:46:27.445	0.030805
13:46:27.845	0.022437
13:46:28.145	0.033373
13:46:28.545	0.035853
13:46:28.845	0.034136
13:46:29.246	0.039342
13:46:29.545	0.031157
13:46:29.945	0.031689
13:46:30.246	0.028419
13:46:30.645	0.020769
13:46:30.946	0.030444
13:46:31.345	0.021661
13:46:31.645	0.020086
13:46:32.045	0.018850
13:46:32.346	0.029997
13:46:32.745	0.036526
13:46:33.045	0.039544
13:46:33.446	0.035889
13:46:33.746	0.037587
13:46:34.045	0.033410
13:46:34.446	0.036877
13:46:34.746	0.027477
13:46:35.146	0.031462
13:46:35.446	0.028715
13:46:35.746	0.029281
13:46:36.146	0.024162
13:46:36.445	0.027719
13:46:36.845	0.033844
13:46:37.146	0.039824
13:46:37.545	0.032169
13:46:37.846	0.034571
13:46:38.246	0.036554
13:46:38.546	0.025700
13:46:38.946	0.023721
13:46:39.246	0.035419
13:46:39.645	0.024856
13:46:39.945	0.023244
13:46:40.346	0.031658
13:46:40.645	0.019345
13:46:40.945	0.035753
13:46:41.345	0.028374
13:46:41.646	0.018516
13:46:42.045	0.016485
13:46:42.346	0.022007
13:46:42.745	0.031877
13:46:43.045	0.008438
13:46:43.446	0.027634
13:46:43.746	0.008489
13:46:44.046	0.015850
13:46:44.446	0.029028
13:46:44.746	0.022888
13:46:45.046	0.034438
13:46:45.446	0.047182
13:46:45.746	0.023554
13:46:46.145	0.026004
13:46:46.446	0.034052
13:46:46.846	0.030806
13:46:47.145	0.038676
13:46:47.546	0.025965
13:46:47.845	0.040966
13:46:48.245	0.038966
13:46:48.546	0.035164
13:46:48.846	0.033485
13:46:49.245	0.034349
13:46:49.546	0.049324
13:46:49.945	0.045203
13:46:50.245	0.038564
13:46:50.646	0.017518
13:46:50.945	0.021794
13:46:51.346	0.027093
13:46:51.645	0.034247
13:46:51.945	0.028920
13:46:52.346	0.032048
13:46:52.646	0.042812
13:46:53.046	0.032114
13:46:53.345	0.027036
13:46:53.745	0.028739
13:46:54.046	0.035459
13:46:54.445	0.037891
13:46:54.746	0.031957
13:46:55.145	0.020792
13:46:55.446	0.020691
13:46:55.846	0.029034
13:46:56.146	0.026402
13:46:56.546	0.038367
13:46:56.845	0.039531
13:46:57.147	0.037642
13:46:57.546	0.043087
13:46:57.846	0.036366
13:46:58.146	0.031242
13:46:58.545	0.037073
13:46:58.846	0.030837
13:46:59.146	0.031146
13:46:59.545	0.030817
13:46:59.845	0.035653
13:47:00.246	0.037426
13:47:00.546	0.045183
13:47:00.945	0.029545
13:47:01.245	0.024113
13:47:01.545	0.022688
13:47:01.946	0.030783
13:47:02.246	0.038010
13:47:02.645	0.033789
13:47:02.946	0.034345
13:47:03.346	0.034422
13:47:03.646	0.034486
13:47:04.045	0.040252
13:47:04.346	0.037371
13:47:04.745	0.033511
13:47:05.045	0.035112
13:47:05.446	0.032374
13:47:05.746	0.035260
13:47:06.146	0.038268
13:47:06.445	0.027371
13:47:06.847	0.042320
13:47:07.146	0.038894
13:47:07.546	0.027187
13:47:07.846	0.036919
13:47:08.245	0.037521
13:47:08.546	0.035652
13:47:08.946	0.033325
13:47:09.246	0.041377
13:47:09.645	0.035874
13:47:09.946	0.043026
13:47:10.247	0.040511
13:47:10.646	0.033902
13:47:10.945	0.022105
13:47:11.346	0.035323
13:47:11.646	0.035661
13:47:12.046	0.027648
13:47:12.345	0.039925
13:47:12.746	0.040676
13:47:13.046	0.043982
13:47:13.346	0.048101
13:47:13.746	0.039317
13:47:14.046	0.042338
13:47:14.446	0.030967
13:47:14.745	0.037808
13:47:15.146	0.038236
13:47:15.446	0.035809
13:47:15.846	0.036400
13:47:16.147	0.039796
13:47:16.546	0.030446
13:47:16.845	0.027005
13:47:17.145	0.038119
13:47:17.546	0.041276
13:47:17.846	0.039010
13:47:18.245	0.032635
13:47:18.545	0.027664
13:47:18.946	0.039395
13:47:19.245	0.029423
13:47:19.646	0.041898
13:47:19.945	0.040342
