Chart Recorder Data File Fri, Sep 20, 2024 9:44 AM
Time (s)	CH1 (V)  
09:39:01.660	0.692774
09:39:02.460	0.660263
09:39:02.760	0.641852
09:39:03.160	0.642583
09:39:03.460	0.639284
09:39:03.860	0.667954
09:39:04.160	0.655076
09:39:04.560	0.635518
09:39:04.860	0.623025
09:39:05.160	0.606682
09:39:05.560	0.602745
09:39:05.860	0.614904
09:39:06.160	0.618411
09:39:06.560	0.613437
09:39:06.860	0.599083
09:39:07.160	0.580407
09:39:07.560	0.575209
09:39:07.860	0.568845
09:39:08.160	0.593926
09:39:08.560	0.612944
09:39:08.860	0.625717
09:39:09.160	0.661322
09:39:09.560	0.617338
09:39:09.860	0.614709
09:39:10.160	0.620735
09:39:10.560	0.647359
09:39:10.860	0.644383
09:39:11.160	0.595954
09:39:11.559	0.564314
09:39:11.860	0.569700
09:39:12.259	0.589602
09:39:12.560	0.609247
09:39:12.959	0.656680
09:39:13.260	0.678780
09:39:13.560	0.639291
09:39:13.960	0.659735
09:39:14.259	0.677958
09:39:14.560	0.667986
09:39:14.960	0.664053
09:39:15.260	0.673749
09:39:15.660	0.632013
09:39:15.960	0.625193
09:39:16.260	0.633254
09:39:16.660	0.624983
09:39:16.960	0.632161
09:39:17.260	0.627798
09:39:17.660	0.660822
09:39:17.960	0.660548
09:39:18.360	0.672707
09:39:18.660	0.679896
09:39:19.059	0.707490
09:39:19.359	0.736930
09:39:19.760	0.693095
09:39:20.060	0.640031
09:39:20.360	0.616635
09:39:20.760	0.606592
09:39:21.059	0.641660
09:39:21.460	0.634115
09:39:21.759	0.662195
09:39:22.160	0.670830
09:39:22.460	0.657466
09:39:22.860	0.649258
09:39:23.160	0.674590
09:39:23.459	0.663556
09:39:23.860	0.626627
09:39:24.160	0.630111
09:39:24.460	0.617274
09:39:24.859	0.625867
09:39:25.159	0.638239
09:39:25.560	0.634070
09:39:25.860	0.619077
09:39:26.259	0.637512
09:39:26.561	0.652801
09:39:26.960	0.675051
09:39:27.260	0.670430
09:39:27.560	0.675727
09:39:27.959	0.697628
09:39:28.260	0.675168
09:39:28.559	0.670987
09:39:28.960	0.656522
09:39:29.260	0.672900
09:39:29.560	0.685771
09:39:29.959	0.691497
09:39:30.260	0.701031
09:39:30.560	0.680822
09:39:30.960	0.665714
09:39:31.260	0.656170
09:39:31.659	0.640497
09:39:31.960	0.650035
09:39:32.360	0.669770
09:39:32.660	0.652235
09:39:33.059	0.602437
09:39:33.360	0.595628
09:39:33.660	0.636221
09:39:34.060	0.638334
09:39:34.360	0.641259
09:39:34.660	0.688399
09:39:35.060	0.703694
09:39:35.360	0.709195
09:39:35.660	0.688622
09:39:36.060	0.662515
09:39:36.360	0.657332
09:39:36.660	0.657177
09:39:37.060	0.660115
09:39:37.360	0.678042
09:39:37.660	0.694254
09:39:38.060	0.674736
09:39:38.360	0.664054
09:39:38.760	0.644272
09:39:39.060	0.641415
09:39:39.460	0.651203
09:39:39.759	0.661508
09:39:40.160	0.649297
09:39:40.460	0.654203
09:39:40.859	0.666354
09:39:41.160	0.676771
09:39:41.459	0.681860
09:39:41.860	0.679641
09:39:42.160	0.677576
09:39:42.460	0.667983
09:39:42.860	0.664989
09:39:43.160	0.677214
09:39:43.460	0.653493
09:39:43.860	0.645368
09:39:44.160	0.654710
09:39:44.460	0.665424
09:39:44.860	0.623832
09:39:45.160	0.618649
09:39:45.460	0.628632
09:39:45.860	0.650185
09:39:46.160	0.647011
09:39:46.560	0.633920
09:39:46.860	0.660984
09:39:47.260	0.653034
09:39:47.560	0.660276
09:39:47.960	0.661221
09:39:48.260	0.658330
09:39:48.560	0.665923
09:39:48.960	0.683775
09:39:49.260	0.675223
09:39:49.660	0.661683
09:39:49.960	0.676033
09:39:50.360	0.637122
09:39:50.660	0.674731
09:39:51.060	0.642081
09:39:51.360	0.638445
09:39:51.760	0.671629
09:39:52.060	0.675486
09:39:52.460	0.693641
09:39:52.760	0.670015
09:39:53.160	0.707557
09:39:53.460	0.724691
09:39:53.860	0.716913
09:39:54.160	0.728979
09:39:54.560	0.757939
09:39:54.860	0.757071
09:39:55.260	0.751275
09:39:55.560	0.724701
09:39:55.960	0.700194
09:39:56.261	0.692182
09:39:56.660	0.714565
09:39:56.960	0.729318
09:39:57.360	0.698764
09:39:57.661	0.691853
09:39:58.061	0.695608
09:39:58.361	0.680149
09:39:58.660	0.666888
09:39:59.060	0.661672
09:39:59.360	0.658351
09:39:59.760	0.621167
09:40:00.060	0.644476
09:40:00.461	0.674115
09:40:00.760	0.667489
09:40:01.160	0.635283
09:40:01.460	0.667254
09:40:01.860	0.662119
09:40:02.160	0.639948
09:40:02.560	0.635807
09:40:02.861	0.646685
09:40:03.261	0.677169
09:40:03.560	0.668208
09:40:03.960	0.681211
09:40:04.260	0.677516
09:40:04.660	0.676750
09:40:04.960	0.690717
09:40:05.360	0.709318
09:40:05.660	0.731831
09:40:06.060	0.749732
09:40:06.360	0.733729
09:40:06.761	0.722476
09:40:07.060	0.727379
09:40:07.460	0.732503
09:40:07.760	0.773232
09:40:08.160	0.746469
09:40:08.461	0.745630
09:40:08.860	0.721195
09:40:09.161	0.703218
09:40:09.561	0.697191
09:40:09.860	0.699740
09:40:10.261	0.733398
09:40:10.560	0.753341
09:40:10.961	0.752749
09:40:11.260	0.748144
09:40:11.660	0.744079
09:40:11.960	0.726235
09:40:12.360	0.740206
09:40:12.661	0.734493
09:40:13.060	0.718782
09:40:13.360	0.711392
09:40:13.661	0.687420
09:40:14.060	0.703816
09:40:14.361	0.722202
09:40:14.760	0.729627
09:40:15.061	0.716190
09:40:15.460	0.708272
09:40:15.761	0.705041
09:40:16.160	0.660737
09:40:16.461	0.687430
09:40:16.860	0.685735
09:40:17.160	0.692505
09:40:17.560	0.694663
09:40:17.860	0.702341
09:40:18.260	0.697155
09:40:18.560	0.686748
09:40:18.961	0.664132
09:40:19.261	0.709430
09:40:19.661	0.723363
09:40:19.960	0.719006
09:40:20.360	0.722233
09:40:20.660	0.706896
09:40:20.960	0.703477
09:40:21.360	0.731983
09:40:21.660	0.727529
09:40:22.061	0.721438
09:40:22.361	0.720274
09:40:22.761	0.722333
09:40:23.061	0.720178
09:40:23.461	0.715981
09:40:23.760	0.719893
09:40:24.161	0.735738
09:40:24.461	0.725096
09:40:24.760	0.728332
09:40:25.161	0.756114
09:40:25.461	0.781147
09:40:25.860	0.748975
09:40:26.161	0.722645
09:40:26.560	0.699832
09:40:26.861	0.704634
09:40:27.260	0.713343
09:40:27.560	0.730703
09:40:27.861	0.738596
09:40:28.261	0.729048
09:40:28.560	0.733733
09:40:28.961	0.750661
09:40:29.261	0.755305
09:40:29.661	0.752767
09:40:29.960	0.752382
09:40:30.361	0.789071
09:40:30.661	0.816272
09:40:31.061	0.820435
09:40:31.361	0.827790
09:40:31.660	0.844018
09:40:32.060	0.838362
09:40:32.361	0.856079
09:40:32.760	0.896997
09:40:33.061	0.927122
09:40:33.461	0.978126
09:40:33.760	0.990346
