Chart Recorder Data File Fri, Sep 20, 2024 2:46 PM
Time (s)	CH1 (V)  
14:36:01.962	0.752402
14:36:02.761	0.764655
14:36:03.161	0.781695
14:36:03.461	0.762870
14:36:03.861	0.738924
14:36:04.162	0.735672
14:36:04.561	0.748833
14:36:04.862	0.780907
14:36:05.162	0.784402
14:36:05.561	0.792665
14:36:05.861	0.794918
14:36:06.162	0.797499
14:36:06.561	0.790524
14:36:06.863	0.789816
14:36:07.161	0.768259
14:36:07.561	0.822789
14:36:07.861	0.790772
14:36:08.161	0.809417
14:36:08.561	0.802053
14:36:08.862	0.779965
14:36:09.161	0.778808
14:36:09.561	0.771784
14:36:09.862	0.744426
14:36:10.262	0.695716
14:36:10.563	0.701375
14:36:10.962	0.739508
14:36:11.262	0.697699
14:36:11.662	0.724923
14:36:11.962	0.718340
14:36:12.362	0.728352
14:36:12.662	0.689866
14:36:12.962	0.690673
14:36:13.361	0.691426
14:36:13.662	0.699906
14:36:14.062	0.717333
14:36:14.362	0.720822
14:36:14.761	0.736089
14:36:15.062	0.740705
14:36:15.362	0.741772
14:36:15.762	0.725384
14:36:16.062	0.725174
14:36:16.461	0.723802
14:36:16.761	0.732980
14:36:17.162	0.761891
14:36:17.461	0.773429
14:36:17.862	0.746324
14:36:18.161	0.723057
14:36:18.562	0.732559
14:36:18.861	0.748047
14:36:19.161	0.721817
14:36:19.563	0.691396
14:36:19.861	0.692962
14:36:20.162	0.714645
14:36:20.562	0.763057
14:36:20.861	0.751701
14:36:21.261	0.719022
14:36:21.562	0.703535
14:36:21.862	0.691965
14:36:22.261	0.686587
14:36:22.561	0.696432
14:36:22.962	0.732126
14:36:23.261	0.720196
14:36:23.662	0.704121
14:36:23.961	0.699955
14:36:24.361	0.690657
14:36:24.661	0.732037
14:36:24.961	0.702222
14:36:25.361	0.705259
14:36:25.663	0.734840
14:36:25.962	0.772331
14:36:26.362	0.740848
14:36:26.662	0.731118
14:36:26.961	0.747844
14:36:27.361	0.809047
14:36:27.661	0.754224
14:36:28.061	0.737994
14:36:28.361	0.740973
14:36:28.661	0.730402
14:36:29.062	0.699465
14:36:29.362	0.752721
14:36:29.761	0.755823
14:36:30.062	0.731090
14:36:30.362	0.724556
14:36:30.762	0.716971
14:36:31.061	0.713781
14:36:31.461	0.711300
14:36:31.762	0.693821
14:36:32.062	0.694004
14:36:32.461	0.711933
14:36:32.763	0.745278
14:36:33.062	0.736606
14:36:33.461	0.715362
14:36:33.761	0.749778
14:36:34.062	0.742889
14:36:34.462	0.735308
14:36:34.761	0.741314
14:36:35.162	0.745392
14:36:35.462	0.743991
14:36:35.861	0.755171
14:36:36.162	0.753486
14:36:36.561	0.740139
14:36:36.862	0.736398
14:36:37.162	0.768676
14:36:37.561	0.722239
14:36:37.863	0.719235
14:36:38.261	0.725133
14:36:38.562	0.711522
14:36:38.962	0.714190
14:36:39.262	0.734145
14:36:39.662	0.746540
14:36:39.961	0.758318
14:36:40.261	0.745421
14:36:40.662	0.746378
14:36:40.962	0.756519
14:36:41.262	0.760431
14:36:41.662	0.762166
14:36:41.962	0.759939
14:36:42.362	0.759639
14:36:42.662	0.751527
14:36:43.061	0.745055
14:36:43.362	0.742178
14:36:43.761	0.751837
14:36:44.061	0.723318
14:36:44.361	0.727159
14:36:44.762	0.725643
14:36:45.062	0.734553
14:36:45.462	0.730376
14:36:45.761	0.725078
14:36:46.162	0.744928
14:36:46.462	0.745567
14:36:46.862	0.744638
14:36:47.161	0.752122
14:36:47.461	0.747910
14:36:47.861	0.750665
14:36:48.162	0.768576
14:36:48.462	0.786431
14:36:48.862	0.804044
14:36:49.162	0.817581
14:36:49.562	0.807268
14:36:49.861	0.800585
14:36:50.162	0.778817
14:36:50.562	0.739771
14:36:50.862	0.733881
14:36:51.162	0.732045
14:36:51.562	0.748403
14:36:51.861	0.751730
14:36:52.261	0.741934
14:36:52.562	0.759066
14:36:52.962	0.764202
14:36:53.262	0.759362
14:36:53.661	0.749862
14:36:53.961	0.742957
14:36:54.262	0.751759
14:36:54.662	0.780793
14:36:54.962	0.803519
14:36:55.262	0.799157
14:36:55.661	0.772443
14:36:55.961	0.773922
14:36:56.362	0.797138
14:36:56.662	0.809332
14:36:56.961	0.800524
14:36:57.362	0.783552
14:36:57.661	0.760266
14:36:58.061	0.769858
14:36:58.361	0.765589
14:36:58.763	0.749117
14:36:59.061	0.741899
14:36:59.461	0.721101
14:36:59.762	0.734311
14:37:00.162	0.765536
14:37:00.462	0.747685
14:37:00.862	0.770239
14:37:01.162	0.788460
14:37:01.461	0.786114
14:37:01.862	0.780874
14:37:02.162	0.746301
14:37:02.562	0.742506
14:37:02.862	0.754617
14:37:03.262	0.767111
14:37:03.562	0.755419
14:37:03.862	0.757680
14:37:04.262	0.766322
14:37:04.561	0.758104
14:37:04.962	0.804337
14:37:05.263	0.816671
14:37:05.561	0.813922
14:37:05.962	0.794892
14:37:06.262	0.798547
14:37:06.661	0.833215
14:37:06.963	0.815973
14:37:07.262	0.833006
14:37:07.662	0.854915
14:37:07.962	0.825006
14:37:08.362	0.812794
14:37:08.662	0.774791
14:37:09.062	0.775900
14:37:09.361	0.774708
14:37:09.762	0.795072
14:37:10.062	0.809497
14:37:10.462	0.789879
14:37:10.762	0.799108
14:37:11.162	0.803744
14:37:11.462	0.789679
14:37:11.861	0.797419
14:37:12.161	0.793398
14:37:12.461	0.792057
14:37:12.862	0.774841
14:37:13.162	0.773149
14:37:13.562	0.749499
14:37:13.862	0.753461
14:37:14.262	0.746501
14:37:14.561	0.763156
14:37:14.862	0.756582
14:37:15.262	0.718880
14:37:15.562	0.737785
14:37:15.961	0.754276
14:37:16.262	0.772095
14:37:16.562	0.760906
14:37:16.962	0.748869
14:37:17.262	0.757105
14:37:17.662	0.772878
14:37:17.962	0.765530
14:37:18.262	0.769727
14:37:18.662	0.756949
14:37:18.961	0.769134
14:37:19.262	0.780257
14:37:19.662	0.806024
14:37:19.962	0.769305
14:37:20.362	0.756481
14:37:20.761	0.759577
14:37:21.062	0.759184
14:37:21.362	0.801984
14:37:21.763	0.786189
14:37:22.062	0.790689
14:37:22.362	0.808787
14:37:22.762	0.822100
14:37:23.061	0.802338
14:37:23.462	0.804587
14:37:23.762	0.801906
14:37:24.162	0.798883
14:37:24.462	0.825361
14:37:24.862	0.836662
14:37:25.162	0.823056
14:37:25.461	0.796073
14:37:25.862	0.753216
14:37:26.162	0.780155
14:37:26.462	0.783874
14:37:26.862	0.788576
14:37:27.161	0.781994
14:37:27.562	0.783518
14:37:27.862	0.776792
14:37:28.261	0.772605
14:37:28.562	0.758513
14:37:28.962	0.757987
14:37:29.263	0.779718
14:37:29.562	0.774868
14:37:29.962	0.766140
14:37:30.262	0.763372
14:37:30.662	0.778056
14:37:30.962	0.799051
14:37:31.362	0.796434
14:37:31.661	0.782505
14:37:32.063	0.793027
14:37:32.362	0.748525
14:37:32.661	0.739635
14:37:33.062	0.763815
14:37:33.361	0.778559
14:37:33.762	0.760596
14:37:34.061	0.756727
14:37:34.462	0.766029
14:37:34.862	0.740572
14:37:35.162	0.747374
14:37:35.561	0.741774
14:37:35.862	0.744006
14:37:36.261	0.749953
14:37:36.562	0.732505
14:37:36.861	0.728854
14:37:37.262	0.715523
14:37:37.562	0.718569
14:37:37.962	0.752382
14:37:38.262	0.753940
14:37:38.662	0.752577
14:37:38.961	0.752598
14:37:39.362	0.738109
14:37:39.661	0.754848
14:37:40.061	0.764962
14:37:40.362	0.781993
14:37:40.662	0.792788
14:37:41.063	0.777368
14:37:41.362	0.775978
14:37:41.762	0.756782
14:37:42.162	0.748726
14:37:42.461	0.739193
14:37:42.762	0.746201
14:37:43.161	0.779910
14:37:43.462	0.757486
14:37:43.761	0.761659
14:37:44.161	0.786425
14:37:44.462	0.800389
14:37:44.762	0.779601
14:37:45.163	0.746289
14:37:45.462	0.756115
14:37:45.862	0.777656
14:37:46.161	0.788585
14:37:46.563	0.765931
14:37:46.861	0.768462
14:37:47.162	0.733086
14:37:47.561	0.735520
14:37:47.861	0.746400
14:37:48.262	0.736764
14:37:48.562	0.763037
14:37:48.962	0.758685
14:37:49.262	0.759023
14:37:49.661	0.738735
14:37:49.962	0.743938
14:37:50.262	0.755133
14:37:50.661	0.742688
14:37:50.961	0.736217
14:37:51.261	0.741114
14:37:51.661	0.752807
14:37:51.962	0.784175
14:37:52.262	0.770307
14:37:52.662	0.760364
14:37:52.961	0.765350
14:37:53.362	0.737223
14:37:53.661	0.745571
14:37:54.062	0.754113
14:37:54.362	0.759157
14:37:54.762	0.768020
14:37:55.061	0.765758
14:37:55.362	0.777557
14:37:55.762	0.761430
14:37:56.162	0.779412
14:37:56.462	0.760633
14:37:56.761	0.751741
14:37:57.162	0.720073
14:37:57.462	0.704316
14:37:57.762	0.722859
14:37:58.162	0.737219
14:37:58.462	0.742314
14:37:58.762	0.742867
14:37:59.162	0.760381
14:37:59.462	0.789360
14:37:59.862	0.774966
14:38:00.162	0.785382
14:38:00.462	0.779512
14:38:00.862	0.788953
14:38:01.162	0.798585
14:38:01.561	0.781050
14:38:01.862	0.757687
14:38:02.262	0.759259
14:38:02.561	0.792098
14:38:02.961	0.797431
14:38:03.262	0.788182
14:38:03.662	0.801040
14:38:03.962	0.787642
14:38:04.362	0.780979
14:38:04.662	0.783642
