Chart Recorder Data File Mon, Sep 23, 2024 9:31 AM
Time (s)	CH1 (V)  
09:23:41.886	0.017099
09:23:42.786	0.020814
09:23:43.086	0.021661
09:23:43.486	0.011619
09:23:43.786	0.030825
09:23:44.086	0.025897
09:23:44.486	0.016857
09:23:44.786	0.024990
09:23:45.086	0.015651
09:23:45.487	0.021015
09:23:45.786	0.020178
09:23:46.086	0.018769
09:23:46.486	0.012222
09:23:46.786	0.012643
09:23:47.087	0.031128
09:23:47.486	0.031633
09:23:47.786	0.028551
09:23:48.187	0.022756
09:23:48.487	0.025034
09:23:48.787	0.020283
09:23:49.087	0.026226
09:23:49.486	0.015424
09:23:49.786	0.017848
09:23:50.186	0.026550
09:23:50.487	0.023276
09:23:50.887	0.027951
09:23:51.187	0.018150
09:23:51.588	0.032957
09:23:51.886	0.036163
09:23:52.186	0.036691
09:23:52.587	0.035665
09:23:52.886	0.027225
09:23:53.186	0.035002
09:23:53.586	0.033133
09:23:53.887	0.028828
09:23:54.186	0.043082
09:23:54.587	0.035728
09:23:54.887	0.029410
09:23:55.286	0.039026
09:23:55.586	0.037164
09:23:55.886	0.033367
09:23:56.287	0.035727
09:23:56.587	0.035104
09:23:56.887	0.024638
09:23:57.287	0.031276
09:23:57.586	0.023306
09:23:57.986	0.035542
09:23:58.287	0.032193
09:23:58.586	0.046500
09:23:58.986	0.038507
09:23:59.286	0.032560
09:23:59.686	0.034891
09:23:59.986	0.037962
09:24:00.286	0.037388
09:24:00.686	0.047620
09:24:00.987	0.046693
09:24:01.287	0.042063
09:24:01.687	0.036232
09:24:01.986	0.041246
09:24:02.286	0.055243
09:24:02.686	0.063253
09:24:02.986	0.070234
09:24:03.287	0.046832
09:24:03.587	0.049777
09:24:03.987	0.054037
09:24:04.287	0.055126
09:24:04.587	0.059131
09:24:04.986	0.065138
09:24:05.287	0.067165
09:24:05.587	0.055998
09:24:05.987	0.060115
09:24:06.287	0.058774
09:24:06.586	0.067246
09:24:06.987	0.062312
09:24:07.287	0.055165
09:24:07.587	0.064718
09:24:07.987	0.047318
09:24:08.286	0.049486
09:24:08.586	0.048251
09:24:08.987	0.047182
09:24:09.286	0.047946
09:24:09.586	0.057464
09:24:09.987	0.063282
09:24:10.287	0.061353
09:24:10.587	0.049770
09:24:10.987	0.050783
09:24:11.287	0.043547
09:24:11.586	0.052428
09:24:11.987	0.045277
09:24:12.287	0.055050
09:24:12.587	0.051987
09:24:12.987	0.035213
09:24:13.287	0.085403
09:24:13.587	0.085754
09:24:13.987	0.055973
09:24:14.287	0.050195
09:24:14.587	0.056833
09:24:14.888	0.062007
09:24:15.287	0.059361
09:24:15.587	0.056787
09:24:15.987	0.057904
09:24:16.287	0.054495
09:24:16.586	0.048871
09:24:16.987	0.035756
09:24:17.287	0.042817
09:24:17.586	0.049586
09:24:17.986	0.046693
09:24:18.287	0.037808
09:24:18.586	0.046723
09:24:18.987	0.051534
09:24:19.287	0.035916
09:24:19.587	0.059766
09:24:19.987	0.053047
09:24:20.287	0.041824
09:24:20.587	0.048976
09:24:20.986	0.047122
09:24:21.286	0.044133
09:24:21.586	0.049756
09:24:21.987	0.044446
09:24:22.286	0.044441
09:24:22.587	0.045146
09:24:22.987	0.059240
09:24:23.287	0.062801
09:24:23.586	0.042279
09:24:23.987	0.047498
09:24:24.286	0.062443
09:24:24.686	0.051287
09:24:24.987	0.046306
09:24:25.387	0.052197
09:24:25.686	0.046749
09:24:26.087	0.051577
09:24:26.387	0.093311
09:24:26.686	0.226690
09:24:27.086	0.374126
09:24:27.386	0.838931
09:24:27.687	1.345699
09:24:28.087	1.874688
09:24:28.386	2.113897
09:24:28.686	2.160227
09:24:29.987	0.535970
09:24:31.286	0.251415
09:24:31.587	0.185177
09:24:31.887	0.083920
09:24:32.287	0.049440
09:24:32.587	0.031884
09:24:32.887	0.031344
09:24:33.286	0.040258
09:24:33.586	0.041841
09:24:33.988	0.030216
09:24:34.287	0.032391
09:24:34.587	0.019173
09:24:34.987	0.026694
09:24:35.287	0.021980
09:24:35.587	0.026516
09:24:35.986	0.031438
09:24:36.287	0.029321
09:24:36.587	0.035967
09:24:36.987	0.030206
09:24:37.286	0.032365
09:24:37.587	0.026666
09:24:37.987	0.036664
09:24:38.286	0.023351
09:24:38.587	0.012776
09:24:38.987	0.022133
09:24:39.287	0.030072
09:24:39.587	0.030670
09:24:39.987	0.012228
09:24:40.287	0.010324
09:24:40.587	0.017432
09:24:40.987	0.025165
09:24:41.287	0.020398
09:24:41.587	0.018675
09:24:41.986	0.025826
09:24:42.286	0.020408
09:24:42.586	0.023641
09:24:42.987	0.015981
09:24:43.286	0.024143
09:24:43.586	0.017330
09:24:43.987	0.002435
09:24:44.286	0.022437
09:24:44.588	0.028195
09:24:44.987	0.025008
09:24:45.287	0.014113
09:24:45.586	0.004890
09:24:45.987	0.012386
09:24:46.286	0.019798
09:24:46.587	0.009082
09:24:46.986	0.017652
09:24:47.287	0.023217
09:24:47.686	0.027488
09:24:47.986	0.004917
09:24:48.287	0.008894
09:24:48.687	0.017150
09:24:48.987	0.009883
09:24:49.287	0.012172
09:24:49.687	0.012774
09:24:49.987	0.013180
09:24:50.287	0.015507
09:24:50.686	0.015401
09:24:50.987	0.006974
09:24:51.288	0.013203
09:24:51.686	0.012604
09:24:51.987	0.023249
09:24:52.387	0.019920
09:24:52.687	0.016025
09:24:53.087	0.022001
09:24:53.387	0.013127
09:24:53.687	0.008544
09:24:54.087	0.016605
09:24:54.387	0.011769
09:24:54.787	0.005268
09:24:55.087	0.005648
09:24:55.487	0.012074
09:24:55.787	0.016769
09:24:56.087	0.020558
09:24:56.487	0.013373
09:24:56.786	0.015519
09:24:57.087	0.018352
09:24:57.487	-0.000287
09:24:57.786	-0.000092
09:24:58.087	0.009669
09:24:58.487	0.009380
09:24:58.786	0.010101
09:24:59.187	0.014627
09:24:59.487	0.015122
09:24:59.887	0.016423
09:25:00.186	0.007859
09:25:00.486	0.003619
09:25:00.887	0.013508
09:25:01.186	0.023671
09:25:01.587	0.014455
09:25:01.887	0.019013
09:25:02.287	0.009161
09:25:02.587	0.017476
09:25:02.887	0.019520
09:25:03.287	0.004486
09:25:03.586	0.008074
09:25:03.887	0.008066
09:25:04.287	0.012284
09:25:04.586	0.007603
09:25:04.887	0.007735
09:25:05.287	0.000945
09:25:05.587	0.003538
09:25:05.888	0.009169
09:25:06.287	0.009695
09:25:06.586	0.011335
09:25:06.887	0.008368
09:25:07.287	0.010881
09:25:07.587	0.019191
09:25:07.887	0.006121
09:25:08.287	0.004791
09:25:08.587	0.006019
09:25:08.887	0.004481
09:25:09.287	0.009606
09:25:09.586	0.007019
09:25:09.986	0.010813
09:25:10.288	0.011432
09:25:10.587	0.004478
09:25:10.986	0.001802
09:25:11.288	0.006464
09:25:11.686	0.006824
09:25:11.987	0.011670
09:25:12.287	0.003231
09:25:12.687	0.006837
09:25:12.986	0.004632
09:25:13.387	0.013583
09:25:13.687	0.008391
09:25:13.986	0.007130
09:25:14.387	0.006069
09:25:14.687	0.004154
09:25:14.987	0.000693
09:25:15.386	0.013909
09:25:15.687	0.012274
09:25:16.086	0.007334
09:25:16.387	0.005327
09:25:16.787	0.005192
09:25:17.087	-0.000374
09:25:17.487	0.000330
09:25:17.787	0.011285
09:25:18.087	0.011307
09:25:18.487	0.008545
09:25:18.787	0.023694
09:25:19.086	0.020885
09:25:19.487	0.008371
09:25:19.787	0.009016
09:25:20.186	0.007978
09:25:20.486	0.009807
09:25:20.787	0.012215
09:25:21.187	-0.003436
09:25:21.487	0.004291
09:25:21.786	0.011187
09:25:22.186	0.007099
09:25:22.486	0.016842
09:25:22.886	0.016940
09:25:23.187	0.012500
09:25:23.587	0.001156
09:25:23.886	0.005019
09:25:24.287	0.005917
09:25:24.587	0.014214
09:25:24.887	0.009194
09:25:25.286	0.012395
09:25:25.587	0.012144
09:25:25.886	0.009618
09:25:26.287	0.021531
09:25:26.587	0.020826
09:25:26.887	0.010426
09:25:27.287	0.016921
09:25:27.587	0.024283
09:25:27.888	0.015161
09:25:28.287	0.000925
09:25:28.587	0.008542
09:25:28.887	0.008649
09:25:29.286	0.012553
09:25:29.587	0.007164
09:25:29.887	0.007106
09:25:30.286	0.005414
09:25:30.587	0.008544
09:25:30.887	0.019660
09:25:31.287	0.018381
09:25:31.587	0.016637
09:25:31.887	0.012080
09:25:32.286	0.008117
09:25:32.586	0.012900
09:25:32.887	0.016384
09:25:33.287	0.013501
09:25:33.587	0.019970
09:25:33.986	0.009463
09:25:34.286	0.009468
09:25:34.686	0.012781
09:25:34.987	0.012802
09:25:35.287	0.015092
09:25:35.688	0.013122
09:25:35.986	0.015765
09:25:36.388	0.013942
09:25:36.686	0.015820
09:25:36.987	0.012966
09:25:37.387	0.017618
09:25:37.687	0.007780
09:25:37.986	0.011836
09:25:38.387	0.012732
09:25:38.686	0.014220
09:25:38.987	0.016159
09:25:39.387	0.011974
09:25:39.687	0.016862
09:25:39.987	0.012194
09:25:40.387	0.007868
09:25:40.687	0.018210
09:25:41.087	0.010388
09:25:41.387	0.007167
09:25:41.787	0.012078
09:25:42.087	0.023181
09:25:42.387	0.019350
09:25:42.787	0.020241
09:25:43.087	0.015062
09:25:43.487	0.004546
09:25:43.787	0.022494
09:25:44.088	0.020159
09:25:44.487	0.007849
09:25:44.787	0.010316
09:25:45.087	0.011950
09:25:45.486	0.013183
09:25:45.787	0.012174
09:25:46.087	0.019475
09:25:46.487	0.013622
09:25:46.787	0.002427
09:25:47.087	0.014564
09:25:47.487	0.010105
09:25:47.786	0.012421
09:25:48.187	0.008024
09:25:48.487	0.010466
09:25:48.787	0.014406
09:25:49.187	0.004952
09:25:49.487	0.007966
09:25:49.887	0.016939
09:25:50.187	0.013497
09:25:50.586	0.023393
09:25:50.886	0.016933
09:25:51.187	0.024656
09:25:51.586	0.025960
09:25:51.887	0.016377
09:25:52.187	0.019506
09:25:52.587	0.024661
09:25:52.887	0.027194
09:25:53.187	0.020986
09:25:53.587	0.019899
09:25:53.887	0.027252
09:25:54.186	0.024436
09:25:54.586	0.018756
09:25:54.887	0.009284
09:25:55.187	0.008459
09:25:55.587	0.025738
09:25:55.887	0.024378
09:25:56.187	0.027509
09:25:56.587	0.028573
09:25:56.887	0.028902
09:25:57.287	0.025484
09:25:57.588	0.024811
09:25:57.986	0.013408
09:25:58.287	0.010941
09:25:58.687	0.033714
09:25:58.987	0.029593
09:25:59.287	0.019075
09:25:59.687	0.016817
09:25:59.986	0.026574
09:26:00.286	0.033297
09:26:00.687	0.061737
09:26:00.987	0.078781
09:26:01.287	0.085776
09:26:01.687	0.096776
09:26:01.987	0.117520
09:26:02.287	0.115521
09:26:02.687	0.084021
09:26:02.987	0.055731
09:26:03.286	0.034362
09:26:03.687	0.033971
09:26:03.987	0.038750
09:26:04.287	0.030003
09:26:04.687	0.023431
09:26:04.987	0.023753
09:26:05.388	0.026963
09:26:05.688	0.026158
09:26:05.987	0.025128
09:26:06.387	0.033047
09:26:06.687	0.027507
09:26:06.987	0.024954
09:26:07.387	0.025591
09:26:07.687	0.026913
09:26:07.986	0.029720
09:26:08.387	0.033036
09:26:08.686	0.023811
09:26:09.087	0.040937
09:26:09.387	0.038295
09:26:09.787	0.031906
09:26:10.087	0.043832
09:26:10.387	0.044913
09:26:10.787	0.037944
09:26:11.087	0.029602
09:26:11.487	0.024337
09:26:11.787	0.037440
09:26:12.087	0.036376
09:26:12.487	0.018223
09:26:12.787	0.031561
09:26:13.087	0.029475
09:26:13.486	0.022102
09:26:13.787	0.019695
09:26:14.087	0.031179
09:26:14.487	0.036789
09:26:14.787	0.029709
09:26:15.087	0.025667
09:26:15.487	0.023177
