Chart Recorder Data File Mon, Sep 23, 2024 11:39 AM
Time (s)	CH1 (V)  
11:30:34.128	1.831642
11:30:34.928	1.871471
11:30:35.228	1.879575
11:30:35.627	1.868483
11:30:35.928	1.842623
11:30:36.328	1.816527
11:30:36.627	1.848023
11:30:37.027	1.835742
11:30:37.328	1.814287
11:30:37.728	1.818271
11:30:38.027	1.824488
11:30:38.428	1.806062
11:30:38.728	1.799618
11:30:39.128	1.861092
11:30:39.427	1.843969
11:30:39.728	1.819743
11:30:40.127	1.856612
11:30:40.428	1.840201
11:30:40.828	1.833317
11:30:41.228	1.846183
11:30:41.528	1.812818
11:30:41.927	1.815851
11:30:42.228	1.793579
11:30:42.528	1.778733
11:30:42.928	1.728332
11:30:43.228	1.711330
11:30:43.528	1.728874
11:30:43.928	1.762147
11:30:44.228	1.767971
11:30:44.528	1.749703
11:30:44.928	1.712399
11:30:45.228	1.672747
11:30:45.527	1.666516
11:30:45.928	1.687609
11:30:46.228	1.625606
11:30:46.528	1.626669
11:30:46.928	1.714630
11:30:47.228	1.725117
11:30:47.528	1.753022
11:30:47.927	1.726832
11:30:48.228	1.725873
11:30:48.527	1.752339
11:30:48.928	1.794282
11:30:49.228	1.792382
11:30:49.528	1.762188
11:30:49.928	1.755637
11:30:50.228	1.756111
11:30:50.628	1.761209
11:30:50.927	1.722503
11:30:51.327	1.751852
11:30:51.628	1.758206
11:30:51.928	1.767952
11:30:52.328	1.752639
11:30:52.627	1.709962
11:30:53.029	1.780872
11:30:53.328	1.772009
11:30:53.627	1.794095
11:30:54.028	1.894403
11:30:54.327	2.100634
11:30:54.728	2.724668
11:30:56.028	2.782941
11:30:56.328	2.819547
11:30:56.727	2.873721
11:30:57.028	2.907738
11:30:57.428	2.877857
11:30:57.727	3.070804
11:30:58.127	3.060864
11:30:58.429	3.087762
11:30:58.828	3.111136
11:30:59.128	3.082863
11:30:59.527	3.155276
11:30:59.828	3.125762
11:31:00.228	3.092070
11:31:00.528	3.086652
11:31:00.928	2.950024
11:31:01.227	2.867958
11:31:01.627	2.735938
11:31:01.927	2.502566
11:31:02.328	2.229184
11:31:02.628	2.138377
11:31:02.928	1.415659
11:31:04.228	1.300625
11:31:04.528	1.229906
11:31:04.928	1.206063
11:31:05.228	1.165284
11:31:05.628	1.151311
11:31:05.927	1.132028
11:31:06.328	1.111495
11:31:06.628	1.033505
11:31:07.028	1.020547
11:31:07.328	1.066126
11:31:07.728	1.076471
11:31:08.028	1.025864
11:31:08.428	0.980442
11:31:08.728	1.089067
11:31:09.029	1.173136
11:31:09.428	1.319211
11:31:09.727	1.508756
11:31:10.028	1.631064
11:31:10.428	1.815804
11:31:10.728	1.998524
11:31:11.128	2.451887
11:31:12.428	2.571228
11:31:12.728	2.618178
11:31:13.128	2.748584
11:31:13.429	2.794547
11:31:13.827	2.795452
11:31:14.128	2.888489
11:31:14.527	3.024736
11:31:14.828	3.007722
11:31:15.128	2.998331
11:31:15.528	2.944460
11:31:15.828	2.924557
11:31:16.228	2.908186
11:31:16.528	2.771386
11:31:16.827	2.719784
11:31:17.228	2.475351
11:31:17.528	2.150089
11:31:17.828	2.015240
11:31:18.228	1.353822
11:31:19.528	1.252876
11:31:19.828	1.213789
11:31:20.228	1.184610
11:31:20.528	1.108793
11:31:20.928	1.092637
11:31:21.228	1.046968
11:31:21.627	1.010725
11:31:21.928	0.997474
11:31:22.328	1.007803
11:31:22.628	0.950486
11:31:23.028	0.960701
11:31:23.327	0.939998
11:31:23.728	0.920342
11:31:24.028	0.914039
11:31:24.428	0.875400
11:31:24.728	0.886752
11:31:25.028	0.826980
11:31:25.429	0.790677
11:31:25.728	0.814056
11:31:26.028	0.832464
11:31:26.428	0.786797
11:31:26.728	0.811847
11:31:27.127	0.819799
11:31:27.428	0.784863
11:31:27.828	0.778239
11:31:28.129	0.781229
11:31:28.527	0.770058
11:31:28.828	0.764617
11:31:29.128	0.741186
11:31:29.528	0.768479
11:31:29.827	0.775854
11:31:30.227	0.747403
11:31:30.528	0.774638
11:31:30.828	0.755012
11:31:31.228	0.734719
11:31:31.528	0.743130
11:31:31.928	0.709097
11:31:32.228	0.718211
11:31:32.628	0.693756
11:31:32.928	0.693170
11:31:33.327	0.687892
11:31:33.628	0.705664
11:31:34.028	0.703976
11:31:34.328	0.710154
11:31:34.728	0.699770
11:31:35.028	0.687971
11:31:35.428	0.663902
