Chart Recorder Data File Tue, Sep 24, 2024 11:17 AM
Time (s)	CH1 (V)  
11:08:39.796	0.309229
11:08:40.695	0.312892
11:08:40.995	0.298281
11:08:41.396	0.318252
11:08:41.695	0.317217
11:08:41.995	0.287257
11:08:42.395	0.316651
11:08:42.695	0.317189
11:08:42.995	0.296403
11:08:43.395	0.297593
11:08:43.695	0.294512
11:08:44.095	0.293334
11:08:44.395	0.311721
11:08:44.695	0.305110
11:08:45.095	0.304033
11:08:45.395	0.295176
11:08:45.795	0.303218
11:08:46.095	0.311706
11:08:46.395	0.302107
11:08:46.796	0.287070
11:08:47.095	0.287758
11:08:47.395	0.294459
11:08:47.795	0.282400
11:08:48.095	0.301229
11:08:48.496	0.293487
11:08:48.795	0.287856
11:08:49.195	0.303262
11:08:49.495	0.311080
11:08:49.796	0.319132
11:08:50.195	0.313813
11:08:50.495	0.282779
11:08:50.895	0.284784
11:08:51.196	0.284773
11:08:51.595	0.302004
11:08:51.896	0.300936
11:08:52.195	0.311349
11:08:52.595	0.296456
11:08:52.895	0.315551
11:08:53.195	0.311717
11:08:53.595	0.290626
11:08:53.895	0.291934
11:08:54.195	0.303832
11:08:54.595	0.304830
11:08:54.895	0.324033
11:08:55.195	0.328045
11:08:55.596	0.340666
11:08:55.895	0.329163
11:08:56.195	0.347585
11:08:56.595	0.354311
11:08:56.896	0.380018
11:08:57.196	0.421094
11:08:57.595	0.439133
11:08:57.896	0.461821
11:08:58.295	0.517790
11:08:58.595	0.586700
11:08:58.996	0.749987
11:08:59.295	0.852129
11:08:59.695	1.048134
11:08:59.995	1.331783
11:09:00.395	1.579555
11:09:00.695	1.685968
11:09:00.996	1.950143
11:09:01.395	2.563638
11:09:02.695	2.712418
11:09:02.995	2.786289
11:09:03.395	2.846782
11:09:03.695	2.969942
11:09:04.095	3.128311
11:09:04.396	3.136681
11:09:04.795	3.110172
11:09:05.095	3.156711
11:09:05.495	3.163957
11:09:05.795	3.173183
11:09:06.195	3.120938
11:09:06.495	3.070879
11:09:06.895	2.947689
11:09:07.196	2.772081
11:09:07.596	2.514323
11:09:07.896	2.350277
11:09:08.296	2.019489
11:09:08.595	1.315412
11:09:09.895	1.164546
11:09:10.195	1.116926
11:09:10.495	1.079165
11:09:10.895	1.033445
11:09:11.196	0.989286
11:09:11.595	0.968572
11:09:11.895	0.956825
11:09:12.295	0.908908
11:09:12.596	0.876794
11:09:12.995	0.893002
11:09:13.296	0.919768
11:09:13.695	0.936517
11:09:13.995	0.985775
11:09:14.395	1.155797
11:09:14.696	1.218805
11:09:15.096	1.456783
11:09:15.395	1.666095
11:09:15.796	1.908201
11:09:16.095	2.028709
11:09:16.496	2.171271
11:09:16.795	2.663103
11:09:18.095	2.760673
11:09:18.395	2.803217
11:09:18.795	2.848004
11:09:19.096	2.892577
11:09:19.495	2.881968
