Chart Recorder Data File Tue, Sep 24, 2024 12:18 PM
Time (s)	CH1 (V)  
12:05:53.914	1.115011
12:05:54.713	1.134274
12:05:55.014	1.112638
12:05:55.414	1.099343
12:05:55.714	1.036888
12:05:56.014	1.041056
12:05:56.413	1.090770
12:05:56.714	1.068699
12:05:57.013	1.103580
12:05:57.414	1.120660
12:05:57.714	1.099907
12:05:58.114	1.022638
12:05:58.414	1.021385
12:05:58.814	1.103832
12:05:59.114	1.129039
12:05:59.514	1.103203
12:05:59.814	1.088424
12:06:00.214	1.082449
12:06:00.515	1.065556
12:06:00.814	1.087057
12:06:01.214	1.102093
12:06:01.514	1.096598
12:06:01.914	1.071308
12:06:02.214	1.061603
12:06:02.514	1.059999
12:06:02.914	1.056278
12:06:03.214	1.110048
12:06:03.614	1.089687
12:06:03.914	1.113500
12:06:04.314	1.090804
12:06:04.614	1.095472
12:06:05.014	1.084526
12:06:05.314	1.094386
12:06:05.714	1.091501
12:06:06.014	1.064154
12:06:06.414	1.088492
12:06:06.714	1.069986
12:06:07.014	1.066839
12:06:07.414	1.047173
12:06:07.714	1.084961
12:06:08.014	1.144047
12:06:08.414	1.155768
12:06:08.714	1.113359
12:06:09.114	1.055755
12:06:09.414	1.055300
12:06:09.814	1.082587
12:06:10.114	1.077427
12:06:10.514	1.104780
12:06:10.814	1.056960
12:06:11.114	1.056441
12:06:11.514	1.050930
12:06:11.814	1.038396
12:06:12.214	1.039388
12:06:12.514	1.062134
12:06:12.914	1.042682
12:06:13.214	1.054259
12:06:13.514	1.056394
12:06:13.914	1.077241
12:06:14.214	1.085107
12:06:14.614	1.110340
12:06:14.914	1.060156
12:06:15.314	1.059152
12:06:15.614	1.068112
12:06:16.014	1.056878
12:06:16.314	1.082382
12:06:16.614	1.035621
12:06:17.014	1.011679
12:06:17.313	1.002311
12:06:17.714	1.034870
12:06:18.014	1.041493
12:06:18.314	1.056637
12:06:18.714	1.057396
12:06:19.014	1.023788
12:06:19.414	1.048841
12:06:19.714	1.039510
12:06:20.015	1.013742
12:06:20.414	0.998573
12:06:20.714	1.008089
12:06:21.114	1.030415
12:06:21.414	1.023813
12:06:21.813	1.008065
12:06:22.114	1.025624
12:06:22.514	1.043007
12:06:22.814	1.073682
12:06:23.214	1.095583
12:06:23.514	1.104419
12:06:23.914	1.121179
12:06:24.214	1.089136
12:06:24.614	1.100712
12:06:24.914	1.075196
12:06:25.314	1.074603
12:06:25.614	1.072741
12:06:26.014	1.083012
12:06:26.314	1.083765
12:06:26.714	1.122885
12:06:27.014	1.137071
12:06:27.414	1.112102
12:06:27.714	1.096525
12:06:28.014	1.059152
12:06:28.414	1.123643
12:06:28.714	1.074441
12:06:29.014	1.117220
12:06:29.414	1.161693
12:06:29.715	1.182371
12:06:30.114	1.138956
12:06:30.414	1.151314
12:06:30.814	1.196416
12:06:31.114	1.226783
12:06:31.514	1.241524
12:06:31.814	1.233676
12:06:32.214	1.359215
12:06:32.514	1.409405
12:06:32.914	1.518280
12:06:33.214	1.612225
12:06:33.614	1.656968
12:06:33.915	1.710502
12:06:34.214	1.792504
12:06:34.614	1.887009
12:06:34.914	1.925972
12:06:35.214	2.003862
12:06:35.614	2.102599
12:06:35.914	2.107608
12:06:36.314	2.301373
12:06:37.614	2.373947
12:06:37.914	2.423158
12:06:38.315	2.452384
12:06:38.614	2.503699
12:06:39.014	2.529012
12:06:39.315	2.581684
12:06:39.714	2.644796
12:06:40.014	2.631825
12:06:40.414	2.608963
12:06:40.714	2.616721
12:06:41.014	2.606825
12:06:41.414	2.655745
12:06:41.714	2.600521
12:06:42.114	2.642221
12:06:42.414	2.684571
12:06:42.714	2.636470
12:06:43.114	2.717261
12:06:43.414	2.667643
12:06:43.814	2.661836
12:06:44.114	2.655763
12:06:44.414	2.692519
12:06:44.815	2.708005
12:06:45.214	2.717818
12:06:45.515	2.668323
12:06:45.914	2.635289
12:06:46.214	2.597980
12:06:46.614	2.603357
12:06:46.914	2.500455
12:06:47.314	2.499547
12:06:47.614	2.471752
12:06:47.914	2.378711
12:06:48.314	2.247472
12:06:48.614	2.193784
12:06:49.014	2.033248
12:06:49.314	1.768391
12:06:50.614	1.633874
12:06:50.914	1.554254
12:06:51.214	1.499721
12:06:51.614	1.349230
12:06:51.914	1.302324
12:06:52.214	1.248494
12:06:52.614	1.196373
12:06:52.914	1.164544
12:06:53.314	1.128424
12:06:53.614	1.142072
12:06:54.014	1.124013
12:06:54.314	1.077528
12:06:54.714	1.027686
12:06:55.014	0.997508
12:06:55.315	0.946070
12:06:55.714	0.965753
12:06:56.014	0.994509
12:06:56.414	0.906900
12:06:56.814	0.892071
12:06:57.114	0.904832
12:06:57.414	0.910685
12:06:57.814	0.920666
12:06:58.114	0.913438
12:06:58.414	0.924441
12:06:58.814	0.878904
12:06:59.114	0.906820
12:06:59.414	0.875267
12:06:59.814	0.882574
12:07:00.114	0.918061
12:07:00.514	0.915884
12:07:00.814	0.918430
12:07:01.214	0.907568
12:07:01.514	0.924930
12:07:01.915	0.903239
12:07:02.214	0.974230
12:07:02.514	1.022720
12:07:02.914	1.102016
12:07:03.215	1.169428
12:07:03.614	1.232339
12:07:03.914	1.258154
12:07:04.314	1.349604
12:07:04.614	1.469408
12:07:05.014	1.599518
12:07:05.314	1.644396
12:07:05.714	1.695127
12:07:06.014	1.793099
12:07:06.314	1.857998
12:07:06.714	1.953663
12:07:07.014	1.946344
12:07:07.414	2.043237
12:07:07.714	2.052398
12:07:08.114	2.096568
12:07:08.414	2.172426
12:07:08.714	2.301354
12:07:10.014	2.292826
12:07:10.314	2.304953
12:07:10.714	2.283794
12:07:11.014	2.353670
12:07:11.414	2.381151
12:07:11.714	2.391039
12:07:12.114	2.362953
12:07:12.414	2.431734
12:07:12.814	2.459648
12:07:13.115	2.512122
12:07:13.414	2.511438
12:07:13.814	2.467851
12:07:14.114	2.551912
12:07:14.414	2.530866
12:07:14.815	2.519659
12:07:15.114	2.523964
12:07:15.514	2.565817
12:07:15.814	2.565125
12:07:16.214	2.540114
12:07:16.514	2.519405
12:07:16.914	2.478280
12:07:17.214	2.448983
12:07:17.614	2.391058
12:07:17.914	2.249374
12:07:18.314	2.172204
12:07:18.614	2.127167
12:07:19.014	2.002303
12:07:19.314	1.658489
12:07:20.614	1.544223
12:07:20.914	1.509369
12:07:21.314	1.372149
12:07:21.614	1.294329
12:07:21.914	1.220598
12:07:22.314	1.197440
12:07:22.614	1.157886
12:07:23.014	1.120767
12:07:23.314	1.082950
12:07:23.714	1.034587
12:07:24.014	1.024069
12:07:24.314	0.982387
12:07:24.714	0.983946
12:07:25.014	0.967285
12:07:25.414	0.966466
12:07:25.714	0.945316
12:07:26.114	0.930443
12:07:26.414	0.925485
12:07:26.815	0.896879
12:07:27.114	0.938734
12:07:27.515	0.895934
12:07:27.815	0.907174
12:07:28.214	0.861197
12:07:28.514	0.830956
12:07:28.914	0.841365
12:07:29.214	0.799799
12:07:29.514	0.845400
12:07:29.914	0.831971
12:07:30.215	0.819289
12:07:30.615	0.824319
12:07:30.914	0.820693
12:07:31.314	0.801425
12:07:31.614	0.816551
12:07:32.014	0.798221
12:07:32.314	0.788854
12:07:32.714	0.794422
12:07:33.014	0.759479
12:07:33.414	0.746118
12:07:33.714	0.760580
12:07:34.114	0.766865
12:07:34.414	0.760450
12:07:34.814	0.742158
12:07:35.114	0.746457
12:07:35.415	0.748064
12:07:35.815	0.727681
12:07:36.114	0.740018
12:07:36.514	0.736358
12:07:36.814	0.719633
12:07:37.214	0.729329
12:07:37.514	0.757427
12:07:37.914	0.757725
12:07:38.214	0.724240
12:07:38.514	0.749378
12:07:38.914	0.731442
12:07:39.215	0.756661
12:07:39.514	0.725605
12:07:39.915	0.708800
12:07:40.214	0.694594
12:07:40.615	0.702432
12:07:40.914	0.708315
12:07:41.314	0.694842
12:07:41.614	0.715693
12:07:42.014	0.751403
12:07:42.314	0.728450
12:07:42.714	0.718383
12:07:43.014	0.706056
12:07:43.415	0.697558
12:07:43.714	0.714189
12:07:44.114	0.726471
12:07:44.414	0.718564
12:07:44.814	0.672435
12:07:45.115	0.699121
12:07:45.414	0.714157
12:07:45.814	0.713694
12:07:46.114	0.664106
12:07:46.414	0.676825
12:07:46.814	0.685240
12:07:47.115	0.691394
12:07:47.414	0.688197
12:07:47.815	0.680202
12:07:48.115	0.681264
12:07:48.514	0.659492
12:07:48.814	0.654380
12:07:49.214	0.683959
12:07:49.514	0.661593
12:07:49.815	0.659204
12:07:50.214	0.660633
12:07:50.514	0.642728
12:07:50.815	0.662547
12:07:51.214	0.669791
12:07:51.515	0.681352
12:07:51.915	0.666525
12:07:52.215	0.644655
12:07:52.514	0.635669
12:07:52.914	0.628789
12:07:53.214	0.602059
12:07:53.515	0.594773
12:07:53.915	0.603612
12:07:54.215	0.620979
12:07:54.515	0.608162
12:07:54.915	0.625875
12:07:55.215	0.615343
12:07:55.615	0.612953
12:07:55.915	0.596390
12:07:56.315	0.581488
12:07:56.615	0.595172
12:07:57.015	0.570079
12:07:57.314	0.570500
12:07:57.715	0.564539
12:07:58.014	0.553380
12:07:58.415	0.539793
12:07:58.715	0.526909
12:07:59.115	0.557450
12:07:59.415	0.527501
12:07:59.715	0.507206
12:08:00.114	0.522602
12:08:00.414	0.490628
12:08:00.815	0.486694
12:08:01.114	0.490246
12:08:01.415	0.460882
12:08:01.815	0.474505
12:08:02.115	0.480856
12:08:02.515	0.487035
12:08:02.814	0.493657
12:08:03.215	0.443634
12:08:03.515	0.441246
12:08:03.815	0.464353
12:08:04.215	0.435762
12:08:04.515	0.416968
12:08:04.915	0.409711
12:08:05.214	0.404454
12:08:05.515	0.403026
12:08:05.915	0.426250
12:08:06.214	0.410611
12:08:06.515	0.419782
12:08:06.914	0.421687
12:08:07.215	0.394956
12:08:07.615	0.384651
12:08:07.915	0.367532
12:08:08.315	0.393342
12:08:08.615	0.393905
12:08:09.015	0.386470
12:08:09.314	0.387614
12:08:09.715	0.383380
12:08:10.015	0.384087
12:08:10.415	0.369419
12:08:10.715	0.369974
12:08:11.115	0.359154
12:08:11.415	0.364864
12:08:11.815	0.353842
12:08:12.115	0.349678
12:08:12.515	0.332577
12:08:12.815	0.342291
12:08:13.215	0.348748
12:08:13.515	0.355813
12:08:13.915	0.359308
12:08:14.215	0.364257
12:08:14.515	0.361967
12:08:14.914	0.359371
12:08:15.215	0.374771
12:08:15.614	0.346320
12:08:15.915	0.339032
12:08:16.315	0.342260
12:08:16.615	0.349154
12:08:17.015	0.361148
12:08:17.315	0.335633
12:08:17.615	0.354350
12:08:18.015	0.359915
12:08:18.315	0.352751
12:08:18.714	0.360237
12:08:19.015	0.368429
12:08:19.415	0.342088
12:08:19.715	0.345552
12:08:20.115	0.373670
12:08:20.415	0.367376
12:08:20.815	0.382200
12:08:21.114	0.371289
12:08:21.515	0.370787
12:08:21.815	0.361488
12:08:22.215	0.369138
12:08:22.515	0.367888
12:08:22.815	0.374659
12:08:23.215	0.390127
12:08:23.515	0.383098
12:08:23.915	0.401086
12:08:24.214	0.400369
12:08:24.615	0.391173
12:08:24.915	0.418095
12:08:25.315	0.406385
12:08:25.615	0.425221
12:08:26.015	0.395477
12:08:26.314	0.445533
12:08:26.715	0.456840
12:08:27.015	0.463947
12:08:27.415	0.523968
12:08:27.715	0.594563
12:08:28.115	0.649059
12:08:28.415	0.667890
12:08:28.815	0.752601
12:08:29.114	0.827279
12:08:29.514	0.985206
12:08:29.815	1.050553
12:08:30.215	1.126691
12:08:30.515	1.236171
12:08:30.915	1.335261
12:08:31.215	1.377014
12:08:31.615	1.455528
12:08:31.915	1.475167
12:08:32.315	1.551268
12:08:32.615	1.673160
12:08:33.015	1.718107
12:08:33.315	1.780893
12:08:33.715	1.834365
12:08:34.015	1.846907
12:08:34.415	1.865294
12:08:34.815	1.918687
12:08:35.115	1.938178
12:08:35.515	1.984482
12:08:35.815	2.015469
12:08:36.215	2.009126
12:08:36.515	2.002489
12:08:36.915	1.937891
12:08:37.215	2.016021
12:08:37.615	1.995417
12:08:37.915	1.973380
12:08:38.315	2.037549
12:08:38.615	2.070661
12:08:38.915	2.018177
12:08:39.315	2.026981
12:08:39.614	2.050184
12:08:39.915	2.053690
12:08:40.315	2.070906
12:08:40.615	2.079073
12:08:40.915	2.095718
12:08:41.315	2.055381
12:08:41.615	2.099144
12:08:42.015	2.087695
12:08:42.315	2.019730
12:08:42.715	1.980840
12:08:43.015	1.950473
12:08:43.315	1.876809
12:08:43.715	1.764387
12:08:44.015	1.703843
12:08:44.415	1.611449
12:08:44.714	1.477057
12:08:45.015	1.447268
12:08:45.415	1.306188
12:08:45.714	1.173648
12:08:46.015	1.111815
12:08:46.415	1.058745
12:08:46.715	0.977222
12:08:47.116	0.920149
12:08:47.415	0.884749
12:08:47.815	0.866378
12:08:48.115	0.793575
12:08:48.515	0.733402
12:08:48.815	0.709795
12:08:49.215	0.674908
12:08:49.514	0.689324
12:08:49.815	0.696108
12:08:50.215	0.690301
12:08:50.515	0.683417
12:08:50.915	0.644561
12:08:51.215	0.637633
12:08:51.516	0.630372
12:08:51.915	0.638684
12:08:52.215	0.639521
12:08:52.615	0.665449
12:08:52.915	0.670492
12:08:53.215	0.672263
12:08:53.615	0.690246
12:08:53.915	0.687151
12:08:54.315	0.692000
12:08:54.615	0.683445
12:08:54.915	0.714854
12:08:55.315	0.751889
12:08:55.615	0.754196
12:08:56.015	0.750109
12:08:56.315	0.767285
12:08:56.715	0.789928
12:08:57.015	0.778243
12:08:57.315	0.824394
12:08:57.715	0.795693
12:08:58.015	0.827396
12:08:58.315	0.887091
12:08:58.715	0.882511
12:08:59.014	0.891984
12:08:59.415	0.908836
12:08:59.714	0.901706
12:09:00.115	0.927440
12:09:00.415	0.938110
12:09:00.815	0.945524
12:09:01.115	0.907733
12:09:01.515	0.914187
12:09:01.815	0.958786
12:09:02.115	0.943983
12:09:02.515	0.978215
12:09:02.815	0.963462
12:09:03.215	0.932504
12:09:03.515	0.904630
12:09:03.915	0.925614
12:09:04.215	0.925238
12:09:04.615	0.898521
12:09:04.915	0.932182
12:09:05.315	0.958204
12:09:05.615	0.956190
12:09:05.915	0.931720
12:09:06.315	0.927913
12:09:06.615	0.942576
12:09:07.015	0.910420
12:09:07.315	0.896984
12:09:07.715	0.910564
12:09:08.015	0.894039
12:09:08.415	0.868077
12:09:08.715	0.870152
12:09:09.015	0.862227
12:09:09.415	0.820270
12:09:09.714	0.814185
12:09:10.115	0.779202
12:09:10.415	0.770743
12:09:10.815	0.739950
12:09:11.115	0.717885
12:09:11.515	0.713756
12:09:11.815	0.700737
12:09:12.215	0.678626
12:09:12.515	0.641998
12:09:12.915	0.624044
12:09:13.216	0.631922
12:09:13.615	0.624658
12:09:13.915	0.585460
12:09:14.315	0.577190
12:09:14.615	0.558294
12:09:15.015	0.549192
12:09:15.315	0.519447
12:09:15.715	0.515074
12:09:16.115	0.487447
12:09:16.415	0.479819
12:09:16.815	0.456478
12:09:17.115	0.463295
12:09:17.515	0.453346
12:09:17.815	0.445593
12:09:18.215	0.416485
12:09:18.515	0.427210
12:09:18.915	0.410222
12:09:19.215	0.417499
12:09:19.615	0.399507
12:09:19.915	0.393102
12:09:20.215	0.380581
12:09:20.615	0.394970
12:09:20.915	0.398790
12:09:21.315	0.394808
12:09:21.615	0.368399
12:09:22.015	0.393457
12:09:22.315	0.373851
12:09:22.715	0.362399
12:09:23.015	0.351955
12:09:23.415	0.345650
12:09:23.715	0.335734
12:09:24.115	0.371484
12:09:24.415	0.364043
12:09:24.815	0.360994
12:09:25.115	0.365000
12:09:25.415	0.361164
12:09:25.815	0.354859
12:09:26.115	0.341026
12:09:26.515	0.337551
12:09:26.815	0.353316
12:09:27.215	0.385296
12:09:27.515	0.373678
12:09:27.915	0.358294
12:09:28.215	0.345675
12:09:28.615	0.341275
12:09:28.915	0.374814
12:09:29.315	0.338397
12:09:29.615	0.342696
12:09:30.015	0.340627
12:09:30.315	0.340196
12:09:30.715	0.332260
12:09:31.015	0.340768
12:09:31.415	0.323136
12:09:31.815	0.328648
12:09:32.115	0.316939
12:09:32.515	0.325215
12:09:32.815	0.322483
12:09:33.215	0.331353
12:09:33.615	0.347416
12:09:33.915	0.348892
12:09:34.315	0.351058
12:09:34.615	0.328726
12:09:35.015	0.319708
12:09:35.315	0.337090
12:09:35.715	0.314026
12:09:36.015	0.328502
12:09:36.415	0.364151
12:09:36.715	0.353270
12:09:37.115	0.346067
12:09:37.415	0.332575
12:09:37.815	0.322204
12:09:38.115	0.304372
12:09:38.515	0.314484
12:09:38.815	0.329201
12:09:39.215	0.335404
12:09:39.515	0.333210
12:09:39.915	0.302003
12:09:40.215	0.337958
12:09:40.615	0.335429
12:09:40.915	0.322475
12:09:41.315	0.336674
12:09:41.615	0.310080
12:09:42.015	0.333848
12:09:42.315	0.333917
12:09:42.715	0.331364
12:09:43.015	0.335500
12:09:43.315	0.333697
12:09:43.715	0.358984
12:09:44.015	0.353459
12:09:44.415	0.323855
12:09:44.715	0.333854
12:09:45.115	0.351044
12:09:45.415	0.359284
12:09:45.816	0.344114
12:09:46.115	0.365735
12:09:46.515	0.378053
12:09:46.815	0.364510
12:09:47.215	0.374223
12:09:47.515	0.374011
12:09:47.915	0.386995
12:09:48.215	0.392891
12:09:48.615	0.388388
12:09:48.915	0.387912
12:09:49.315	0.410972
12:09:49.615	0.410530
12:09:50.015	0.365532
12:09:50.315	0.372468
12:09:50.716	0.395221
12:09:51.015	0.403910
12:09:51.315	0.425261
12:09:51.715	0.473314
12:09:52.015	0.463034
12:09:52.415	0.458483
12:09:52.715	0.485029
12:09:53.115	0.491452
12:09:53.416	0.492657
12:09:53.815	0.491222
12:09:54.115	0.491930
12:09:54.515	0.488060
12:09:54.815	0.484767
12:09:55.215	0.485024
12:09:55.515	0.491207
12:09:55.915	0.479262
12:09:56.215	0.503089
12:09:56.615	0.485326
12:09:56.915	0.479914
12:09:57.315	0.473381
12:09:57.615	0.470213
12:09:58.015	0.495965
12:09:58.315	0.493144
12:09:58.715	0.494218
12:09:59.015	0.494416
12:09:59.415	0.488588
12:09:59.715	0.478442
12:10:00.115	0.506858
12:10:00.416	0.481053
12:10:00.815	0.472355
12:10:01.115	0.475008
12:10:01.516	0.459545
12:10:01.815	0.440591
12:10:02.215	0.437399
12:10:02.515	0.441727
12:10:02.915	0.437130
12:10:03.215	0.431696
12:10:03.515	0.408385
12:10:03.915	0.401830
12:10:04.215	0.396097
12:10:04.615	0.376441
12:10:04.915	0.391521
12:10:05.316	0.416279
12:10:05.616	0.395946
12:10:06.015	0.354731
12:10:06.315	0.361890
12:10:06.715	0.338671
12:10:07.015	0.363206
12:10:07.415	0.360458
12:10:07.815	0.342214
12:10:08.115	0.322014
12:10:08.516	0.310398
12:10:08.815	0.316465
12:10:09.215	0.294404
12:10:09.516	0.296015
12:10:09.915	0.303273
12:10:10.215	0.293866
12:10:10.515	0.300506
12:10:10.915	0.282911
12:10:11.215	0.288793
12:10:11.615	0.287469
12:10:11.915	0.283107
12:10:12.215	0.281652
12:10:12.615	0.282359
12:10:13.015	0.276608
12:10:13.315	0.252357
12:10:13.715	0.263818
12:10:14.015	0.245691
12:10:14.415	0.296894
12:10:14.715	0.272042
