Chart Recorder Data File Tue, Sep 24, 2024 12:36 PM
Time (s)	CH1 (V)  
12:31:12.922	1.047413
12:31:14.622	1.053120
12:31:14.922	1.048294
12:31:15.322	1.046688
12:31:15.622	1.056436
12:31:16.022	1.056628
12:31:16.322	1.031539
12:31:16.722	1.057713
12:31:17.022	1.063527
12:31:17.422	1.061600
12:31:17.722	1.063294
12:31:18.123	1.103788
12:31:18.422	1.102717
12:31:18.822	1.086703
12:31:19.122	1.071717
12:31:19.522	1.068562
12:31:19.822	1.095112
12:31:20.222	1.108235
12:31:20.622	1.101381
12:31:20.922	1.073168
12:31:21.322	1.061711
12:31:21.622	1.052572
12:31:21.922	1.081463
12:31:22.322	1.085849
12:31:22.622	1.082696
12:31:22.922	1.091088
12:31:23.322	1.105259
12:31:23.622	1.107233
12:31:24.022	1.089105
12:31:24.322	1.070618
12:31:24.722	1.095897
12:31:25.022	1.103164
12:31:25.422	1.098454
12:31:25.722	1.101483
12:31:26.022	1.107796
12:31:26.422	1.096948
12:31:26.722	1.091375
12:31:27.022	1.074473
12:31:27.423	1.054813
12:31:27.722	1.060613
12:31:28.023	1.061184
12:31:28.422	1.059594
12:31:28.722	1.045736
12:31:29.022	1.072165
12:31:29.422	1.082091
12:31:29.722	1.077073
12:31:30.022	1.060671
12:31:30.422	1.055205
12:31:30.723	1.080603
12:31:31.022	1.090756
12:31:31.422	1.111730
12:31:31.722	1.107884
12:31:32.122	1.089392
12:31:32.422	1.080701
12:31:32.722	1.095868
12:31:33.122	1.120873
12:31:33.422	1.113496
12:31:33.722	1.094605
12:31:34.122	1.066291
12:31:34.422	1.062056
12:31:34.722	1.069657
12:31:35.122	1.099677
12:31:35.422	1.103345
12:31:35.722	1.085308
12:31:36.122	1.066492
12:31:36.423	1.058667
12:31:36.822	1.069269
12:31:37.122	1.070220
12:31:37.522	1.071660
12:31:37.823	1.055203
12:31:38.122	1.062788
12:31:38.522	1.083647
12:31:38.822	1.075778
12:31:39.222	1.075566
12:31:39.522	1.095469
12:31:39.822	1.092226
