Chart Recorder Data File Tue, Sep 24, 2024 12:04 PM
Time (s)	CH1 (V)  
11:46:20.907	1.847461
11:46:21.707	1.797328
11:46:22.008	1.817397
11:46:22.407	1.773063
11:46:22.707	1.807767
11:46:23.007	1.827168
11:46:23.408	1.814755
11:46:23.707	1.823556
11:46:24.008	1.830785
11:46:24.407	1.831265
11:46:24.708	1.833987
11:46:25.007	1.806887
11:46:25.407	1.835554
11:46:25.707	1.886765
11:46:26.107	1.811187
11:46:26.407	1.801221
11:46:26.807	1.795110
11:46:27.108	1.808497
11:46:27.507	1.779404
11:46:27.807	1.781001
11:46:28.207	1.784765
11:46:28.508	1.795666
11:46:28.908	1.772225
11:46:29.208	1.754030
11:46:29.608	1.773243
11:46:29.907	1.782569
11:46:30.208	1.792919
11:46:30.608	1.822239
11:46:30.908	1.820043
11:46:31.208	1.777198
11:46:31.607	1.820264
11:46:31.907	1.819147
11:46:32.208	1.773468
11:46:32.608	1.813218
11:46:32.908	1.796506
11:46:33.208	1.841648
11:46:33.608	1.846116
11:46:33.908	1.808601
11:46:34.308	1.793945
11:46:34.608	1.773446
11:46:35.007	1.755030
11:46:35.307	1.784895
11:46:35.608	1.767137
11:46:36.008	1.752975
11:46:36.308	1.728179
11:46:36.707	1.762435
11:46:37.008	1.770229
11:46:37.308	1.757623
11:46:37.708	1.751943
11:46:38.008	1.765409
11:46:38.408	1.769056
11:46:38.708	1.756186
11:46:39.007	1.727418
11:46:39.407	1.681435
11:46:39.708	1.739267
11:46:40.108	1.716845
11:46:40.408	1.699471
11:46:40.808	1.706768
11:46:41.108	1.667588
11:46:41.507	1.668239
11:46:41.808	1.655941
11:46:42.208	1.731116
11:46:42.508	1.764380
11:46:42.907	1.784574
11:46:43.208	1.775541
11:46:43.608	1.751065
11:46:43.908	1.729649
11:46:44.207	1.803635
11:46:44.608	1.748291
11:46:44.908	1.755978
11:46:45.208	1.751082
11:46:45.608	1.767771
11:46:45.907	1.782814
11:46:46.209	1.731685
11:46:46.608	1.810158
11:46:46.907	1.830175
11:46:47.208	1.793425
11:46:47.607	1.820052
11:46:47.908	1.810351
11:46:48.308	1.768783
11:46:48.608	1.781017
11:46:49.008	1.812753
11:46:49.308	1.762016
11:46:49.708	1.808076
11:46:50.007	1.768374
11:46:50.408	1.812281
11:46:50.708	1.824488
11:46:51.008	1.822284
11:46:51.408	1.719414
11:46:51.708	1.706981
11:46:52.008	1.749405
11:46:52.407	1.727448
11:46:52.707	1.691899
11:46:53.008	1.710386
11:46:53.408	1.726436
11:46:53.708	1.737394
11:46:54.107	1.670395
11:46:54.407	1.644072
11:46:54.807	1.697684
