Chart Recorder Data File Tue, Sep 24, 2024 9:43 AM
Time (s)	CH1 (V)  
09:35:21.764	-0.061012
09:35:22.565	-0.061143
09:35:22.865	-0.061700
09:35:23.165	-0.060823
09:35:23.565	-0.061360
09:35:23.865	-0.061555
09:35:24.165	-0.061353
09:35:24.565	-0.062155
09:35:24.864	-0.062683
09:35:25.166	-0.061990
09:35:25.565	-0.062128
09:35:25.865	-0.062951
09:35:26.165	-0.060978
09:35:26.565	-0.060583
09:35:26.865	-0.060023
09:35:27.265	-0.060943
09:35:27.565	-0.060912
09:35:27.865	-0.061024
09:35:28.264	-0.058517
09:35:28.565	-0.059228
09:35:28.965	-0.060306
09:35:29.265	-0.058599
09:35:29.665	-0.061136
09:35:29.965	-0.062204
09:35:30.365	-0.061072
09:35:30.665	-0.059828
09:35:30.965	-0.060015
09:35:31.365	-0.059941
09:35:31.665	-0.061186
09:35:31.965	-0.061008
09:35:32.365	-0.060094
09:35:32.665	-0.062032
09:35:33.065	-0.060448
09:35:33.365	-0.058976
09:35:33.766	-0.060672
09:35:34.065	-0.061496
09:35:34.465	-0.060587
09:35:34.765	-0.060651
09:35:35.165	-0.060540
09:35:35.465	-0.060830
09:35:35.865	-0.057921
09:35:36.165	-0.060556
09:35:36.565	-0.058272
09:35:36.865	-0.057629
09:35:37.165	-0.059308
09:35:37.565	-0.058061
09:35:37.865	-0.058574
09:35:38.165	-0.058915
09:35:38.565	-0.059333
09:35:38.865	-0.059116
09:35:39.165	-0.059086
09:35:39.565	-0.059857
09:35:39.865	-0.059553
09:35:40.265	-0.059695
09:35:40.565	-0.057932
09:35:40.965	-0.060076
09:35:41.265	-0.057495
09:35:41.665	-0.058508
09:35:41.965	-0.058121
09:35:42.265	-0.057406
09:35:42.665	-0.056832
09:35:42.965	-0.057294
09:35:43.365	-0.057829
09:35:43.665	-0.059069
09:35:44.065	-0.059630
09:35:44.365	-0.059257
09:35:44.765	-0.057143
09:35:45.066	-0.059190
09:35:45.365	-0.058311
09:35:45.765	-0.057404
09:35:46.065	-0.057292
09:35:46.465	-0.057320
09:35:46.765	-0.057790
09:35:47.165	-0.058471
09:35:47.465	-0.056538
09:35:47.865	-0.056033
09:35:48.165	-0.056226
09:35:48.565	-0.056264
09:35:48.865	-0.055972
09:35:49.165	-0.057888
09:35:49.565	-0.057916
09:35:49.865	-0.055634
09:35:50.265	-0.056351
09:35:50.565	-0.056250
09:35:50.966	-0.056430
09:35:51.265	-0.056395
09:35:51.665	-0.054244
09:35:51.965	-0.053758
09:35:52.365	-0.056198
09:35:52.665	-0.054962
09:35:53.065	-0.055326
09:35:53.365	-0.054955
09:35:53.765	-0.053959
09:35:54.065	-0.055364
09:35:54.465	-0.055245
09:35:54.765	-0.055408
