unconvertedTime, unconvertedIntensity
-785.7099219372739,4.9565574828210416e-06
-783.9844039433009,7.5202941118664894e-06
-783.4092988513177,4.272894381741622e-06
-782.6444614210197,2.563736629045448e-06
-782.0675183368812,5.298389033360751e-06
-781.3008691764907,5.8111363591679425e-06
-780.7259217054589,4.443810157011477e-06
-779.9593776041015,4.7856417075511865e-06
-779.3864250921071,5.298389033360751e-06
-778.618069855323,0.0
-778.043279940448,4.9565574828210416e-06
-777.2769458923789,1.53824197742632e-06
-776.5106718436786,3.7601470559320585e-06
-775.9360056775035,6.665715235517216e-06
-775.1698366107416,2.2219050785057387e-06
-774.5952491729262,4.7856417075511865e-06
-773.8291850665324,4.443810157011477e-06
-773.2546763409057,4.272894381741622e-06
-772.48871717331,2.461187163883298e-05
-771.9142871436983,2.5124618964642543e-05
-771.1484328933412,2.52955347399124e-05
-770.5740815435711,2.4782787414102834e-05
-769.8083321889013,2.9568429121654022e-05
-769.2340595028154,2.7517439818418137e-05
-768.4684150222764,2.9397513346384166e-05
-767.8942209837091,3.4866818155014773e-05
-767.1286813557633,3.435407082920521e-05
-766.5545659485656,3.213216575069947e-05
-765.7891311516697,3.213216575069947e-05
-765.2150943596869,3.520864970555448e-05
-764.4497643723168,3.7601470559330076e-05
-763.8758061793972,3.1106671099082715e-05
-763.1105809800262,3.2473997301239176e-05
-762.5367013700392,3.144850264962005e-05
-761.7715809371431,3.0081176447463586e-05
-761.1977798939397,2.7859271368957845e-05
-760.432764206008,2.4782787414102834e-05
-759.8590417134661,2.7004692492608572e-05
-759.0941307489854,3.0935755323812855e-05
-758.5204867909722,3.161941842488991e-05
-757.7556805284482,2.6662860942071236e-05
-756.9909340859579,2.9739344896923874e-05
-756.4174135067664,2.8542934470037265e-05
-755.6527717324544,2.5637366290452107e-05
-755.0793296463398,2.52955347399124e-05
-754.314792518712,2.6321029391531527e-05
-753.7433400657301,2.649194516680138e-05
-752.9769964071439,2.5979197840991815e-05
-752.4056221534852,3.0081176447463586e-05
-751.6393833601581,2.7859271368957845e-05
-751.0661766566067,2.7175608267878428e-05
-750.3019533401899,2.3586376987216225e-05
-749.7288250652812,2.5637366290452107e-05
-748.9647063096662,3.0081176447463586e-05
-748.3916564473159,3.144850264962005e-05
-747.6276422310383,2.905568179584683e-05
-747.0546707651489,2.5808282065721963e-05
-746.2907610667684,2.7346524043148284e-05
-745.717867981253,2.9568429121654022e-05
-744.954062779316,3.1106671099082715e-05
-744.3812480580985,2.5979197840991815e-05
-743.6175473311677,2.7517439818418137e-05
-743.0448109581615,3.0423007998003294e-05
-742.2812146848048,2.7175608267878428e-05
-741.7085566439446,2.495370318937269e-05
-740.9450648027273,2.649194516680138e-05
-740.3724850779425,3.3670407728128164e-05
-739.6090976474491,2.837201869476741e-05
